id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
1|Budaörs, Pipacs utca 12.|263,80 M Ft|2 216 806 Ft / m2|119 m2|400 m2|4 + 1 fél|28|https://ingatlan.com/33983401
2|Budaörs, Kossuth Lajos utca 25.|179,90 M Ft|1 199 333 Ft / m2|150 m2|70 m2|5 + 2 fél|8|https://ingatlan.com/34883029
3|Budaörs, Ősz utca|202 M Ft|848 739 Ft / m2|238 m2|238 m2||23|https://ingatlan.com/34769756
4|Budaörs, Kőfejtő utca|239 M Ft|1 991 666 Ft / m2|120 m2|315 m2||22|https://ingatlan.com/34818653
5|Budaörs, Diófa utca|150 M Ft|2 000 000 Ft / m2|75 m2|323 m2||17|https://ingatlan.com/34910759
6|Budaörs, Pipacs utca|195 M Ft|1 695 652 Ft / m2|115 m2|350 m2|4 + 1 fél|22|https://ingatlan.com/34895488
7|Budaörs, Estike utca|199 M Ft|1 776 785 Ft / m2|112 m2|365 m2||19|https://ingatlan.com/34583891
8|Budaörs, Széles utca 13.|179,90 M Ft|983 060 Ft / m2|183 m2|400 m2||30|https://ingatlan.com/34837597
9|Budaörs, Fügefa utca 2.|189,90 M Ft|1 300 684 Ft / m2|146 m2|500 m2||11|https://ingatlan.com/34885656
10|Budaörs, Kertváros - Ganztelep|199,90 M Ft|1 332 666 Ft / m2|150 m2|300 m2||18|https://ingatlan.com/34704235
11|Budaörs, Kismartoni utca 67.|169,90 M Ft|1 490 350 Ft / m2|114 m2|163 m2||10|https://ingatlan.com/34695262
12|Budaörs, Kolozsvári utca|259,90 M Ft|999 615 Ft / m2|260 m2|260 m2|5 + 2 fél|11|https://ingatlan.com/34039634
13|Budaörs, Kismartoni utca 67.|149,90 M Ft|1 529 591 Ft / m2|98 m2|129 m2||10|https://ingatlan.com/34695282
14|Budaörs, Kismartoni utca 67.|149,90 M Ft|1 162 015 Ft / m2|129 m2|129 m2||10|https://ingatlan.com/34715896
15|Budaörs, Kismartoni utca 67.|169,90 M Ft|1 296 946 Ft / m2|131 m2|174 m2||10|https://ingatlan.com/34716107
16|Budaörs, Jókai utca|385,50 M Ft|1 285 000 Ft / m2|300 m2|300 m2||22|https://ingatlan.com/33671797
17|Budaörs, Búzavirág utca 8.|209 M Ft|1 266 666 Ft / m2|165 m2|745 m2||22|https://ingatlan.com/34345405
18|Budaörs, Széles utca|58 M Ft|828 571 Ft / m2|70 m2|395 m2||11|https://ingatlan.com/34720430
19|Budaörs, Tavasz utca 3.|75,90 M Ft|973 076 Ft / m2|78 m2|202 m2|2 + 1 fél|16|https://ingatlan.com/34732686
20|Budaörs, Vak Bottyán utca 4/A|275 M Ft|2 310 924 Ft / m2|119 m2|342 m2|4 + 1 fél|12|https://ingatlan.com/34710048
21|Budaörs, Szabadság út 278.|219,00 M Ft|1 622 200 Ft / m2|135 m2|400 m2||21|https://ingatlan.com/34659120
22|Budaörs, Szabadság út 278.|245,00 M Ft|1 689 634 Ft / m2|145 m2|600 m2||22|https://ingatlan.com/34659069
23|Budaörs, Kígyó utca|330 M Ft|640 776 Ft / m2|515 m2|515 m2||21|https://ingatlan.com/34643878
24|Budaörs, Vörösbegy utca 7.|299 M Ft|1 056 537 Ft / m2|283 m2|283 m2||20|https://ingatlan.com/32806543
25|Budaörs, Kossuth Lajos utca|174,90 M Ft|1 295 555 Ft / m2|135 m2|698 m2||15|https://ingatlan.com/34836655
26|Budaörs, Fügefa utca|159,90 M Ft|913 714 Ft / m2|175 m2|715 m2||18|https://ingatlan.com/34904329
27|Budaörs, Károly király utca|98 M Ft|1 166 666 Ft / m2|84 m2|529 m2||9|https://ingatlan.com/34892186
28|Budaörs, Esztergályos utca|385 M Ft|969 773 Ft / m2|397 m2|397 m2||22|https://ingatlan.com/34882120
29|Budaörs, Víg utca|118 M Ft|1 594 594 Ft / m2|74 m2|278 m2||14|https://ingatlan.com/34875133
30|Budaörs, József Attila utca|215 M Ft|1 791 666 Ft / m2|120 m2|207 m2||19|https://ingatlan.com/34865264
31|Budaörs, Rezeda utca|150 M Ft|625 000 Ft / m2|240 m2|240 m2||14|https://ingatlan.com/34865197
32|Budaörs, Cserebogár utca|399,90 M Ft|1 817 727 Ft / m2|220 m2|220 m2||14|https://ingatlan.com/34854782
33|Budaörs, Vak Bottyán utca|350 M Ft|1 296 296 Ft / m2|270 m2|270 m2||18|https://ingatlan.com/34844000
34|Budaörs, Margaréta utca|295 M Ft|1 411 483 Ft / m2|209 m2|209 m2||22|https://ingatlan.com/34840679
35|Budaörs, Deák Ferenc utca|129 M Ft|1 791 666 Ft / m2|72 m2|150 m2||19|https://ingatlan.com/34833364
36|Budaörs, Veréb utca 11.|359 M Ft|1 087 878 Ft / m2|330 m2|330 m2||20|https://ingatlan.com/34826777
37|Budaörs, Kikelet utca|289 M Ft|1 273 127 Ft / m2|227 m2|227 m2||18|https://ingatlan.com/34818073
38|Budaörs, Árpád utca|178 M Ft|1 618 181 Ft / m2|110 m2|295 m2|2 + 2 fél|22|https://ingatlan.com/34812820
39|Budaörs, Ibolya utca|206,28 M Ft|1 289 250 Ft / m2|160 m2|1072 m2||20|https://ingatlan.com/34809082
40|Budaörs, Pipacs utca|165 M Ft|1 500 000 Ft / m2|110 m2|359 m2||19|https://ingatlan.com/34790207
41|Budaörs, Kismartoni utca|260 M Ft|1 000 000 Ft / m2|260 m2|260 m2||14|https://ingatlan.com/34788421
42|Budaörs, Beregszászi utca|260 M Ft|1 048 387 Ft / m2|248 m2|248 m2||20|https://ingatlan.com/34785635
43|Budaörs, Ófalu|279 M Ft|1 148 148 Ft / m2|243 m2|243 m2||22|https://ingatlan.com/34585564
44|Budaörs, Budaörsi Kamaraerdő|244,90 M Ft|1 415 606 Ft / m2|173 m2|1012 m2|4 + 1 fél|6|https://ingatlan.com/34740723
45|Budaörs, Budaörsi Kamaraerdő|149 M Ft|596 000 Ft / m2|250 m2|250 m2||25|https://ingatlan.com/33935448
46|Budaörs, Mozdony utca|299,90 M Ft|1 999 333 Ft / m2|150 m2|1188 m2||29|https://ingatlan.com/34852117
47|Budaörs, Kökörcsin utca|499 M Ft|1 134 090 Ft / m2|440 m2|440 m2|5 + 1 fél|13|https://ingatlan.com/34798579
48|Budaörs, Pest megye|149,90 M Ft|788 947 Ft / m2|190 m2|625 m2||20|https://ingatlan.com/34868219
49|Budaörs, Budaörsi Kamaraerdő|285 M Ft|1 000 000 Ft / m2|285 m2|285 m2||22|https://ingatlan.com/34721285
