id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
1|Budapest X. kerület, Lenfonó utca|58,50 M Ft|1 125 000 Ft / m2|50 m2|||15|https://ingatlan.com/34726286
2|Budapest X. kerület, Kővágó utca|66,90 M Ft|962 589 Ft / m2|68 m2|||13|https://ingatlan.com/34684331
3|Budapest X. kerület, Harmat utca|59,99 M Ft|850 921 Ft / m2|68 m2|||6|https://ingatlan.com/34878358
4|Budapest X. kerület, Oltó utca 8.|69,50 M Ft|1 007 246 Ft / m2|68 m2|||18|https://ingatlan.com/34843743
5|Budapest X. kerület, Kővágó utca|58 M Ft|1 137 254 Ft / m2|49 m2||1 + 1 fél|14|https://ingatlan.com/34913161
6|Budapest X. kerület, Szövőszék utca|53,90 M Ft|1 078 000 Ft / m2|50 m2|||11|https://ingatlan.com/34831191
7|Budapest X. kerület, Szövőszék utca 20.|54,90 M Ft|1 087 128 Ft / m2|49 m2|||16|https://ingatlan.com/34905280
8|Budapest X. kerület, Dombtető utca|75,90 M Ft|1 092 086 Ft / m2|68 m2|||21|https://ingatlan.com/34925507
9|Budapest X. kerület, Szövőszék utca|48,90 M Ft|1 358 333 Ft / m2|36 m2|||3|https://ingatlan.com/34920064
10|Budapest X. kerület, Szövőszék utca 20.|64,90 M Ft|933 812 Ft / m2|68 m2|||12|https://ingatlan.com/34863367
11|Budapest X. kerület, Tóvirág utca|58,90 M Ft|1 143 689 Ft / m2|50 m2|||13|https://ingatlan.com/34763657
12|Budapest X. kerület, Dombtető utca|57,90 M Ft|1 135 294 Ft / m2|49 m2|||9|https://ingatlan.com/34912300
13|Budapest X. kerület, Gőzmozdony utca|53,90 M Ft|1 046 601 Ft / m2|50 m2|||22|https://ingatlan.com/34915962
15|Budapest X. kerület, Oltó utca 6.|61,90 M Ft|1 225 742 Ft / m2|49 m2|||13|https://ingatlan.com/34787544
16|Budapest X. kerület, Kőbánya - Újhegyi lakótelep|61 M Ft|1 220 000 Ft / m2|50 m2|||9|https://ingatlan.com/34910264
17|Budapest X. kerület, Tóvirág utca|58 M Ft|1 137 254 Ft / m2|50 m2|||11|https://ingatlan.com/34891038
18|Budapest X. kerület, Mélytó utca|69,50 M Ft|992 857 Ft / m2|68 m2|||13|https://ingatlan.com/34898670
19|Budapest X. kerület, Újhegy park|61 M Ft|1 220 000 Ft / m2|50 m2|||8|https://ingatlan.com/34890400
20|Budapest X. kerület, Tóvirág utca|58,50 M Ft|1 158 415 Ft / m2|49 m2|||8|https://ingatlan.com/34861329
23|Budapest X. kerület, Szövőszék utca 14.|64 M Ft|920 863 Ft / m2|68 m2|||23|https://ingatlan.com/34742716
26|Budapest X. kerület, Szövőszék utca|64,90 M Ft|927 142 Ft / m2|68 m2|||10|https://ingatlan.com/34887464
27|Budapest X. kerület, Oltó utca|67,90 M Ft|976 978 Ft / m2|68 m2|||13|https://ingatlan.com/34654196
28|Budapest X. kerület, Tóvirág utca|61 M Ft|1 220 000 Ft / m2|50 m2|||9|https://ingatlan.com/34751056
29|Budapest X. kerület, Harmat utca|71,40 M Ft|844 970 Ft / m2|81 m2|||1|https://ingatlan.com/34465776
30|Budapest X. kerület, Kőbánya - Újhegyi lakótelep|65,90 M Ft|948 201 Ft / m2|68 m2|||11|https://ingatlan.com/34914437
31|Budapest X. kerület, Tóvirág utca|54,90 M Ft|1 055 769 Ft / m2|50 m2|||1|https://ingatlan.com/34817711
32|Budapest X. kerület, Tóvirág utca|57,90 M Ft|1 146 534 Ft / m2|49 m2|||0|https://ingatlan.com/34735625
34|Budapest X. kerület, Kőbánya - Újhegyi lakótelep|59,90 M Ft|1 163 106 Ft / m2|50 m2|||6|https://ingatlan.com/34760324
35|Budapest X. kerület, Kőbánya - Újhegyi lakótelep|59 M Ft|1 168 316 Ft / m2|49 m2|||16|https://ingatlan.com/34860725
36|Budapest X. kerület, Mélytó utca|66 M Ft|1 320 000 Ft / m2|49 m2|||1|https://ingatlan.com/34933507
37|Budapest X. kerület, Kővágó utca|55,99 M Ft|1 108 712 Ft / m2|49 m2|||0|https://ingatlan.com/34931699
38|Budapest X. kerület, Szövőszék utca|55 M Ft|1 057 692 Ft / m2|50 m2|||1|https://ingatlan.com/34928508
39|Budapest X. kerület, Tóvirág utca|49,50 M Ft|1 010 204 Ft / m2|49 m2|||0|https://ingatlan.com/34928194
40|Budapest X. kerület, Szövőszék utca|65,50 M Ft|1 286 836 Ft / m2|50 m2|||13|https://ingatlan.com/34920425
41|Budapest X. kerület, Kőbánya - Újhegyi lakótelep|58 M Ft|1 137 254 Ft / m2|50 m2|||11|https://ingatlan.com/34910085
43|Budapest X. kerület, Bányató utca 22.|58,50 M Ft|841 726 Ft / m2|68 m2|||1|https://ingatlan.com/34902025
44|Budapest X. kerület, Kőbánya - Újhegyi lakótelep|69,50 M Ft|992 857 Ft / m2|68 m2|||10|https://ingatlan.com/34885012
46|Budapest X. kerület, Gőzmozdony utca|51,50 M Ft|990 384 Ft / m2|50 m2|||0|https://ingatlan.com/34880807
47|Budapest X. kerület, Szövőszék utca|48,90 M Ft|1 286 842 Ft / m2|37 m2|||0|https://ingatlan.com/34880388
48|Budapest X. kerület, Oltó utca|59 M Ft|1 204 081 Ft / m2|49 m2|||15|https://ingatlan.com/34862733
50|Budapest X. kerület, Mádi utca|69,90 M Ft|1 184 745 Ft / m2|57 m2||1 + 2 fél|0|https://ingatlan.com/34848751
51|Budapest X. kerület, Oltó utca|63,89 M Ft|906 241 Ft / m2|68 m2|||1|https://ingatlan.com/34845475
53|Budapest X. kerület, Szövőszék utca|69,90 M Ft|998 571 Ft / m2|68 m2|||1|https://ingatlan.com/34838047
54|Budapest X. kerület, Mélytó utca 8.|55 M Ft|1 089 108 Ft / m2|49 m2|||0|https://ingatlan.com/34836919
55|Budapest X. kerület, Szőlővirág utca|54 M Ft|1 069 306 Ft / m2|49 m2|||1|https://ingatlan.com/34836792
56|Budapest X. kerület, Szőlővirág utca|59,50 M Ft|850 000 Ft / m2|68 m2||2 + 1 fél|1|https://ingatlan.com/34813905
57|Budapest X. kerület, Bányató utca|58,50 M Ft|1 158 415 Ft / m2|49 m2|||1|https://ingatlan.com/34794998
58|Budapest X. kerület, Kőbánya - Újhegyi lakótelep|58,50 M Ft|1 193 877 Ft / m2|49 m2|||8|https://ingatlan.com/34780933
59|Budapest X. kerület, Kővágó utca|52,90 M Ft|1 047 524 Ft / m2|49 m2|||0|https://ingatlan.com/34762906
60|Budapest X. kerület, Mádi utca 200.|57,90 M Ft|998 275 Ft / m2|58 m2||1 + 2 fél|1|https://ingatlan.com/34757770
61|Budapest X. kerület, Tóvirág utca|59,60 M Ft|1 180 198 Ft / m2|49 m2|||7|https://ingatlan.com/34754774
62|Budapest X. kerület, Agyagfejtő utca|59,50 M Ft|850 000 Ft / m2|68 m2|||6|https://ingatlan.com/34727801
63|Budapest X. kerület, Agyagfejtő utca 12.|59,80 M Ft|1 172 549 Ft / m2|50 m2|||1|https://ingatlan.com/34726416
64|Budapest X. kerület, Hang utca 6.|63,90 M Ft|926 086 Ft / m2|68 m2||2 + 1 fél|1|https://ingatlan.com/34706185
65|Budapest X. kerület, Hang utca|63,90 M Ft|919 424 Ft / m2|68 m2|||10|https://ingatlan.com/34699156
66|Budapest X. kerület, Kőbánya - Újhegyi lakótelep|69,90 M Ft|1 013 043 Ft / m2|68 m2|||11|https://ingatlan.com/34695040
