id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
1|Budapest II. kerület, Fillér utca 9-11.|254,90 M Ft|1 847 101 Ft / m2|138 m2||3|14|https://ingatlan.com/34731004
2|Budapest II. kerület, Keleti Károly utca|163 M Ft|1 873 563 Ft / m2|86 m2||3|16|https://ingatlan.com/34914173
3|Budapest XII. kerület, Greguss utca|113 M Ft|1 686 567 Ft / m2|67 m2||3|13|https://ingatlan.com/34877374
4|Budapest XII. kerület, Márvány utca|199,90 M Ft|2 196 703 Ft / m2|91 m2||4 + 1 fél|13|https://ingatlan.com/34907059
5|Budapest II. kerület, Kút utca|94 M Ft|1 372 262 Ft / m2|67 m2||3|10|https://ingatlan.com/34814453
6|Budapest II. kerület, Országút|129,90 M Ft|1 882 608 Ft / m2|69 m2||2 + 1 fél|23|https://ingatlan.com/34905453
7|Budapest II. kerület, Lövőház utca 26.|160 M Ft|1 441 441 Ft / m2|109 m2||3 + 1 fél|12|https://ingatlan.com/34747105
8|Budapest XII. kerület, Krisztina körút 2-4.|237,27 M Ft|1 846 444 Ft / m2|123 m2||3|23|https://ingatlan.com/34684475
9|Budapest II. kerület, Keleti Károly utca 11.|130 M Ft|1 413 043 Ft / m2|92 m2||2 + 1 fél|29|https://ingatlan.com/34906604
10|Budapest II. kerület, Bem József utca 16.|179,90 M Ft|2 306 410 Ft / m2|76 m2||3|15|https://ingatlan.com/34843979
11|Budapest II. kerület, Országút|134,90 M Ft|1 349 000 Ft / m2|100 m2||3|25|https://ingatlan.com/34922375
12|Budapest II. kerület, Káplár utca|155 M Ft|1 913 580 Ft / m2|76 m2||3|21|https://ingatlan.com/34929622
13|Budapest II. kerület, Margit körút 36.|128 M Ft|1 684 210 Ft / m2|76 m2||2 + 1 fél|20|https://ingatlan.com/34866285
14|Budapest XII. kerület, Ignotus utca|399 M Ft|2 122 340 Ft / m2|181 m2||5|23|https://ingatlan.com/34771180
15|Budapest XII. kerület, Krisztinaváros|110 M Ft|1 517 241 Ft / m2|70 m2||3 + 1 fél|11|https://ingatlan.com/34859789
16|Budapest XII. kerület, Királyhágó utca|179,90 M Ft|1 405 468 Ft / m2|128 m2||3 + 1 fél|18|https://ingatlan.com/34800678
17|Budapest II. kerület, Margit körút 99.|99,90 M Ft|1 573 228 Ft / m2|63 m2||2 + 2 fél|22|https://ingatlan.com/34582995
18|Budapest II. kerület, Erőd utca 18.|130 M Ft|1 436 464 Ft / m2|89 m2||4|21|https://ingatlan.com/34852662
19|Budapest II. kerület, Fillér utca|188,80 M Ft|2 030 107 Ft / m2|90 m2||4|19|https://ingatlan.com/34258866
20|Budapest XII. kerület, Böszörményi út|94 M Ft|1 446 153 Ft / m2|63 m2||2 + 1 fél|16|https://ingatlan.com/34848052
21|Budapest II. kerület, Tölgyfa utca|198,50 M Ft|1 654 166 Ft / m2|120 m2||4|21|https://ingatlan.com/34668729
22|Budapest XII. kerület, Schwartzer Ferenc utca|179 M Ft|1 529 914 Ft / m2|114 m2||4|15|https://ingatlan.com/34659530
23|Budapest XII. kerület, Városmajor utca|129 M Ft|1 612 500 Ft / m2|76 m2||3|7|https://ingatlan.com/34935052
24|Budapest II. kerület, Fillér utca|179,99 M Ft|1 406 171 Ft / m2|127 m2||3|20|https://ingatlan.com/34922194
25|Budapest II. kerület, Bem József utca|289 M Ft|2 934 010 Ft / m2|96 m2||3|20|https://ingatlan.com/34915458
26|Budapest XII. kerület, Krisztina körút 31-33.|99,99 M Ft|1 562 343 Ft / m2|64 m2||3|21|https://ingatlan.com/34880999
27|Budapest XII. kerület, Városmajor utca|112 M Ft|1 684 210 Ft / m2|64 m2||3|10|https://ingatlan.com/34852123
28|Budapest II. kerület, Fekete Sas utca 5.|174,90 M Ft|1 841 052 Ft / m2|95 m2||3|16|https://ingatlan.com/34851683
29|Budapest XII. kerület, Márvány utca 27.|139,70 M Ft|1 486 170 Ft / m2|94 m2||3 + 1 fél|18|https://ingatlan.com/34833655
30|Budapest II. kerület, Szász Károly utca 2.|197 M Ft|2 290 697 Ft / m2|86 m2||4|22|https://ingatlan.com/34814487
31|Budapest II. kerület, Bajvívó utca|141,30 M Ft|1 800 000 Ft / m2|74 m2||2 + 1 fél|20|https://ingatlan.com/34800004
32|Budapest XII. kerület, Gyógyfű utca|239,90 M Ft|2 363 546 Ft / m2|84 m2||3|17|https://ingatlan.com/34799023
33|Budapest XII. kerület, Városmajor utca|169 M Ft|1 715 736 Ft / m2|86 m2||3|30|https://ingatlan.com/34900249
34|Budapest XII. kerület, Krisztinaváros|95 M Ft|1 117 647 Ft / m2|85 m2||3|8|https://ingatlan.com/34632432
35|Budapest II. kerület, Bem rakpart|197,39 M Ft|1 794 465 Ft / m2|110 m2||4 + 1 fél|8|https://ingatlan.com/34925255
36|Budapest II. kerület, Bem rakpart|359 M Ft|2 028 248 Ft / m2|177 m2||4 + 1 fél|15|https://ingatlan.com/34868791
37|Budapest II. kerület, Kapás utca|369 M Ft|2 427 631 Ft / m2|113 m2||3 + 1 fél|17|https://ingatlan.com/34886124
38|Budapest II. kerület, Bem József utca|289 M Ft|3 090 909 Ft / m2|91 m2||3|12|https://ingatlan.com/34932910
39|Budapest II. kerület, Országút|199 M Ft|1 485 074 Ft / m2|134 m2||4|17|https://ingatlan.com/34473858
40|Budapest XII. kerület, Krisztinaváros|199 M Ft|1 715 517 Ft / m2|116 m2||5|29|https://ingatlan.com/34914214
41|Budapest II. kerület, Országút|129,90 M Ft|1 804 166 Ft / m2|70 m2||3|13|https://ingatlan.com/34819444
42|Budapest II. kerület, Bem rakpart 42.|197,77 M Ft|1 704 913 Ft / m2|116 m2||3|26|https://ingatlan.com/34833642
43|Budapest XII. kerület, Krisztinaváros|64,90 M Ft|1 298 000 Ft / m2|50 m2||3|11|https://ingatlan.com/34748770
44|Budapest II. kerület, Lövőház utca|185 M Ft|2 312 500 Ft / m2|80 m2||3|21|https://ingatlan.com/34916073
45|Budapest II. kerület, Országút|99,90 M Ft|1 573 228 Ft / m2|63 m2||1 + 3 fél|22|https://ingatlan.com/34579068
46|Budapest II. kerület, Margit körút 5.|184,90 M Ft|1 411 450 Ft / m2|128 m2||4|13|https://ingatlan.com/34692270
