id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
1|Törökbálint, Kastély utca|249 M Ft|1 082 608 Ft / m2|230 m2|230 m2|5 + 2 fél|22|https://ingatlan.com/34756208
2|Törökbálint, Tükörhegy|259,90 M Ft|1 485 142 Ft / m2|175 m2|420 m2|4 + 1 fél|27|https://ingatlan.com/34896668
3|Törökbálint, Balassi Bálint utca|189,90 M Ft|1 582 500 Ft / m2|120 m2|130 m2||18|https://ingatlan.com/34778506
4|Törökbálint, Tükörhegy|389 M Ft|1 691 304 Ft / m2|230 m2|230 m2||30|https://ingatlan.com/34868367
5|Törökbálint, Balassi Bálint utca|389 M Ft|1 691 304 Ft / m2|230 m2|230 m2||22|https://ingatlan.com/34156867
6|Törökbálint, Oportó köz|278,98 M Ft|1 743 625 Ft / m2|160 m2|305 m2||13|https://ingatlan.com/34854273
7|Törökbálint, Balassi Bálint utca|210 M Ft|1 750 000 Ft / m2|120 m2|260 m2||22|https://ingatlan.com/34795620
8|Törökbálint, Tükörhegy|199 M Ft|737 037 Ft / m2|270 m2|270 m2||17|https://ingatlan.com/31859459
9|Törökbálint, Szent Flórián utca|179,90 M Ft|1 285 000 Ft / m2|140 m2|272 m2||29|https://ingatlan.com/34816722
10|Törökbálint, Tükörhegy|259,90 M Ft|1 537 869 Ft / m2|169 m2|500 m2||15|https://ingatlan.com/34746650
11|Törökbálint, Tükörhegy|389 M Ft|1 691 304 Ft / m2|230 m2|230 m2||12|https://ingatlan.com/34583694
12|Törökbálint, Tükörhegy|259 M Ft|1 992 307 Ft / m2|130 m2|428 m2||15|https://ingatlan.com/34773185
13|Törökbálint, Tükörhegy|319 M Ft|1 822 857 Ft / m2|175 m2|492 m2||20|https://ingatlan.com/33927628
14|Törökbálint, Tükörhegy|310 M Ft|1 834 319 Ft / m2|169 m2|448 m2||18|https://ingatlan.com/34018217
15|Törökbálint, Tükörhegy|179 M Ft|1 627 272 Ft / m2|110 m2|963 m2||8|https://ingatlan.com/34593231
16|Törökbálint, Tükörhegy|177 M Ft|956 756 Ft / m2|185 m2|318 m2||3|https://ingatlan.com/34788916
17|Törökbálint, Tükörhegy|950 M Ft|2 000 000 Ft / m2|475 m2|475 m2||19|https://ingatlan.com/34799179
18|Törökbálint, Tükörhegy|213 M Ft|1 238 372 Ft / m2|172 m2|405 m2||23|https://ingatlan.com/34871607
19|Törökbálint, Tükörhegy|345 M Ft|1 084 905 Ft / m2|318 m2|318 m2|8 + 1 fél|15|https://ingatlan.com/34619035
20|Törökbálint, Tükörhegy|229 M Ft|1 413 580 Ft / m2|162 m2|562 m2||26|https://ingatlan.com/34711085
21|Törökbálint, Tükörhegy|179 M Ft|1 737 864 Ft / m2|103 m2|903 m2||8|https://ingatlan.com/34598353
22|Törökbálint, Tükörhegy|295 M Ft|921 875 Ft / m2|320 m2|320 m2||23|https://ingatlan.com/34908996
23|Törökbálint, Tükörhegy|500 M Ft|1 216 545 Ft / m2|411 m2|411 m2||25|https://ingatlan.com/32895656
24|Törökbálint, Tükörhegy|269 M Ft|853 968 Ft / m2|315 m2|315 m2||24|https://ingatlan.com/34268970
25|Törökbálint, Tükörhegy|179 M Ft|1 627 272 Ft / m2|110 m2|903 m2|2 + 1 fél|9|https://ingatlan.com/34593750
26|Törökbálint, Tükörhegy|299,90 M Ft|1 743 604 Ft / m2|172 m2|450 m2||29|https://ingatlan.com/34685993
27|Törökbálint, Tükörhegy|295 M Ft|1 209 016 Ft / m2|244 m2|244 m2||25|https://ingatlan.com/34566411
28|Törökbálint, Tükörhegy|179,90 M Ft|972 432 Ft / m2|185 m2|318 m2|4 + 1 fél|9|https://ingatlan.com/34685120
29|Törökbálint, Meggyes utca|177,50 M Ft|806 818 Ft / m2|220 m2|220 m2||2|https://ingatlan.com/34608061
30|Törökbálint, Tükörhegy|325 M Ft|1 710 526 Ft / m2|190 m2|500 m2||24|https://ingatlan.com/33045903
31|Törökbálint, Tükörhegy|685 M Ft|1 802 631 Ft / m2|380 m2|380 m2||5|https://ingatlan.com/33761051
32|Törökbálint, Szent László tér 13.|179 M Ft|1 627 272 Ft / m2|110 m2|900 m2||1|https://ingatlan.com/34496147
33|Törökbálint, Balassi Bálint utca|325 M Ft|2 006 172 Ft / m2|162 m2|600 m2||2|https://ingatlan.com/34866014
34|Törökbálint, Jurisich Miklós utca|315 M Ft|1 312 500 Ft / m2|240 m2|240 m2||3|https://ingatlan.com/34690775
35|Törökbálint, Udvarhely utca|350 M Ft|1 627 906 Ft / m2|215 m2|215 m2||0|https://ingatlan.com/34730678
36|Törökbálint, Tükörhegy|179 M Ft|1 737 864 Ft / m2|103 m2|903 m2||8|https://ingatlan.com/34630348
37|Törökbálint, Tükörhegy|845 M Ft|1 942 528 Ft / m2|435 m2|435 m2|6 + 2 fél|6|https://ingatlan.com/32745579
38|Törökbálint, Tükörhegy|115 M Ft|1 419 753 Ft / m2|81 m2|1080 m2||9|https://ingatlan.com/34932383
39|Törökbálint, Tükörhegy|49,90 M Ft|623 750 Ft / m2|80 m2|760 m2||11|https://ingatlan.com/34925937
40|Törökbálint, Tükörhegy|325 M Ft|1 022 012 Ft / m2|318 m2|318 m2|8 + 1 fél|18|https://ingatlan.com/34817523
41|Törökbálint, Tükörhegy|95 M Ft|904 761 Ft / m2|105 m2|480 m2||3|https://ingatlan.com/34812689
42|Törökbálint, Tükörhegy|179 M Ft|1 737 864 Ft / m2|103 m2|903 m2||8|https://ingatlan.com/34723242
43|Törökbálint, Tükörhegy|475 M Ft|1 301 369 Ft / m2|365 m2|365 m2||1|https://ingatlan.com/34630699
44|Törökbálint, Tükörhegy|345 M Ft|1 084 905 Ft / m2|318 m2|318 m2||29|https://ingatlan.com/34630352
45|Törökbálint, Tükörhegy|199 M Ft|1 932 038 Ft / m2|103 m2|903 m2||8|https://ingatlan.com/34601651
46|Törökbálint, Tükörhegy|179,90 M Ft|817 727 Ft / m2|220 m2|220 m2||30|https://ingatlan.com/34516506
47|Törökbálint, Tükörhegy|325 M Ft|1 022 012 Ft / m2|318 m2|318 m2|8 + 1 fél|18|https://ingatlan.com/34326448
48|Törökbálint, Dr. Léber Lajos utca|175 M Ft|1 086 956 Ft / m2|161 m2|214 m2||3|https://ingatlan.com/33061875
