id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
1|Budapest II. kerület, Hidegkúti út 249.|249 M Ft|1 383 333 Ft / m2|180 m2|600 m2|5 + 1 fél|19|https://ingatlan.com/34791039
2|Budapest II. kerület, Testvér köz 4.|269,90 M Ft|1 458 918 Ft / m2|185 m2|343 m2||23|https://ingatlan.com/34510676
3|Budapest II. kerület, Pusztaszeri út|259,90 M Ft|2 062 698 Ft / m2|126 m2|290 m2|4 + 1 fél|2|https://ingatlan.com/34924248
4|Budapest II. kerület, Cseppkő utca|299 M Ft|1 150 000 Ft / m2|260 m2|260 m2||10|https://ingatlan.com/34832229
5|Budapest II. kerület, II/A kerület - Remetekertváros|349,90 M Ft|1 457 916 Ft / m2|240 m2|240 m2||23|https://ingatlan.com/34839740
6|Budapest II. kerület, II/A kerület - Máriaremete|399,90 M Ft|999 750 Ft / m2|400 m2|400 m2||10|https://ingatlan.com/34322885
7|Budapest II. kerület, Völgy utca 34/A|447,20 M Ft|2 457 142 Ft / m2|182 m2|384 m2||19|https://ingatlan.com/34345859
8|Budapest II. kerület, II/A kerület - Adyliget|499 M Ft|2 495 000 Ft / m2|200 m2|729 m2||15|https://ingatlan.com/34810291
9|Budapest II. kerület, Kassa utca|543 M Ft|2 525 581 Ft / m2|215 m2|215 m2||20|https://ingatlan.com/33681547
10|Budapest II. kerület, Emese utca 3/B|289 M Ft|1 165 322 Ft / m2|248 m2|248 m2||23|https://ingatlan.com/34795798
11|Budapest II. kerület, Gyöngyvér utca|156 M Ft|1 300 000 Ft / m2|120 m2|1000 m2|3 + 1 fél|2|https://ingatlan.com/34917373
12|Budapest II. kerület, II/A kerület - Máriaremete|285 M Ft|1 202 531 Ft / m2|237 m2|237 m2||30|https://ingatlan.com/34733402
13|Budapest II. kerület, II/A kerület - Remetekertváros|319 M Ft|869 209 Ft / m2|367 m2|367 m2||25|https://ingatlan.com/34650789
14|Budapest II. kerület, II/A kerület - Adyliget|239 M Ft|1 731 884 Ft / m2|138 m2|372 m2|3 + 1 fél|20|https://ingatlan.com/34825701
15|Budapest II. kerület, II/A kerület - Budaliget|269 M Ft|1 345 000 Ft / m2|200 m2|1009 m2||28|https://ingatlan.com/34183970
16|Budapest II. kerület, Hidegkúti út|197 M Ft|1 377 622 Ft / m2|143 m2|306 m2||27|https://ingatlan.com/34368682
17|Budapest II. kerület, Hársalja utca|340 M Ft|1 030 303 Ft / m2|330 m2|330 m2|5 + 3 fél|20|https://ingatlan.com/21947697
18|Budapest II. kerület, Keszi utca|274,90 M Ft|1 145 416 Ft / m2|240 m2|240 m2||20|https://ingatlan.com/34623784
