id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
1|Budapest III. kerület, Csillaghegy|349 M Ft|1 179 054 Ft / m2|296 m2|296 m2||15|https://ingatlan.com/34837201
2|Budapest III. kerület, Aranyhegy|329,90 M Ft|1 691 794 Ft / m2|195 m2|500 m2||29|https://ingatlan.com/34500268
3|Budapest III. kerület, Aranyhegy|294,90 M Ft|1 244 303 Ft / m2|237 m2|237 m2||27|https://ingatlan.com/34717083
4|Budapest III. kerület, Toldás köz|449 M Ft|1 870 833 Ft / m2|240 m2|240 m2||26|https://ingatlan.com/34841560
5|Budapest III. kerület, Testvérhegy|395 M Ft|1 889 952 Ft / m2|209 m2|209 m2|4 + 1 fél|26|https://ingatlan.com/34637002
6|Budapest III. kerület, Doromb utca 10.|195,99 M Ft|1 777 687 Ft / m2|105 m2|1000 m2||26|https://ingatlan.com/33480968
7|Budapest III. kerület, Bécsi út 591.|219 M Ft|1 303 571 Ft / m2|168 m2|336 m2||19|https://ingatlan.com/34897586
8|Budapest III. kerület, Aranyhegy - Péterhegy|199,90 M Ft|1 332 666 Ft / m2|150 m2|250 m2||6|https://ingatlan.com/34507493
9|Budapest III. kerület, Aranyhegy - Péterhegy|289 M Ft|1 680 232 Ft / m2|172 m2|500 m2||21|https://ingatlan.com/32931410
10|Budapest III. kerület, Testvérhegy|441 M Ft|1 800 000 Ft / m2|245 m2|245 m2||5|https://ingatlan.com/32917174
