id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
1|Érd, Érdliget|119 M Ft|894 736 Ft / m2|133 m2|500 m2|5|17|https://ingatlan.com/34850299
2|Érd, Alsóvölgyi út|126 M Ft|1 000 000 Ft / m2|126 m2|1636 m2|4|18|https://ingatlan.com/34739143
3|Diósd, Ligetszépe út 23.|210 M Ft|1 166 666 Ft / m2|180 m2|600 m2|5|11|https://ingatlan.com/34924151
4|Érd, Érdliget|93,90 M Ft|939 000 Ft / m2|100 m2|300 m2|4|17|https://ingatlan.com/34866524
5|Diósd, Pest megye|165,90 M Ft|1 106 000 Ft / m2|150 m2|1285 m2|5|5|https://ingatlan.com/34833195
6|Diósd, Bajuszfű utca|199 M Ft|995 000 Ft / m2|200 m2|500 m2|5 + 1 fél|17|https://ingatlan.com/34420678
7|Diósd, Mandula utca|219 M Ft|1 063 106 Ft / m2|206 m2|206 m2|4|22|https://ingatlan.com/33307512
8|Diósd, Diósdliget|194,50 M Ft|748 076 Ft / m2|260 m2|260 m2|8|30|https://ingatlan.com/34893864
9|Diósd, Diósdliget|165 M Ft|1 000 000 Ft / m2|165 m2|915 m2|4|20|https://ingatlan.com/34717689
10|Diósd, Szent László utca|315 M Ft|1 158 088 Ft / m2|272 m2|272 m2|5|9|https://ingatlan.com/34821664
11|Diósd, Szent László utca|285 M Ft|1 301 369 Ft / m2|219 m2|219 m2|4|18|https://ingatlan.com/34819675
12|Diósd, Akácfa utca 14.|299 M Ft|1 031 034 Ft / m2|290 m2|290 m2|5|20|https://ingatlan.com/34825475
13|Diósd, Petőfi Sándor utca|237 M Ft|697 058 Ft / m2|340 m2|340 m2|4 + 1 fél|19|https://ingatlan.com/34741895
14|Diósd, Pillangó utca|194,50 M Ft|748 076 Ft / m2|260 m2|260 m2|6|23|https://ingatlan.com/34646994
15|Diósd, Kavicsos utca|158,00 M Ft|877 777 Ft / m2|180 m2|735 m2|4|6|https://ingatlan.com/34806194
16|Diósd, Harkály utca|145 M Ft|1 559 139 Ft / m2|93 m2|300 m2|4|23|https://ingatlan.com/34783046
17|Diósd, Tisza utca|239 M Ft|1 039 130 Ft / m2|230 m2|230 m2|6|17|https://ingatlan.com/34934135
18|Diósd, Szőlő utca|199,90 M Ft|1 025 128 Ft / m2|195 m2|441 m2|3 + 2 fél|23|https://ingatlan.com/34932704
19|Érd, Alsóvölgyi út|139,90 M Ft|799 428 Ft / m2|175 m2|634 m2|4|18|https://ingatlan.com/34922422
20|Diósd, Szabadság utca|138,80 M Ft|1 430 927 Ft / m2|97 m2|422 m2|3|14|https://ingatlan.com/34919298
21|Diósd, Sashegyi utca|130,50 M Ft|652 500 Ft / m2|200 m2|784 m2|6|20|https://ingatlan.com/34912493
22|Diósd, Irén utca|195 M Ft|1 258 064 Ft / m2|155 m2|643 m2|3 + 2 fél|14|https://ingatlan.com/34910955
23|Érd, Szép Ilonka utca|189,90 M Ft|1 157 926 Ft / m2|164 m2|1089 m2|7|20|https://ingatlan.com/34830633
24|Diósd, Sashegyi utca|124 M Ft|1 068 965 Ft / m2|116 m2|450 m2|4 + 1 fél|18|https://ingatlan.com/34821395
25|Diósd, Léda utca 13.|268 M Ft|1 000 000 Ft / m2|268 m2|268 m2|4|20|https://ingatlan.com/34702240
26|Diósd, Viola utca|179,90 M Ft|999 444 Ft / m2|180 m2|625 m2|4|22|https://ingatlan.com/34140191
