id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
1|Budapest XI. kerület, Madárhegy|299 M Ft|1 929 032 Ft / m2|155 m2|386 m2|4|27|https://ingatlan.com/34921205
2|Budapest XI. kerület, Sasad|569 M Ft|1 649 275 Ft / m2|345 m2|345 m2|7|28|https://ingatlan.com/34587989
3|Budapest XI. kerület, Kenese utca|390 M Ft|1 418 181 Ft / m2|275 m2|275 m2|3 + 1 fél|22|https://ingatlan.com/34735495
4|Budapest XI. kerület, Beléndek utca 11.|399 M Ft|2 025 380 Ft / m2|197 m2|550 m2|4 + 1 fél|22|https://ingatlan.com/34566743
5|Budapest XI. kerület, Kiskőrös utca|290 M Ft|1 318 181 Ft / m2|220 m2|220 m2|6 + 1 fél|5|https://ingatlan.com/34929311
6|Budapest XI. kerület, Söjtör utca|254 M Ft|2 419 047 Ft / m2|105 m2|254 m2|4|23|https://ingatlan.com/34917566
7|Budapest XI. kerület, Madárhegy|435 M Ft|2 416 666 Ft / m2|180 m2|466 m2|5|28|https://ingatlan.com/34886322
8|Budapest XI. kerület, Botfalu utca|289,90 M Ft|1 207 916 Ft / m2|240 m2|240 m2|8|30|https://ingatlan.com/34868853
9|Budapest XI. kerület, Kelenföld|389 M Ft|1 267 100 Ft / m2|307 m2|307 m2|7|30|https://ingatlan.com/34448492
10|Budapest XI. kerület, Villányi út 93.|399 M Ft|1 615 384 Ft / m2|247 m2|247 m2|4|19|https://ingatlan.com/32118105
11|Budapest XI. kerület, Rákó utca|490 M Ft|1 633 333 Ft / m2|300 m2|300 m2|7|23|https://ingatlan.com/34715459
12|Budapest XI. kerület, Kővirág sor|229 M Ft|1 526 666 Ft / m2|150 m2|628 m2|6|21|https://ingatlan.com/34706571
13|Budapest XI. kerület, Bánhida utca 5.|179 M Ft|1 491 666 Ft / m2|120 m2|150 m2|4|20|https://ingatlan.com/34808568
14|Budapest XI. kerület, Vegyész utca|199 M Ft|1 566 929 Ft / m2|127 m2|340 m2|4 + 1 fél|12|https://ingatlan.com/34842838
15|Budapest XI. kerület, Cseresznye utca|270 M Ft|1 800 000 Ft / m2|150 m2|400 m2|4|12|https://ingatlan.com/34808706
16|Budapest XI. kerület, Madárhegy|180,95 M Ft|1 739 903 Ft / m2|104 m2|150 m2|4|3|https://ingatlan.com/34883664
17|Budapest XI. kerület, Rahó utca 28.|229,80 M Ft|1 754 198 Ft / m2|131 m2|305 m2|4|14|https://ingatlan.com/34481185
19|Budapest XI. kerület, Madárhegy|385 M Ft|1 696 035 Ft / m2|227 m2|227 m2|4 + 1 fél|30|https://ingatlan.com/34806701
20|Budapest XI. kerület, Pösingermajor|259 M Ft|996 153 Ft / m2|260 m2|260 m2|6|30|https://ingatlan.com/34908841
21|Budapest XI. kerület, Sasad|385 M Ft|1 925 000 Ft / m2|200 m2|490 m2|5|22|https://ingatlan.com/34899771
22|Budapest XI. kerület, Cseresznye utca|438,65 M Ft|851 741 Ft / m2|515 m2|515 m2|12|30|https://ingatlan.com/34893743
23|Budapest XI. kerület, Kelenföld|299 M Ft|996 666 Ft / m2|300 m2|300 m2|8|29|https://ingatlan.com/34726097
24|Budapest XI. kerület, Kelenvölgy|249 M Ft|1 245 000 Ft / m2|200 m2|500 m2|5|23|https://ingatlan.com/34909466
25|Budapest XI. kerület, Rahó utca|179 M Ft|1 269 503 Ft / m2|141 m2|599 m2|6|28|https://ingatlan.com/34901240
26|Budapest XI. kerület, Sasad|395 M Ft|1 253 968 Ft / m2|315 m2|315 m2|7|10|https://ingatlan.com/34786377
27|Budapest XI. kerület, Gellérthegy|397,97 M Ft|1 554 579 Ft / m2|256 m2|256 m2|6|9|https://ingatlan.com/34872697
29|Budapest XI. kerület, Madárhegy|299 M Ft|2 105 633 Ft / m2|142 m2|386 m2|4|28|https://ingatlan.com/34920874
30|Budapest XI. kerület, Kelenföld|205 M Ft|1 767 241 Ft / m2|116 m2|1 m2|4|21|https://ingatlan.com/34717198
31|Budapest XI. kerület, Péterhegy|270 M Ft|927 835 Ft / m2|291 m2|291 m2|8|30|https://ingatlan.com/34889287
33|Budapest XI. kerület, Törökbálinti út|199 M Ft|1 700 854 Ft / m2|117 m2|147 m2|5|9|https://ingatlan.com/34830832
34|Budapest XI. kerület, Madárhegy|195 M Ft|1 666 666 Ft / m2|117 m2|147 m2|5|6|https://ingatlan.com/34899397
35|Budapest XI. kerület, Sasad|374,90 M Ft|1 846 798 Ft / m2|203 m2|203 m2|4|21|https://ingatlan.com/34621408
36|Budapest XI. kerület, Beregszász út|499 M Ft|1 467 647 Ft / m2|340 m2|340 m2|6|28|https://ingatlan.com/34901600
37|Budapest XI. kerület, Sasad|475 M Ft|1 187 500 Ft / m2|400 m2|400 m2|5|8|https://ingatlan.com/34909592
38|Budapest XI. kerület, Bereck utca|295 M Ft|1 092 592 Ft / m2|270 m2|270 m2|6|21|https://ingatlan.com/34767457
39|Budapest XI. kerület, Sasad|429 M Ft|975 000 Ft / m2|440 m2|440 m2|8|26|https://ingatlan.com/33044782
40|Budapest XI. kerület, Ozorai utca|350 M Ft|1 400 000 Ft / m2|250 m2|250 m2|6|30|https://ingatlan.com/34844166
41|Budapest XI. kerület, Madárhegy|435 M Ft|1 977 272 Ft / m2|220 m2|220 m2|5|21|https://ingatlan.com/34915965
42|Budapest XI. kerület, Brassó út|599 M Ft|1 460 975 Ft / m2|410 m2|410 m2|12|30|https://ingatlan.com/34883662
43|Budapest XI. kerület, Sasad|475 M Ft|1 240 208 Ft / m2|383 m2|383 m2|5|30|https://ingatlan.com/34697455
44|Budapest XI. kerület, Oltvány utca 50.|349,90 M Ft|1 254 121 Ft / m2|279 m2|279 m2|6|26|https://ingatlan.com/34719777
45|Budapest XI. kerület, Sashegy|599 M Ft|1 460 975 Ft / m2|410 m2|410 m2|12|21|https://ingatlan.com/34872158
46|Budapest XI. kerület, Dayka Gábor utca|370 M Ft|1 051 136 Ft / m2|352 m2|352 m2|5 + 1 fél|14|https://ingatlan.com/34450995
48|Budapest XI. kerület, Kelenföld|249 M Ft|2 075 000 Ft / m2|120 m2|1097 m2|5|20|https://ingatlan.com/34907321
50|Budapest XI. kerület, Kelenvölgy|170 M Ft|1 440 677 Ft / m2|118 m2|150 m2|4|11|https://ingatlan.com/34829279
53|Budapest XI. kerület, Táncos utca|215 M Ft|796 296 Ft / m2|270 m2|270 m2|5 + 1 fél|21|https://ingatlan.com/34821932
54|Budapest XI. kerület, Kelenvölgy|169 M Ft|1 432 203 Ft / m2|118 m2|150 m2|4|20|https://ingatlan.com/34804923
55|Budapest XI. kerület, Kelenföld|399,90 M Ft|1 249 687 Ft / m2|320 m2|320 m2|6|11|https://ingatlan.com/34102968
56|Budapest XI. kerület, Botfalu utca|399 M Ft|1 330 000 Ft / m2|300 m2|300 m2|12|15|https://ingatlan.com/34832261
57|Budapest XI. kerület, Kelenföld - Nádorliget-lakópark|320 M Ft|2 105 263 Ft / m2|152 m2|272 m2|7|21|https://ingatlan.com/34530003
58|Budapest XI. kerület, Péterhegy|279,14 M Ft|1 158 253 Ft / m2|241 m2|241 m2|5|28|https://ingatlan.com/33780674
59|Budapest XI. kerület, Nagyida utca|475 M Ft|1 187 500 Ft / m2|400 m2|400 m2|5|26|https://ingatlan.com/34660005
60|Budapest XI. kerület, Kelenföld|320 M Ft|2 105 263 Ft / m2|152 m2|272 m2|7|21|https://ingatlan.com/34521546
64|Budapest XI. kerület, Madárhegy|397 M Ft|1 654 166 Ft / m2|240 m2|240 m2|4 + 1 fél|7|https://ingatlan.com/34061283
65|Budapest XI. kerület, Madárhegy|495 M Ft|1 022 727 Ft / m2|484 m2|484 m2|5|29|https://ingatlan.com/34699530
66|Budapest XI. kerület, Péterhegy|219 M Ft|1 004 587 Ft / m2|218 m2|218 m2|1 + 5 fél|22|https://ingatlan.com/33667910
67|Budapest XI. kerület, Laska utca|114 M Ft|966 101 Ft / m2|118 m2|1360 m2|3|18|https://ingatlan.com/34849189
68|Budapest XI. kerület, Inotai utca|209 M Ft|995 238 Ft / m2|210 m2|210 m2|5|30|https://ingatlan.com/34839968
69|Budapest XI. kerület, Kelenvölgy|249,90 M Ft|1 249 500 Ft / m2|200 m2|497 m2|5|11|https://ingatlan.com/34869080
70|Budapest XI. kerület, Éva utca|270 M Ft|602 678 Ft / m2|448 m2|448 m2|8|22|https://ingatlan.com/34811643
72|Budapest XI. kerület, Kelenvölgy|285 M Ft|1 425 000 Ft / m2|200 m2|559 m2|6 + 1 fél|9|https://ingatlan.com/34860757
75|Budapest XI. kerület, Táncos utca 4/B|215 M Ft|733 788 Ft / m2|293 m2|293 m2|5 + 1 fél|3|https://ingatlan.com/34639200
76|Budapest XI. kerület, Sasad|450 M Ft|1 500 000 Ft / m2|300 m2|300 m2|4|23|https://ingatlan.com/33620200
77|Budapest XI. kerület, Bodajk utca|300 M Ft|1 500 000 Ft / m2|200 m2|625 m2|5 + 1 fél|3|https://ingatlan.com/34655553
78|Budapest XI. kerület, Budaörsi út 27.|215 M Ft|995 370 Ft / m2|216 m2|216 m2|6|2|https://ingatlan.com/34559261
79|Budapest XI. kerület, Kelenföld|490 M Ft|1 067 538 Ft / m2|459 m2|459 m2|20|25|https://ingatlan.com/34052487
80|Budapest XI. kerület, Sashegy|370 M Ft|1 051 136 Ft / m2|352 m2|352 m2|5 + 1 fél|20|https://ingatlan.com/34577123
81|Budapest XI. kerület, Facsemete utca|450 M Ft|2 227 722 Ft / m2|202 m2|202 m2|4|3|https://ingatlan.com/34676852
82|Budapest XI. kerület, Oltvány utca|238 M Ft|1 487 500 Ft / m2|160 m2|350 m2|3 + 1 fél|0|https://ingatlan.com/34668576
83|Budapest XI. kerület, Igmándi utca|249,90 M Ft|861 724 Ft / m2|290 m2|290 m2|7|20|https://ingatlan.com/34896638
84|Budapest XI. kerület, Madárhegy|475 M Ft|1 187 500 Ft / m2|400 m2|400 m2|5|18|https://ingatlan.com/34887000
87|Budapest XI. kerület, Igmándi utca|249 M Ft|858 620 Ft / m2|290 m2|290 m2|7|19|https://ingatlan.com/34915326
90|Budapest XI. kerület, Sasadi út|599 M Ft|1 460 975 Ft / m2|410 m2|410 m2|12|30|https://ingatlan.com/34904291
92|Budapest XI. kerület, Madárhegy|495 M Ft|1 460 176 Ft / m2|339 m2|339 m2|6|16|https://ingatlan.com/34899073
93|Budapest XI. kerület, Kelenföld|295 M Ft|1 536 458 Ft / m2|192 m2|144 m2|6|30|https://ingatlan.com/34849089
95|Budapest XI. kerület, Kelenvölgy|206 M Ft|1 889 908 Ft / m2|109 m2|203 m2|5|14|https://ingatlan.com/34815108
96|Budapest XI. kerület, Bodola Lajos utca|150 M Ft|937 500 Ft / m2|160 m2|500 m2|4|0|https://ingatlan.com/34810179
