id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
1|Budapest XII. kerület, Istenhegyi út 93/B|1,75 Mrd Ft|3 301 886 Ft / m2|530 m2|530 m2|1 + 1 fél|30|https://ingatlan.com/34921316
2|Budapest XII. kerület, Svábhegy|698 M Ft|2 803 212 Ft / m2|249 m2|249 m2||10|https://ingatlan.com/34894120
3|Budapest XII. kerület, Tóth Lőrinc utca|1,20 Mrd Ft|2 142 857 Ft / m2|560 m2|560 m2||30|https://ingatlan.com/34549674
4|Budapest XII. kerület, Orbánhegy|399,50 M Ft|1 141 428 Ft / m2|350 m2|350 m2||16|https://ingatlan.com/34794892
5|Budapest XII. kerület, Tamási Áron utca 27.|419 M Ft|1 939 814 Ft / m2|216 m2|216 m2||19|https://ingatlan.com/34912565
6|Budapest XII. kerület, Pillangó ösvény|209,90 M Ft|1 249 404 Ft / m2|168 m2|146 m2||30|https://ingatlan.com/34815632
7|Budapest XII. kerület, Csillagvölgyi út|698 M Ft|2 803 212 Ft / m2|249 m2|249 m2||18|https://ingatlan.com/34519557
8|Budapest XII. kerület, Rácz Aladár út|350 M Ft|2 187 500 Ft / m2|160 m2|1080 m2||14|https://ingatlan.com/34765838
9|Budapest XII. kerület, Nőszirom utca 1.|490 M Ft|2 592 592 Ft / m2|189 m2|800 m2||11|https://ingatlan.com/34800200
10|Budapest XII. kerület, Ibolya ösvény 11.|45 M Ft|750 000 Ft / m2|60 m2|200 m2||15|https://ingatlan.com/34898501
11|Budapest XII. kerület, Svábhegy|2,59 Mrd Ft|6 027 918 Ft / m2|430 m2|430 m2||16|https://ingatlan.com/34639855
12|Budapest XII. kerület, Farkasvölgy|890 M Ft|2 225 000 Ft / m2|400 m2|400 m2||29|https://ingatlan.com/34869085
13|Budapest XII. kerület, Dobsinai utca|1,49 Mrd Ft|3 725 000 Ft / m2|400 m2|400 m2||30|https://ingatlan.com/34891357
14|Budapest XII. kerület, Svábhegy|1,40 Mrd Ft|2 847 543 Ft / m2|490 m2|490 m2||3|https://ingatlan.com/34218377
15|Budapest XII. kerület, Virányos út|2,31 Mrd Ft|6 413 550 Ft / m2|360 m2|360 m2|5 + 1 fél|29|https://ingatlan.com/34846875
16|Budapest XII. kerület, Orbánhegyi út|753,68 M Ft|1 449 375 Ft / m2|520 m2|520 m2||29|https://ingatlan.com/34774315
17|Budapest XII. kerület, Városkúti út 25/B|275 M Ft|1 037 735 Ft / m2|265 m2|265 m2|3 + 1 fél|16|https://ingatlan.com/34235660
18|Budapest XII. kerület, Csillagvölgyi út|1,55 Mrd Ft|3 191 752 Ft / m2|485 m2|485 m2||21|https://ingatlan.com/34524746
19|Budapest XII. kerület, Agárdi út|980 M Ft|1 568 000 Ft / m2|625 m2|625 m2||19|https://ingatlan.com/34493268
