id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
1|Budapest XIV. kerület, Angol utca 32.|129,99 M Ft|1 361 151 Ft / m2|77 m2|||12|https://ingatlan.com/33580613
2|Budapest XIV. kerület, Angol utca 32.|127,98 M Ft|1 282 236 Ft / m2|80 m2|||12|https://ingatlan.com/33574460
3|Budapest XIV. kerület, Angol utca 32.|83,99 M Ft|1 646 862 Ft / m2|51 m2|||12|https://ingatlan.com/33578800
4|Budapest XIV. kerület, Angol utca 32.|112 M Ft|1 283 373 Ft / m2|64 m2|||12|https://ingatlan.com/33574493
5|Budapest XIV. kerület, Ilosvai Selymes utca|320 M Ft|1 422 222 Ft / m2|200 m2|||12|https://ingatlan.com/34587724
6|Budapest XIV. kerület, Bosnyák utca 48-50.|199 M Ft|1 439 421 Ft / m2|123 m2|||21|https://ingatlan.com/34760725
7|Budapest XIV. kerület, Telepes utca 82-84-86|115,50 M Ft|1 893 442 Ft / m2|61 m2||1 + 2 fél|5|https://ingatlan.com/34864223
8|Budapest XIV. kerület, Telepes utca 82-84-86|83 M Ft|1 596 153 Ft / m2|52 m2||1 + 2 fél|7|https://ingatlan.com/34784099
9|Budapest XIV. kerület, Gyarmat utca|149,90 M Ft|1 611 827 Ft / m2|83 m2||2 + 2 fél|30|https://ingatlan.com/34777764
10|Budapest XIV. kerület, Telepes utca 82-84-86|92,90 M Ft|1 720 370 Ft / m2|54 m2||1 + 2 fél|5|https://ingatlan.com/34863433
