id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
1|Budapest XXII. kerület, XIV. utca|169,90 M Ft|1 055 279 Ft / m2|161 m2|524 m2||20|https://ingatlan.com/34822952
2|Budapest XXII. kerület, Deák Ferenc utca|149 M Ft|1 354 545 Ft / m2|110 m2|900 m2||21|https://ingatlan.com/34805853
3|Budapest XXII. kerület, Baross Gábor-telep|149,90 M Ft|1 189 682 Ft / m2|126 m2|550 m2||12|https://ingatlan.com/34915224
4|Budapest XXII. kerület, Péter-Pál utca|379 M Ft|1 007 978 Ft / m2|376 m2|376 m2||29|https://ingatlan.com/34875910
5|Budapest XXII. kerület, Tordai út|279 M Ft|797 142 Ft / m2|350 m2|350 m2||30|https://ingatlan.com/34905058
6|Budapest XXII. kerület, Baross Gábor-telep|175 M Ft|1 121 794 Ft / m2|156 m2|500 m2||5|https://ingatlan.com/34841159
7|Budapest XXII. kerület, Budafok|420 M Ft|876 826 Ft / m2|479 m2|479 m2||30|https://ingatlan.com/34654674
8|Budapest XXII. kerület, Budafok|330 M Ft|942 857 Ft / m2|350 m2|350 m2|7 + 1 fél|30|https://ingatlan.com/34637568
9|Budapest XXII. kerület, Jogar utca|385 M Ft|1 610 878 Ft / m2|239 m2|239 m2||24|https://ingatlan.com/34859541
11|Budapest XXII. kerület, Pék utca 18.|269 M Ft|1 640 243 Ft / m2|164 m2|967 m2|3 + 1 fél|23|https://ingatlan.com/34128510
12|Budapest XXII. kerület, Alkotmány utca 50A|155 M Ft|1 550 000 Ft / m2|100 m2|600 m2||13|https://ingatlan.com/34382899
13|Budapest XXII. kerület, Romhányi József utca 19.|139,90 M Ft|1 128 225 Ft / m2|124 m2|628 m2||7|https://ingatlan.com/34512591
14|Budapest XXII. kerület, Dózsa György út|159 M Ft|722 727 Ft / m2|220 m2|220 m2||20|https://ingatlan.com/34909737
15|Budapest XXII. kerület, Liszt Ferenc út 23.|177,70 M Ft|1 287 681 Ft / m2|138 m2|805 m2|4 + 1 fél|15|https://ingatlan.com/34888355
16|Budapest XXII. kerület, Körmöci utca|129,90 M Ft|806 832 Ft / m2|161 m2|1105 m2||13|https://ingatlan.com/34806314
17|Budapest XXII. kerület, Budatétény|159,90 M Ft|710 666 Ft / m2|225 m2|225 m2|5 + 1 fél|20|https://ingatlan.com/34872268
18|Budapest XXII. kerület, Budafok - Rózsavölgy|429 M Ft|1 411 184 Ft / m2|304 m2|304 m2||28|https://ingatlan.com/34739741
19|Budapest XXII. kerület, Budafok|360 M Ft|1 142 857 Ft / m2|315 m2|315 m2||29|https://ingatlan.com/34865179
20|Budapest XXII. kerület, Móricz Zsigmond út|299 M Ft|2 471 074 Ft / m2|121 m2|500 m2||30|https://ingatlan.com/34900347
21|Budapest XXII. kerület, Budafok|184,90 M Ft|1 266 438 Ft / m2|146 m2|410 m2||17|https://ingatlan.com/34766933
22|Budapest XXII. kerület, Budafok|279,80 M Ft|1 092 968 Ft / m2|256 m2|256 m2||30|https://ingatlan.com/34875852
23|Budapest XXII. kerület, XIII. utca|172 M Ft|1 293 233 Ft / m2|133 m2|557 m2||11|https://ingatlan.com/34909546
24|Budapest XXII. kerület, X. utca|172 M Ft|1 293 233 Ft / m2|133 m2|600 m2||11|https://ingatlan.com/34909438
25|Budapest XXII. kerület, Budafok|154 M Ft|880 000 Ft / m2|175 m2|817 m2||30|https://ingatlan.com/34864373
26|Budapest XXII. kerület, Nagytétény|136 M Ft|503 703 Ft / m2|270 m2|270 m2|7 + 1 fél|14|https://ingatlan.com/34586368
27|Budapest XXII. kerület, Nagytétény|189 M Ft|1 050 000 Ft / m2|180 m2|730 m2||26|https://ingatlan.com/34538117
28|Budapest XXII. kerület, Tatárka utca 27A/1|175 M Ft|883 838 Ft / m2|198 m2|600 m2||22|https://ingatlan.com/33920496
29|Budapest XXII. kerület, Trencséni utca|269 M Ft|905 723 Ft / m2|297 m2|297 m2||23|https://ingatlan.com/34188105
30|Budapest XXII. kerület, Panoráma utca|229 M Ft|1 244 565 Ft / m2|184 m2|836 m2|5 + 1 fél|21|https://ingatlan.com/34267928
31|Budapest XXII. kerület, Tegzes köz 1-9.|169 M Ft|824 390 Ft / m2|205 m2|205 m2|5 + 1 fél|23|https://ingatlan.com/34749741
32|Budapest XXII. kerület, Komló utca|199,90 M Ft|1 332 666 Ft / m2|150 m2|400 m2||14|https://ingatlan.com/34709392
33|Budapest XXII. kerület, Rózsakert utca|159,90 M Ft|710 666 Ft / m2|225 m2|225 m2|4 + 1 fél|20|https://ingatlan.com/34669988
34|Budapest XXII. kerület, III. utca 16.|153 M Ft|1 176 923 Ft / m2|130 m2|1046 m2|3 + 1 fél|18|https://ingatlan.com/34918517
35|Budapest XXII. kerület, Honfoglalás út 76.|280 M Ft|800 000 Ft / m2|350 m2|350 m2||23|https://ingatlan.com/34890183
36|Budapest XXII. kerület, Gyula vezér út|164,99 M Ft|1 649 900 Ft / m2|100 m2|200 m2||14|https://ingatlan.com/34871352
37|Budapest XXII. kerület, Hunyadi utca|139 M Ft|1 029 629 Ft / m2|135 m2|895 m2|4 + 1 fél|17|https://ingatlan.com/34867048
38|Budapest XXII. kerület, Süvöltő utca 2.|188 M Ft|1 050 279 Ft / m2|179 m2|1128 m2||20|https://ingatlan.com/34864521
39|Budapest XXII. kerület, Péter-Pál utca|185 M Ft|467 171 Ft / m2|396 m2|396 m2|10 + 2 fél|20|https://ingatlan.com/34826443
40|Budapest XXII. kerület, Baross utca|239 M Ft|1 195 000 Ft / m2|200 m2|718 m2|6 + 1 fél|22|https://ingatlan.com/34818762
41|Budapest XXII. kerület, Besztercei utca|219 M Ft|1 795 081 Ft / m2|122 m2|217 m2||12|https://ingatlan.com/34812362
42|Budapest XXII. kerület, Sörház utca 47.|180 M Ft|857 142 Ft / m2|210 m2|210 m2||23|https://ingatlan.com/34809017
43|Budapest XXII. kerület, Viharvédő utca|120 M Ft|923 076 Ft / m2|130 m2|1300 m2||20|https://ingatlan.com/34782193
44|Budapest XXII. kerület, Sík utca|179 M Ft|1 209 459 Ft / m2|148 m2|600 m2||16|https://ingatlan.com/34731498
45|Budapest XXII. kerület, Vitéz utca|189 M Ft|1 050 000 Ft / m2|180 m2|730 m2|5 + 1 fél|4|https://ingatlan.com/34615622
46|Budapest XXII. kerület, Budafok|249,90 M Ft|1 249 500 Ft / m2|200 m2|747 m2||30|https://ingatlan.com/34672553
47|Budapest XXII. kerület, Baross Gábor-telep|244,90 M Ft|999 591 Ft / m2|245 m2|245 m2||28|https://ingatlan.com/34871248
48|Budapest XXII. kerület, Park utca|223,60 M Ft|1 300 000 Ft / m2|172 m2|400 m2||9|https://ingatlan.com/34559282
49|Budapest XXII. kerület, Budafok|279 M Ft|760 217 Ft / m2|367 m2|367 m2||30|https://ingatlan.com/34846740
50|Budapest XXII. kerület, Budafok|239 M Ft|1 195 000 Ft / m2|200 m2|718 m2|6 + 1 fél|30|https://ingatlan.com/34898386
51|Budapest XXII. kerület, Budatétény|159,90 M Ft|951 785 Ft / m2|168 m2|710 m2||25|https://ingatlan.com/34861383
53|Budapest XXII. kerület, Budafok|168 M Ft|1 292 307 Ft / m2|130 m2|305 m2||18|https://ingatlan.com/34802595
54|Budapest XXII. kerület, Budatétény|169 M Ft|751 111 Ft / m2|225 m2|225 m2|4 + 1 fél|5|https://ingatlan.com/34830980
55|Budapest XXII. kerület, Nagytétény|149,90 M Ft|999 333 Ft / m2|150 m2|522 m2||25|https://ingatlan.com/34730896
56|Budapest XXII. kerület, Budafok|169 M Ft|793 427 Ft / m2|213 m2|213 m2||10|https://ingatlan.com/34775608
57|Budapest XXII. kerület, Budafok|179,90 M Ft|1 124 375 Ft / m2|160 m2|428 m2||28|https://ingatlan.com/34806795
58|Budapest XXII. kerület, Nagytétény|145 M Ft|1 169 354 Ft / m2|124 m2|628 m2||11|https://ingatlan.com/34432912
59|Budapest XXII. kerület, Nagytétény|139 M Ft|926 666 Ft / m2|150 m2|635 m2|5 + 1 fél|23|https://ingatlan.com/34871079
60|Budapest XXII. kerület, Nagytétény|149 M Ft|955 128 Ft / m2|156 m2|358 m2||7|https://ingatlan.com/34932397
61|Budapest XXII. kerület, Nagytétény - Óhegy|139 M Ft|1 263 636 Ft / m2|110 m2|404 m2|3 + 2 fél|26|https://ingatlan.com/34716178
62|Budapest XXII. kerület, Budafok|179,90 M Ft|514 000 Ft / m2|350 m2|350 m2|10 + 2 fél|30|https://ingatlan.com/34696249
63|Budapest XXII. kerület, Nagytétény - Óhegy|165 M Ft|1 375 000 Ft / m2|120 m2|490 m2||6|https://ingatlan.com/34695070
64|Budapest XXII. kerület, Nagytétény|105 M Ft|990 566 Ft / m2|106 m2|314 m2|5 + 1 fél|21|https://ingatlan.com/34587219
65|Budapest XXII. kerület, Budafok|172,90 M Ft|1 262 043 Ft / m2|137 m2|269 m2||8|https://ingatlan.com/34699304
