id,cim,reszletes_cim,teljes_ar,reszletes_ar,terulet,nm_ar,szobak,epitesi_ev,szint,allapot,ingatlan_allapota,futes,erkely,parkolas,energetikai,tajolas,kert,hirdeto_tipus,leiras,ingatlanos,telefon,link
34726286,"Budapest X. kerület, Lenfonó utca",,"58,50 M Ft",,50 m2,1 125 000 Ft / m2,2.0,1981 és 2000 között,8,,felújított,távfűtés,4 m2,"utca, közterület - ingyenes",,dél,nem,maganszemely,"Újhegyi lakótelepen, panelprogramon átesett (szigetelt), rendezett, kulturált házban, 2 szobás, felújított, erkélyes, déli fekvésű, panorámás, 2 klímával rendelkező lakás eladó. A lakásban kb. 10 éve teljeskörű felújítás történt: konyha, fürdőszoba, nyílászárók,hideg és meleg burkolatok. A vételár tartalmazza a jó minőségű beépített szekrényeket, a konyhában lévő gépeket (okos hűtőszekrény, mosogatógép , elszívó, tűzhely) és a nappaliban található bútorokat. A közösköltség 16 600 Ft, rezsi télen 33000 Ft- nyáron 20 000Ft! Tehermentes, 1/1 -es tulajdonos, nem lakott, gyorsan költözhető! A lakás az újhegyi lakótelep szélén a Sibrik Miklós út közelében fekszik, a tömegközlekedés és vásárlási lehetőség pár perc sétával elérhető. A ház előtti parkolás ingyenes. Befektetésnek is kiváló döntés lehet, könnyen kiadható! Rugalmasan megtekinthető! Hívását a hét minden napján fogadom!",,,https://ingatlan.com/34726286
34684331,"Budapest X. kerület, Kővágó utca",,"66,90 M Ft",,68 m2,962 589 Ft / m2,3.0,1981 és 2000 között,10,,jó állapotú,távfűtés,3 m2,"utca, közterület - ingyenes",,délnyugat,nem,bizonytalan,"Árcsökkenés!!! Kiváló állapotú nagy lakás eladó az Újhegyi lakótelepen Eladó a X. kerületben a kedvelt Újhegyi lakótelepen egy jó állapotú, 68 nm-es 3 szobás, erkélyes nagy lakás. A lakóház és a környezete is rendezett, az épületek között zöld parkok találhatók. A lakás jó elosztású, ablakai két irányba néznek, így minden napszakban éri fény. Konyhája nagy ablakos, a szobák kényelmes méretűek, jól berendezhetők. Az egyik szoba erkélyes. A nyílászárók cserélve lettek korszerű műanyag ablakokra, a fürdőszoba és a konyha is felújításra került. A szobákban laminált padló lett lerakva. Az ingatlan üres, tehermentes, rövid időn belül birtokba vehető. Közelben minden gyalogosan is elérhető, Bajcsy Kórház, rendelő, piac, Interspar, Auchan és egyéb bevásárlási lehetőségek. Buszjáratok közvetlenül Kőbánya-Kispest vonat- és metrómegállóhoz mennek, Örs vezér tere is könnyen elérhető.",,,https://ingatlan.com/34684331
34843743,"Budapest X. kerület, Oltó utca 8.",,"69,50 M Ft",,68 m2,1 007 246 Ft / m2,3.0,,földszint,,felújított,távfűtés,2 m2,"utca, közterület - ingyenes",,,,ingatlaniroda,"Budapest X. kerületének csendes, jól ellátott részén kínálok eladásra egy 68 m²-es, magasföldszinti lakást. Az ingatlan 3 szobával rendelkezik. A lakás világos, modern kialakítású, erkéllyel, műanyag ablakokkal és 2 darab klímaberendezéssel felszerelt. Az ingatlan rendezett társasházban található. Parkolás ingyenes a környéken.",,,https://ingatlan.com/34843743
34926441,"Budapest X. kerület, Mélytó utca",,59 M Ft,,49 m2,1 180 000 Ft / m2,2.0,,,,,,2 m2,,,,,ingatlaniroda,"Eladó az Újhegyi lakótelep egyik legjobb részén, a tó mellett egy 49 nm-es második emeleten lévő ,kétszobás lakás,,ami teljes felújításon esett át az idén, ami azt jelenti, hogy elektromos hálózattól kezdve ,minden teljesen új. A ház részt vett a panelprogramban , ezért a teljesen körbe van szigetelve. Ide csak be kell költözni, a képek magukért beszélnek. Ára 59 millió forint. Kérem, hogy ingatlan közvetítők ne keressenek. Érdeklődni 17 óra után lehet.",,,https://ingatlan.com/34926441
34913161,"Budapest X. kerület, Kővágó utca",,58 M Ft,,49 m2,1 137 254 Ft / m2,,,4,,felújított,,4 m2,"utca, közterület - ingyenes",,délnyugat,,bizonytalan,"Tisztelt Érdeklődő! Családunk bővülése miatt eladásra kínáljuk Budapest X. kerületében az Újhegyi Lakótelep legjobb részén található 49m2-es, 4. emeleti erkélyes lakásunkat. Zárt lépcsőházból jutunk a csupán a szomszéddal közös erkélyre, majd a lakásba lépést követően egy előszoba fogad, ahonnan jobbra az ablakos, világos konyha található. A közlekedőn át jutunk el a külön helyiségben kialakított fürdőszobához és WC-hez, valamint innen nyílik a nappali és a hálószoba is. A lakás praktikus és jól átgondolt elrendezésének köszönhetően kifejezetten élhető. A lakás teljeskörű felújítása 2017-ben történt meg ablak, kül- és beltéri ajtók, illetve radiátor cserékkel együtt. A vizes blokkok csövei, berendezései, burkolatai szintén ekkor lettek újakra cserélve. A kisebb szoba ekkor lett leválasztva külön bejáratú helyiséggé. A felújítás óta kicseréltük a közös teraszon a burkolatot magas minőségű járólapra, illetve a korlát is újra lett cserélve. Az összes ablak redőnyös és szúnyoghálók is vann...",,,https://ingatlan.com/34913161
34831191,"Budapest X. kerület, Szövőszék utca",,"53,90 M Ft",,50 m2,1 078 000 Ft / m2,2.0,,6,,jó állapotú,távfűtés,,,,,,ingatlaniroda,"Eladó Budapest X. kerületének csendes, zöldövezeti részén, az Újhegyi sétány közvetlen közelében egy 50 nm-es, 2 szobás, 6. emeleti liftes lakás, gyönyörű kilátással 10 percre a KöKi Terminaltól. Főbb jellemzők: Erkélyes lakás, sok természetes fénnyel Felújított elektromos hálózat Műanyag nyílászárók, redőnnyel 2 db hűtő-fűtő klímaberendezés az extra kényelemért Panelprogramban beszigetelt társasház Alacsony rezsi és közösköltség Bútorozottan Parkolás a ház előtt ingyenes Tehermentesen azonnal költözhető !Akár bérlőkkel együtt is átvehető, így befektetésnek is tökéletes! Lokáció: Nyugodt környék, kiváló közlekedés, pár perc sétára boltok, óvoda, iskola, orvosi rendelő, buszmegálló Tökéletes választás első otthonnak vagy kiadásra is! Képeket szívesen küldök róla üzenetben vagy e-mailben Érdeklődni privát üzenetben vagy telefonon - rugalmasan elérhető vagyok akár az esti órákban vagy hétvégén is!",,,https://ingatlan.com/34831191
34905280,"Budapest X. kerület, Szövőszék utca 20.",,"54,90 M Ft",,49 m2,1 087 128 Ft / m2,2.0,1981 és 2000 között,6,,jó állapotú,távfűtés,3 m2,"utca, közterület",,,nem,ingatlaniroda,"Other languages below! Eladó világos, erkélyes 2 szobás panel lakás a X. kerületben! Budapest X. kerületében, rendezett panelház 6. emeletén kínálunk eladásra egy 49 m²-es, 2 szobás, erkélyes lakást. 2020 márciusában teljes vízvezeték rendszer cserélve lett (képeket tudok küldeni róla) Villanyvezetékek 2017-ben lettek korszerűsítve. Az ingatlan praktikus elosztású: Különnyíló WC és fürdőszoba, Külön bejáratú szobák, Erkély, amely kellemes pihenőhelyet biztosít a mindennapokban. A lakás világos, jól szellőző, ideális lehet első lakásnak, fiatal pároknak, vagy befektetés céljából is. A házban lift működik, a környék csendes, mégis kiváló közlekedési és infrastrukturális adottságokkal rendelkezik: boltok, iskola, óvoda, orvosi rendelő, tömegközlekedés a közelben. Nyílászárók újak (2024), redőnnyel szúnyoghálóval felszerelve, biztonsági bejárati ajtó szintén új, mindenre 5 éves garancia van. Ne maradjon le róla – jöjjön el, nézze meg, és találja meg új otthonát! English Bright 2-Room Panel...",,,https://ingatlan.com/34905280
34763657,"Budapest X. kerület, Tóvirág utca",,"58,90 M Ft",,50 m2,1 143 689 Ft / m2,2.0,1981 és 2000 között,10,,felújított,távfűtés,3 m2,"utca, közterület - ingyenes",,délnyugat,nem,maganszemely,"Befektetők, első lakásvásárlók, kisgyermekes családok figyelem! Eladó egy 2025-ben teljeskörűen felújított, 50 m²-es, 5. emeleti erkélyes panel lakás a csendes, zöldövezeti környéken az Újhegyi lakótelepen. Az ingatlan főbb jellemzői: Az ingatlan 2025-ben teljeskörű felújításon esett át, viszont két ablak cseréje még hátra van, amit a tulajdonos saját költségén vállal. -Erkélyes, világos lakás -Alacsony fűtési költség, kedvező fenntartás a téli hónapokban mindössze 15 ezer ft/hó. -Ingyenes parkolás a környéken. -Csendes, zöld környezet, kiváló infrastruktúrával. -Konyha bútorozatlan, így arról az új tulajdonosnak kell majd gondoskodnia. Környék : -Felújított Újhegyi sétány üzletekkel, éttermekkel, kávézókkal mindössze csak pár perc sétára. -Újhegyi Mélytó és sportliget, mely ideális futásra, kerékpározásra, piknikezésre. -Iskolák, óvodák, játszótér és boltok a közelben. -Kiváló tömegközlekedés: 68, 85, 117, 185, 85E, 909, 968 buszjáratok. -Metró gyorsan elérhető: Kőbánya-Kispest és Őrs...",,,https://ingatlan.com/34763657
34681746,"Budapest X. kerület, Bányató utca",,"63,89 M Ft",,68 m2,919 280 Ft / m2,3.0,1981 és 2000 között,9,,közepes állapotú,távfűtés,3 m2,"utca, közterület - ingyenes",,nyugat,nem,ingatlaniroda,"Kiváló elhelyezkedésű, panorámás, erkélyes lakás az Újhegyi-sétány közelében, azonnal költözhető! Ez a világos, erkélyes lakás fantasztikus panorámával és egy barátságos, jól működő lakóközösséggel várja új tulajdonosát. A tiszta és rendezett lépcsőház biztosítja a kényelmes és biztonságos otthont. A lakás műanyag nyílászárókkal rendelkezik, így energiahatékony és jól szigetelt. Környék és közlekedés: A lakás ideális helyen található, mindössze pár perc sétára minden fontosabb szolgáltatástól: gyógyszertár, posta, orvosi rendelő, iskolák, pékségek, cukrászdák, bankfiókok és üzletek egyaránt elérhetők. A közlekedés is kiváló: az 85E autóbusszal 1 megállóra található a Köki Terminál (3-as metró végállomása), míg az Örs vezér tere (2-es metró végállomása) 8 buszmegállóra. Parkolás és egyéb előnyök: Az utcán ingyenes parkolási lehetőség biztosított, és bőven van hely is. A lakás per- és tehermentes, így akár azonnal birtokba vehető. Az ár tartalmazza az összes bútorzatot, amelyek a fotókon...",,,https://ingatlan.com/34681746
34925507,"Budapest X. kerület, Dombtető utca",,"75,90 M Ft",,68 m2,1 092 086 Ft / m2,3.0,1950 és 1980 között,1,,felújított,"távfűtés, hűtő-fűtő klíma",3 m2,"utca, közterület - ingyenes",D,,,maganszemely,"Eladó egy felújított, lakberendező által berendezett 3 szobás, erkélyes panellakás az újhegyi lakótelepen! Az újhegyi lakótelep a X. kerület egyik legzöldebb, legjobban kiépült része, újszerű játszóterek, boltok (Spar, Lidl, Penny, Auchan, DM, Rossmann, Jysk) posta, gyógyszertár, gyerek és felnőtt háziorvosi rendelők, óvoda, iskola sétával elérhetőek. A közelben egy kellemes sétára elérhető az Újhegyi bánya-tó, sportolási lehetőség pedig a frissen felújított sportligetben adott. Itt eladó egy 1. emeleti, 68 m²-es, 3 szobás, erkélyes panellakás! A lakás mindig a család tulajdonában állt, így folyamatosan gondozva volt, minden szükséges és aktuális felújítást elvégeztünk: ✅ Prémium biztonsági alumínium bejárati ajtó ✅ Hűtő-fűtő klíma ✅ Fürdő, WC, konyha teljes körű felújítása a vízvezetékek cseréjével. ✅ Beltéri CPL ajtók ✅ A vizes helyiségekben mozgásérzékelővel és időzítővel ellátott világítás ✅ Radiátorok cseréje ✅ A szobákban laminált padló ✅ A nappaliban és a gyerekszobában szabályo...",,,https://ingatlan.com/34925507
