id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|varosresz_kategoria|varosresz_premium_szorzo|enhanced_keruleti_resz|lokacio_konfidencia|lokacio_elemzesi_modszer|lokacio_forras|lokacio_elemzesek_szama|geo_latitude|geo_longitude|geo_address_from_api
1|Budapest XII. kerület, Istenhegyi út 93/B||1,75 Mrd Ft||530 m2|3 301 886 Ft / m2|1 + 1 fél|1981 és 2000 között||felújítandó||||ingatlaniroda|30|"leírás tájékoztató jellegű

Istenhegyi út 93/B
HRSZ 9780/6
1800 nm telek
50-75 m hosszú nyél
19% meredekség, emelkedés
panoráma
napfényes
felújítandó modernizálandó projekt ház
projekt kert
konténeres autó befér kapun, nyélen
összközműves
1/1 egészben eladó
azonnal költözhető, kiürített

leírás tájékoztató jellegű"|https://ingatlan.com/34921316|530 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|-2.0|0|0|0|0|0|0|1|1|2.5|2.0|0.5|XII. ker. Budai hegyek - Villa negyed|1.4|Virányos|0.48|enhanced_4step|aggregated_from_2_sources|2|||
2|Budapest XII. kerület, Svábhegy||698 M Ft||249 m2|2 803 212 Ft / m2||2024|||hőszivattyú, hűtő-fűtő klíma, cserépkályha||teremgarázs hely - benne van az árban|ingatlaniroda|10|"Luxus családi ház a hegyen!
Tekintse meg videos bemutatónkat!

Eladó Széchenyi hegyen, ősfás környezetben, 2023-ben épült ház 608 m2 saját kertjével. 1/1-es tulajdonú, per és tehermentes, a telken egy szomszédos ingatlannal (ikerházi elrendezés, egy közös fallal, közös bejáróval). A nappaliból gyönyörű panoráma nyílik a budai hegyekre, lakáshoz tartozik egy kétállásos garázs és két autó számára kültéri beálló, egy nyári konyha, napozóterasz, panorámás infra-finn szauna, merülődézsa is. A kert egy több száz növényfajból álló botanikus kert, telepített gyeppel és robotfűnyíróval.
A ház félig a hegyoldalba süllyed így télen és nyáron is kellemes alap hőmérsékletet biztosít

A műszaki tartalom főbb elemei:
- Az épület szerkezet monolit vasbeton, 25 cm-es külső szigeteléssel
- Belső ytong válas..."|https://ingatlan.com/34894120|249 m2|B|||||||||||||||||||0.0|4.0|0.0|3.8|0.0|6.4|2.5|-2.0|0|1|0|1|0|1|1|1|16.7|2.0|14.7|XII. ker. Budai hegyek - Villa negyed|1.4|Svábhegy|0.24|enhanced_4step|aggregated_from_1_sources|1|||
3|Budapest XII. kerület, Tóth Lőrinc utca||1,20 Mrd Ft||560 m2|2 142 857 Ft / m2||1950 előtt||felújított|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|30|"Kis-Sváb-hegy, szelíd dimbek-dombok, kertes házak.
Egy kis történelem:1910-ben született az ötlet, hogy az Országos Bírói és Ügyészi Egyesület telket szerezzen a Fővárosban, hogy azon az Egyesület nagyra becsült tagjai családi házakat építhessenek, továbbá, hogy a vidéki tagok számára épüljön kollégium és egy bérház is. A terveket tett követte, a Pesti Hazai Takarékpénztár és a Magyar Jelzáloghitelbank támogatásával vett az Egyesület egy fél hegyoldalt, mintegy tízezer négyszögölt a Kis-Sváb-hegyen. Az új negyed határai az akkor már létező Istenhegyi út, és a mai Ráth György, Tóth Lőrinc és a Határőr utak lettek, az új utcákat, ld. Karap, Csemegi, Székács mind híres jogászokról nevezték el.

Az Egyesület megbízta Árkay Aladárt, aki 39 családi ház tervét rajzolta meg, és ami a legmeglepőbb ..."|https://ingatlan.com/34549674|560 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XII. ker. Hegyvidék prémium|1.35|Orbánhegy|0.68|enhanced_4step|aggregated_from_1_sources|1|||
4|Budapest XII. kerület, Orbánhegy||399,50 M Ft||350 m2|1 141 428 Ft / m2||1950 előtt||felújítandó|gázkazán||önálló garázs - kötelező megvenni|ingatlaniroda|16|"XII. kerületben a Fodor utca és a Storfeld Aurél utca között elhelyezkedő, 1942-ben épült, különleges polgári, klasszikus villaépület ősfás, sík parkosított kerttel eladó. Az épület korabeli eredetiségét megtartotta, de felújításra, korszerűsítésre vár. Nappali előtt hatalmas terasz és kertkapcsolat látható. A ház nyeregtetős, vasbeton födémmel rendelkezik, padlástér nagy belmagasságú, beépíthető, 130 nm beépítésére előkészített.
Külön bejárattal rendelkező kis garzolakás is tartozik az épülethez. Az utca forgalommentes, nagyon csendes és csupa zöld, a kert intim, az épület az utcáról nem látható. Garázs vételára 20 M.
Buszmegálló a közelben."|https://ingatlan.com/34794892|350 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|0.0|0|0|0|0|0|0|1|0|2.5|0.0|2.5|XII. ker. Budai hegyek - Villa negyed|1.4|Orbánhegy|0.5|enhanced_4step|aggregated_from_2_sources|2|||
5|Budapest XII. kerület, Tamási Áron utca 27.||419 M Ft||216 m2|1 939 814 Ft / m2||1950 előtt||jó állapotú|gázkazán, cserépkályha||önálló garázs - benne van az árban|ingatlaniroda|19|"Eladó Orbánhegyen, a XII. kerület legjobb részén egy villaépület.

Tamási Áron utca 27. telek mérete 1065 nm, a lakótér 216 nm, ebből egy kis lakás 35 nm, a tetőtér beépíthető, nettó 125 nm nyerhető, onnan csodálatos a panoráma a városra. A belmagasság a földszinten 3,1 méter.

A ház 1942-ben téglából épült, az akkori követelmények szerinti legjobb minőségben. Fa nyílászárók, ajtók, a tetőcserélve lett azóta.

A környéken nagyon barátságos, összetartó emberek laknak. A délnyugati tájolású házban a vastag falaknak köszönhetően kellemes érzet van klíma használata nélkül is. A meleget gázkazán biztosítja, valamint a nappaliban egy csodás cserépkályha is helyet kapott. Az épület részben alápincézett.

Ajánlom a házat családoknak, és befektetőknek egyaránt, valamint cégközpontnak. Az alaprajz t..."|https://ingatlan.com/34912565|216 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XII. ker. Budai hegyek - Villa negyed|1.4|Orbánhegy|0.68|enhanced_4step|aggregated_from_1_sources|1|||
6|Budapest XII. kerület, Pillangó ösvény||209,90 M Ft||168 m2|1 249 404 Ft / m2||2015||újszerű|egyéb kazán||udvari beálló - benne van az árban|ingatlaniroda|30|"XII. kerületben, CSILLEBÉRCEN, a CSILLEBÉRCI-ERDŐ közvetlen közelében, nyugodt, erdős, üdülőövezeti részen, a Pillangó ösvényen eladó egy ÚJSZERŰ, 2015-ös, téglaépítésű, 168 + 44 nm-es (168 nm lakótér + 44 nm terasz), 3 SZOBÁS, HÁROMSZINTES, hőszigetelt, PANORÁMÁS, DUPLA TERASZOS, DUPLAKOMFORTOS, részben bútorozott és gépesített, csendes, világos, körbejárható, KERTES, ÖNÁLLÓ, CSALÁDI HÁZ.
A földszinten (60 nm) egy kertkapcsolatos HÁLÓSZOBA (43 nm), egy gardróbhelyiség (87 nm), egy zuhanyzós fürdőszoba (3 nm), egy lépcső alatti tároló (1 nm), egy lépcsőház és egy tárolóhelyiség (6 nm) került kialakításra.
Az emeleten (54 nm lakótér + 28 nm terasz) egy teraszkapcsolatos, amerikai konyhás, étkezős NAPPALI (47,5 nm), egy zuhanyzós fürdőszoba (4 nm), egy előszoba (2,5 nm), egy lépcsőház, egy s..."|https://ingatlan.com/34815632|146 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|0.0|0|0|0|0|0|1|0|0|3.2|0.0|3.2|XII. ker. Budai hegyek - Villa negyed|1.4|Ismeretlen|0.0|fallback|none|0|||
7|Budapest XII. kerület, Csillagvölgyi út||698 M Ft||249 m2|2 803 212 Ft / m2||2023||új építésű|hőszivattyú, hűtő-fűtő klíma, cserépkályha||önálló garázs - benne van az árban|maganszemely|18|"Ingatlanosok kérem ne keressenek!

Ősfás környezetben, a tájvédelmi körzet közvetlen szomszédságában, 2023-ben épült ház 608 m2 saját kertjével, építtető-tulajdonosától eladó. 1/1-es tulajdonú, per és tehermentes, a telken egy szomszédos ingatlannal (ikerházi elrendezés, egy közös fallal, közös bejáróval). A nappaliból gyönyörű panoráma nyílik a budai hegyekre, a félreeső utca pedig valódi csendet és nyugalmat biztosít az itt élők számára. A lakáshoz tartozik egy kétállásos garázs és két autó számára kültéri beálló, egy nyári konyha, napozóterasz, panorámás infra-finn szauna, merülődézsa is. A kert egy több száz növényfajból álló botanikus kert, telepített gyeppel és robotfűnyíróval.
A ház félig a hegyoldalba süllyed így télen és nyáron is kellemes alap hőmérsékletet biztosít, a hatalmas ü..."|https://ingatlan.com/34519557|249 m2|B|||||||||||||||||||0.0|4.0|0.0|0.0|0.0|6.4|0.0|-2.0|0|1|0|0|0|1|0|1|10.4|2.0|8.4|XII. ker. Budai hegyek - Villa negyed|1.4|Ismeretlen|0.0|fallback|none|0|||
8|Budapest XII. kerület, Rácz Aladár út||350 M Ft||160 m2|2 187 500 Ft / m2||||||||maganszemely|14|"Ötvenes évekbe épült, teljesen felújítandó családi ház , telek tulajdonostól eladó.
2. kerületi vagy Gellérthegyi lakást beszámítok.
Ingatlanosok értékesítési céllal ne keressenek!

Beépíhetőségi infomáció:
Az építhető épület mérete a telek területe és a beépítési paraméterek függvénye:

Az ingatlanon legfeljebb: 1081*0,15 = 162,15 m2 beépíthető alapterületen, 1081*0,35= 378,35 m2 bruttó általános építményszint építhető.
A KÉSZ 84.§ szerint számítva az ingatlanon legfeljebb 3 önálló rendeltetési egység létesíthető, egy épületben."|https://ingatlan.com/34765838|1080 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0|0|0|0|0|0|0|1|0.0|2.0|-2.0|XII. ker. Hegyvidék prémium|1.35|Krisztinaváros|0.68|enhanced_4step|aggregated_from_1_sources|1|||
9|Budapest XII. kerület, Nőszirom utca 1.||490 M Ft||189 m2|2 592 592 Ft / m2||2026||új építésű|hőszivattyú||önálló garázs|maganszemely|11|"Nőszirom utca 1. I új építésű luxus ház projekt I 189m2 I 3 hálószoba I 2 fürdőszoba I 3 terasz I 2 beállós garázs I közvetlenül az erdő mellett I panorámás

A természetvédelmi terület (Ördög -orom és Széchenyi -hegyi természetvédelmi terület) közvetlen szomszédságában található, déli tájolású, panorámás építési telken kerül magvalósításra a Nőszirom utca 1. luxus ház projekt. Az engedélyezett koncepció szerint a természetbe illeszkedő két darab ház kerül megépítésre az 1700m2-es telken, melyet körbe ölel a természet (Cédrus, fenyő liget és erdő övezi a telket) A telekről, illetve majd a házból is kilátás nyílik a Széchenyi -hegyre és a környező hegyekre, erdőkre.

Az eladó ház két szintes, a földszinten a nappali- konyha, előtér egyben 62.32m2, melyben egy fa tüzelésű kandalló épül. A föl..."|https://ingatlan.com/34800200|800 m2|A+++|||||||||||||||||||0.0|0.0|0.0|7.6|0.0|6.4|0.0|0.0|0|0|0|1|0|1|0|0|14.0|0.0|14.0|XII. ker. Budai hegyek - Villa negyed|1.4|Ismeretlen|0.0|fallback|none|0|||
10|Budapest XII. kerület, Ibolya ösvény 11.||45 M Ft||60 m2|750 000 Ft / m2||||újszerű|hűtő-fűtő klíma||udvari beálló - benne van az árban|maganszemely|15|"Augusztus 31-ig sürgősség miatt ez az ár. Eddig kell lefoglalózni és 50 napon belül kifizetni!

Csillebérc déli oldalán kedves kis ház eladó.

Akár nagyobb telekkel is vagy akár a felette lévő 45 m2-es házzal is megvehető.

Autóval be lehet állni. Be lehet jelentkezni ide.

Egy régebbi építésű ház lett teljesen átépítve az elmúlt években.

A telek meredek, de teraszos, több része használható, több része nem. Van egy 15 m2-es és egy 7 m2-es terasza (az alapterületbe a fele be lett számítva, akár részben beépíthető még egy szobának.

Van rendes vezetékes víz, derítőgödör, ami elszivárogtató rendszerű (nem kell szivatni, de lehet), villany nappali és H-tarifa.
A tavalyi fűtési szezonban 38 ezer Ft volt a teljes számla 6 hónapra!

Szemétszállítás megoldott. Szomszédságban 2 oldalról lakott. Re..."|https://ingatlan.com/34898501|200 m2|B|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0|0|0|0|0|0|0|1|0.0|2.0|-2.0|XII. ker. Budai hegyek - Villa negyed|1.4|Orbánhegy|0.64|enhanced_4step|aggregated_from_1_sources|1|||
