id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|enhanced_keruleti_resz|lokacio_konfidencia|lokacio_elemzesi_modszer|lokacio_forras|lokacio_elemzesek_szama|geo_latitude|geo_longitude|geo_address_from_api|varosresz_kategoria|varosresz_premium_szorzo
1|Budaörs, Pipacs utca 12.||263,80 M Ft||119 m2|2 216 806 Ft / m2|4 + 1 fél|2024||új építésű|hőszivattyú, hűtő-fűtő klíma, padlófűtés||udvari beálló - benne van az árban|ingatlaniroda|28|"Budaörs, Pipacs utca 12. szám alatt eladó kivitelezőtől a mai kor legmodernebb műszaki megoldásaival, modern építészeti és belső designnal megépített LUXUS ikerház.
A ház különlegessége, hogy a másik “ikertől” szinte teljesen szeparált!!

Elegáns kertváros, rendezett környék, kedves szomszédok! Iskolák, bevásárlási, sportolási lehetőség a közelben!

Értékesítendő alapterület 119 m2.
Felszíni parkoló van 2 autó részére egymás melletti parkolással.
A kocsiknak automata tolókapu, a gyalogos bejutáshoz külön elektromos kertkapu van.
A terasz közvetlenül a nappaliból nyílik pergolával fedett 13 m2,
Saját telekterület 400 m2.


A HÁZRÓL
Az épület keleti, dél-keleti fekvésű, nagyméretű ablakainak köszönhetően nagyon világos.
Egyes részei kívülről egyedi VALÓDI fából készült faburkolattal és pergo..."|https://ingatlan.com/33983401|400 m2|A+|||||||||||||||||||0.0|0.0|0.0|3.8|0.0|0.0|0.0|-4.0|0|0|0|1|0|0|0|1|3.8|4.0|-0.2|Orbánhegy|0.76|enhanced_4step|aggregated_from_1_sources|1||||Budaörs Új Lakónegyed|1.15
2|Budaörs, Kossuth Lajos utca 25.||179,90 M Ft||150 m2|1 199 333 Ft / m2|5 + 2 fél|2025||új építésű|hőszivattyú, mennyezeti hűtés-fűtés||udvari beálló - kötelező megvenni|ingatlaniroda|8|"A KOSSUTH RESIDENCE KIEMELKEDŐ ÉRDEKLŐDÉSÉNEK KÖSZÖNHETŐEN, MÁR CSAK 1 DB SZABAD LAKÁS MARADT! KIVÁLÓ LOKÁCIÓ, CSENDES, PRIVÁT KERT, TÖKÉLETES CSALÁDI OTTHON!

Budaörs központjában újonnan épülő összesen 150 nm-es energiatakarékos 3 szintes ikerházfél
179.9 Millió Ft vételáron vásárolható meg.

Jól átgondolt kialakításnak köszönhetően,a földszinten egy tágas,fényes 35 nm-es amerikai konyhás nappali mellett, praktikusan egy kamra,vendégmosdó, valamint egy háztartási helység helyezkedik el. Nappaliból egy tolóajtón keresztül jutunk ki a teraszra, majd onnan a kb. 70 nm-es saját parkosított kertbe. Az emeleten 3 db jó méretű hálószoba,melyből 2 erkély kapcsolatos és egy fürdőszoba található. Kialakításra került egy szuterén szint, mely tökéletes megoldást nyújt az élettér növelésére. Mosókony..."|https://ingatlan.com/34883029|70 m2|A+|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Ismeretlen|0.0|fallback|none|0||||Budaörs Központ - Villa Negyed|1.3
3|Budaörs, Ősz utca||202 M Ft||238 m2|848 739 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán||udvari beálló - benne van az árban|maganszemely|23|"Tulajdonostól eladó Budaörs keresett részén, a Kertváros részen, a XI. kerület határán, csendes, aszfaltozott mellékutcában, kiváló tömegközlekedésnél egy 238 m2 -es, 3 szintes családi ház, 459 m2 -es telken. Az ingatlan elhelyezkedése miatt télen is kiválóan megközelíthető. A közelben iskola, óvoda, éjjel nappali közért, áruházak, patika, benzinkút, buszmegálló található. A kertben két autó parkolására betonozott platz van kialakítva. A ház világos, körbe napozott, kertre és utcára néző ablakokkal.

A földszinten található a teraszkapcsolatos előtér, amerikai konyha étkező és nappali, fürdő, wc, és két külön bejáratú hálószoba egy négyzet alakú és egy körcikk alakú terasz. Az emeleti rész, mely az épület bal oldalára épített külső lépcsőfeljárón közelíthető meg külön lakásként funkcionál,..."|https://ingatlan.com/34769756|238 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Ismeretlen|0.0|fallback|none|0||||Budaörs Belváros|1.0
4|Budaörs, Kőfejtő utca||239 M Ft||120 m2|1 991 666 Ft / m2||2025||új építésű|hőszivattyú||udvari beálló - benne van az árban|maganszemely|22|"Panorámás otthon a KŐ-HEGY ölelésében.
122 m2-es újépítésű OKOSOTTHON ELADÓ! Alacsony rezsiköltség!

Budaörs keresett, gyönyörű részén, a Kő- hegy lábánál eladó egy új építésű, panorámás, ENERGIATAKARÉKOS, azonnal költözhető családi ház. Céges építkezés, az ingatlan a legkorszerűbb építési anyagokból épült, a belső- és külső tereket lakberendező, valamint kerttervező tervezte.

A ház két szintes, nettó hasznos 91 m2 lakótér + 31 m2 pincével, amelyben egy vendég WC, egy zuhanyzós fürdőszoba, a gépészeti helyiség és borospince rész is kialakításra került. A telek 315 m2, amely a lenti, valamint a fenti utcáról is könnyen megközelíthető. Ilyen telket a Kő-hegy környékén ma már aligha talál.

A bejárati ajtón belépve az előszobába érkezünk. Jobbra haladva egy tágas és világos amerikai konyhás ..."|https://ingatlan.com/34818653|315 m2|A+|||||||||||||||||||0.0|4.0|0.0|0.0|0.0|6.4|5.0|-2.0|0|1|0|0|0|1|1|1|15.4|2.0|13.4|Ismeretlen|0.0|fallback|none|0||||Budaörs Kamaraerdő|1.25
5|Budaörs, Diófa utca||150 M Ft||75 m2|2 000 000 Ft / m2||1950 előtt||felújított|hőszivattyú||udvari beálló - benne van az árban|maganszemely|17|"Tulajdonostól eladó egy 323 nm2 -es alapterületen elhelyezkedő 75 nm2 -es családi ház.
A ház teljeskörü felújításon esett át, beleèrtve a gépészet,fűtès,elektromoshálózat és nyílászárók cserèjèt, valamint a szigetelès kivitelezèsèt.

A családi házban egy levegő-víz hőszivattyú rendszer biztosítja a fűtést, melegvíz előállitását.
Az ingatlan 3 rètegű fa nyílászárókkal rendelkezik.

A ház alatt két pince található:
egy boltíves téglapince,
egy raktározásra alkalmas pince (itt található a gèpèszeti helyisèg).

A tetőtér bővítési lehetősége adott, melyhez építészeti tervek elkészültek (lépcső elkészült, gépészet, vezetékek a tetőtérig felvezetve.)

A környèk kifejezetten csendes,családi házas övezet, rendkívül jó az utca lakóközössège.

Az ingatlan rugalmasan megtekinthető , előre egyeztet idő..."|https://ingatlan.com/34910759|323 m2||||||||||||||||||||4.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0|0|0|0|0|0|4.5|0.0|4.5|Ismeretlen|0.0|fallback|none|0||||Budaörs Törökbálint határ|1.2
6|Budaörs, Pipacs utca||195 M Ft||115 m2|1 695 652 Ft / m2|4 + 1 fél|2001 és 2010 között||jó állapotú|gázkazán, hűtő-fűtő klíma||udvari beálló - benne van az árban|maganszemely|22|"Ingatlanközvetítők kérem ne keressenek!

Világos, tágas otthon Budaörs egyik legjobb részén – napelemes ikerházfél gyönyörű kerttel, hitelre is!

Eladó egy kivételes állapotú, 115 nm-es, kétszintes ikerházfél Budaörs csendes, mégis központi részén. A 350 nm-es, műfüvesített kert tökéletes helyszín családi programokhoz, pihenéshez, játékhoz – valódi kertvárosi életérzés, mindenhez közel.

Alapadatok:

Lakótér: 115 m²

Szobák száma: 4 + 1 fél

2 éve felújított, modern konyha

Fűtés: gáz cirkó + hűtő-fűtő klíma

2 erkélyes szoba, napfényes terek

Napelemek – alacsony rezsi, fenntartható működés


Külső adottságok:

350 m²-es, műfűvel borított kert, nagy fákkal, pihenésre kialakítva

3 autó számára kapun belüli beállás, +1 hely a kapu előtt

Csendes környezet, mégis közel a városi infrastruktú..."|https://ingatlan.com/34895488|350 m2||||||||||||||||||||9.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0|0|0|0|0|0|9.0|0.0|9.0|Orbánhegy|0.68|enhanced_4step|aggregated_from_1_sources|1||||Budaörs Kamaraerdő|1.25
7|Budaörs, Estike utca||199 M Ft||112 m2|1 776 785 Ft / m2||2026||új építésű|hőszivattyú, fan-coil, padlófűtés||udvari beálló - benne van az árban|maganszemely|19|"Budaörs kertvárosi részén, átmenő forgalomtól mentes zsákutcában épülő ikerház mindkét lakását kínáljuk megvételre.

A 110 és 112 m2 hasznos alapterületű lakások kialakítása során a mindennapi élet kényelmét tartottuk szem előtt:

• Funkcionális terek: nappali és további 4 szoba, 3 fürdőszoba, 18nm2 terasz, 15nm2 erkély
• Tágas közösségi tér: nappali, konyha és étkező a közös pillanatokhoz
• Személyes terek: emeleten 3 hálószoba a pihenéshez, és +1 külön szoba a földszinten az otthoni munkához vagy vendégek fogadására
• Szabadba nyíló terek: minden szoba közvetlen kijárattal rendelkezik teraszra vagy erkélyre
• Fürdőszobák: a fő hálószobához privát fürdőszoba, az emeleten külön kádas, és vendégek számára elérhető földszint..."|https://ingatlan.com/34583891|365 m2|A+|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Ismeretlen|0.0|fallback|none|0||||Budaörs Általános|1.0
8|Budaörs, Széles utca 13.||179,90 M Ft||183 m2|983 060 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán, hűtő-fűtő klíma||udvari beálló - benne van az árban|ingatlaniroda|30|"ELADÓ PANORÁMÁS, TÖBBSZINTES CSALÁDI HÁZ BUDAÖRS LEGKEDVELTEBB RÉSZÉN – akár több generáció részére!

Budaörs városközpontjában, mégis csendes mellék utcában, távol az autópálya zajától, Kő-hegyre panorámás ingatlant kínálunk megvételre. A családi ház háromszintes, részben felújított, amely ideális választás lehet nagyobb családoknak, több generáció együtt élésére, vagy akár befektetési célokra egyaránt.

Övezeti besorolás: Lk-1/O

A bruttó 230 négyzetméteres, nettó 183 négyzetméter hasznos alapterületű ingatlan összesen nyolc szobával, nappalival, amerikai konyhával és három fürdőszobával rendelkezik. A ház kiváló műszaki állapotban van, az épület téglából épült, külső homlokzata szigetelt, a nyílászárók pedig korszerű, hőszigetelt műanyag ablakok.

Az ingatlan alsó és földszinti szintje ..."|https://ingatlan.com/34837597|400 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|6.4|0.0|0.0|0|0|0|0|0|1|0|0|6.4|0.0|6.4|Orbánhegy|0.68|enhanced_4step|aggregated_from_1_sources|1||||Budaörs Kamaraerdő|1.25
9|Budaörs, Fügefa utca 2.||189,90 M Ft||146 m2|1 300 684 Ft / m2||2025||új építésű|hőszivattyú, mennyezeti hűtés-fűtés||udvari beálló - kötelező megvenni|ingatlaniroda|11|"Tisztelt Érdeklődők!

BUDAÖRS CSENDES, TERMÉSZETKÖZELI RÉSZÉN, a közvedvelt Fügefa utcában megvásárolható egy ÚJONNAN ÉPÜLŐ NETTO 114 NM-ES ( + terasz és erkélyek) N+3 SZOBÁS IKERHÁZFÉL 500 NM-ES PARKOSÍTOTT KERTTEL 189.9 M FT-ÉRT, MELY A HILLSIDE PROJEKT UTOLSÓ SZABAD LAKÁSA!

Három ikerházból álló lakóingatlan-fejlesztésen dolgozunk, összesen hat lakással, melyből már 5 elkelt.

Gyönyörű,panorámás telken épülő ingatlan 2 szintes. Földszinten praktikusan egy előszoba fogadja a hazaérkezőket. Innen egy vendégmosdó és egy háztartási helység nyílik.
Napfényes 46 nm-es amerikai konyhás nappalihoz,széles tolóajtókkal rendelkező tágas terasz kapcsolódik, ahonnan a privát parkosított kertbe jutunk.

Az emeleten 3 db hálószoba mindegyike erkélykapcsolatos, ahol akár napozóágy vagy kisebb asztal s..."|https://ingatlan.com/34885656|500 m2|A++|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|0.0|0|0|0|0|0|1|0|0|3.2|0.0|3.2|Ismeretlen|0.0|fallback|none|0||||Budaörs Kamaraerdő|1.25
10|Budaörs, Kertváros - Ganztelep||199,90 M Ft||150 m2|1 332 666 Ft / m2||2024|||hőszivattyú, hűtő-fűtő klíma, padlófűtés||udvari beálló - benne van az árban|ingatlaniroda|18|BUDAÖRS LEGFREKVENTÁLTABB helyén, a Ganz részen került felépítésre ez az új építésű házakkal körülvett önálló, teljesen elszeparált -élhető méretekkel megálmodott- családi ház. A településen kiváló hírnévnek örvendő beruházó ingatlanjai az igényes anyaghasználat -és kivitelezés miatt szinte már tervrajzról elkelnek.Ennek a prémiumkategóriás projektnek a műszaki tartalma is mindenben megfelel a mai kor követelményeinek. Hőszivattyús fűtési rendszer padlófűtéssel, (gáz nincs is bekötve), hűtő-fűtő klímákkal felszerelve, mindez 10 cm-es grafitos hőszigeteléssel megépítve biztosítja az ingatlan tulajdonosának mindenkori alacsony rezsijét. A nagy méretű, 3 rétegű hőszigetelt nyílászárók rengeteg fényt engednek be, ugyanakkor a hőszigetelésről is gondoskodnak. Az ár sok extrát is tartalmaz, ezek...|https://ingatlan.com/34704235|300 m2||||||||||||||||||||9.0|0.0|0.0|3.8|0.0|0.0|5.0|0.0|1|0|0|1|0|0|1|0|17.8|0.0|17.8|Orbánhegy|0.68|enhanced_4step|aggregated_from_1_sources|1||||Budaörs Törökbálint határ|1.2
