id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség
1|Budapest X. kerület, Csombor utca 6/1||124,90 M Ft||154 m2|811 038 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán||udvari beálló - benne van az árban|maganszemely|20|"Azonnal beköltözhető sorház Kőbánya Óhegy részén, az egyik legkedveltebb utcában, a Csombor utcában, egy 4 + 1 szintes sorházi lakás egyedi megjelenéssel, kiváló helyen és adottságokkal, tehermentesen!

Az ingatlan 1992-ben épült, a földhivatali papírok alapján 96 nm, a valóságban a lakás nettó alapterülete 131 nm, a pinceszint további 46 nm, a legfelső, 5. tetőtéri szint kb 15nm, a terasz 25 nm.
Szobák száma: 1 nagy nappali, 2 szoba + 2 tetőtéri szoba + 1 padlásszoba.
Az udvar 220 nm, amelyre a kocsi beállás is megoldott.
A kertben gyönyörű gömbtuja, kaliforniai fenyő és bőven termő fügefa él füves környezetben.

Helyiségek:
Pince: garázs (1 autó számára), mosókonyha (gázkazánnal), háztartási helyiség, nagy kamra.

Földszint: előszoba, zuhanyzós fürdőszoba, nappali, étkező, konyha. A napp..."|https://ingatlan.com/34654407|220 m2|||||||||||||||||||
2|Budapest II. kerület, Hidegkúti út 249.||249 M Ft||180 m2|1 383 333 Ft / m2|5 + 1 fél|2024||új építésű|hőszivattyú||teremgarázs hely - kötelező megvenni|maganszemely|19|"Álmai otthonát keresi? A II. kerületben, Budaligeten megtalálja! Eladásra kínálunk egy új építésű ingatlant, mely a modern kor igényeinek és követelményeinek megfelelően készült. Az ikerház-fél 180 nm (4 szoba, nappali, konyha, étkező, 2 fürdőszoba, gardrób, garázs) + 600nm saját ősfás telekrész, nagyon alacsony energiaigényű ház (A+ kategória), minimális napelemmel nullázható a rezsi. A fűtésről, hűtésről és melegvíz ellátásról egy Midea hőszivattyú gondoskodik, az állandó friss levegőt pedig Vortice légcserélők biztosítják. A minőségi olasz burkolatok és szaniterek mellett az egyedileg készített konyha Bosch gépekkel van felszerelve. A passzívházaknál is használatos német Salamander nyílászárók teljesen kizárják a külvilág zaját.
Az értékesítő és kivitelező a Trendhouse Hungary Kft, mely..."|https://ingatlan.com/34791039|600 m2|A+||||||||||||||||||
3|Szentendre, Felhő utca||189 M Ft||180 m2|1 050 000 Ft / m2|4 + 1 fél|||jó állapotú|gázkazán||udvari beálló - benne van az árban|maganszemely|17|"Eladó egy örök panorámájú romantikus hangulatú családi ház Szentendrén!

Azonnal költözhető Szentendre, Pismány hegyen egy 180 nm alapterületű, északnyugati fekvésű, nappali+4 szobás, 2 szintes, önálló családi ház, 760 nm-es telken.

A ház 1997-ben épült egy csodálatos panorámájú, az 1,5 m-es töltésnek köszönhetően sík, ősfákkal teli telken. Mediterrán stílusának, a csodás növényekkel teli kertnek és a körül ölelő csendnek köszönhetően, mintha a nyugalom szigetére érkeznénk meg. Intimitását tovább növeli, hogy az ingatlan egy átmenő forgalomtól teljesen mentes, zsákutcában található.

Fontos megemlíteni, hogy az ingatlant a tulajdonosok saját részre építtették, így mindenhová a legmagasabb minőségű anyagok, burkolatok, szaniterek és beépített bútorok kerültek, valamint tágas, élhető terek ..."|https://ingatlan.com/34925553|780 m2|||||||||||||||||||
4|Tóalmás, Strand utca 64.||85 M Ft||35 m2|2 428 571 Ft / m2||2022|||hűtő-fűtő klíma, padlófűtés||udvari beálló - benne van az árban|maganszemely|20|"Eladó apartmanház Tóalmáson, a strandtól 500 méterre .

Cím: Tóalmás, Strand utca 64
Irányár: 85.000.000 Ft

Ingatlan típusa: nyaraló / apartmanház

Telek területe: 250 m²

Építés éve: 2022

Alapterület: 40 m²

Parkolás: saját udvari parkolóhely

Közművek: víz, villany 3x25A , Emésztő 8m3 ( közel 3 millió Ft volt )

Férőhelyek száma: 6 fő
⸻

Leírás:

Eladásra kínálok egy működő, bejáratott apartmanházat Tóalmáson, a strandfürdőtől mindössze 500 méterre, az üdülőövezet egyik legjobb részén.

Az épület 2022-ben épült, kiváló állapotban van, azonnal üzemeltethető, jelenleg is vendégek fogadására alkalmas. A vételár tartalmazza a teljes bútorzatot és felszerelést, így a leendő tulajdonosnak nincs más dolga, mint átvenni az irányítást.

⸻

Főbb jellemzők:
•Teljesen felszerelt és berendezett
•Go..."|https://ingatlan.com/34904403|250 m2|||||||||||||||||||
5|Törökbálint, Kastély utca||249 M Ft||230 m2|1 082 608 Ft / m2|5 + 2 fél|||||||maganszemely|22|"Tulajdonostól eladó!
Törökbálinton, Tükörhegy legszebb részén, Budapesttől 2 perc autóútra, zöldövezetben, csendes, barátságos utcában kínálunk eladásra egy exklúzív, önálló, 2 szintes családi házat, modern, energiatakarékos technológiával.
Dupla garázs, plusz több autó számára is alkalmas kocsibeálló található a kertben.
A kertbe nem lehet belátni, magas fákkal, bokrokkal van körbevéve.
Automata öntözőrendszer, riasztó, kamerák, távirányítású kapuk, minden helyiségben klímák, melyek mind a kényelmet szolgálják.
A kertben 6 személyes prémium jacuzzi, nyári konyha kiépítés grillezéshez, 3 fázisú áram, prémium kutyakennel és gyermek játszóvár csúszdával, hintával, homokozóval. Trambulin, kerti tűzrakó bográcsozsához, és hatalmas hely van még a kerti medencének-igény szerint. Tároló a kerti s..."|https://ingatlan.com/34756208|230 m2|||||||||||||||||||
6|Budapest XVIII. kerület, Parázs utca||170 M Ft||125 m2|1 360 000 Ft / m2||||||||maganszemely|20|"Ikerház egyik fele eladó! AZONNAL KÖLTÖZHETŐ !

Pestszentlőrinc csendes, kertvárosias övezetében található új építésű lakóingatlan, ikerházfél várja tulajdonosát! Fiatal pároknak, gyermekekkel ideális otthonteremtés, zöldövezet, nyugodt, csendes lakhatási körülmények.

A ház alacsony energiafelhasználású, költséghatékony rezsiköltségű lakóház. Kivitelezésénél fontos szempont volt a megújuló energiaforrások és modern építészeti technológia használata. Az épület hűtés-fűtés rendszere hőcserélő beépítésével lett megoldva. A biztonságos fűtés fenntartásának érdekében az épületbe a gáz is be van vezetve (és be is van kötve a rendszerbe). Az épület energiaköltségeinek csökkentése (például a melegvíz-ellátás rásegítése) érdekében az épületre napelemek kerültek. Az épület korszerű műanyag nyílászá..."|https://ingatlan.com/34858882|238 m2|||||||||||||||||||
7|Budapest XVIII. kerület, Bezerédi utca 4.||180 M Ft||265 m2|679 245 Ft / m2||2001 és 2010 között||jó állapotú|gázkazán|||maganszemely|22|"Eladásra kínáljuk a saját magunknak, 670 nm-es telekre épített, 2003. évi lakhatási engedéllyel rendelkező 2 generációs Pestszentlőrinci, nyugodt, de mégis frekventált helyen lévő családi házunkat. Óvoda, általános és középiskola 1 utcára, Lidl, OTP bank, gyógyszertár 3 utcára (4-5 perc séta). A környék nyugodt, barátságos, csendes szomszédokkal.
A 265 nm-es ház téglaépítésű, 44 cm széles téglából készült tartófalakkal.
Az ingatlan 1 bejáratú, de kis ráfordítással 2 külön bejáratúvá alakítható.
A 137 nm-es földszinten található a garázs, a fürdőszoba, a konyha, az ebédlő és a nappali, 1 WC, 2 szoba, valamint az előtér. A nappaliban lévő kémény kandallóbekötésére alkalmas. A garázsban, melyben 2 autó fér el kényelmesen, egy szerelőakna is található, melynek oldalnyúlványai tárolásra is alka..."|https://ingatlan.com/34931241|265 m2|D||||||||||||||||||
8|Mánfa, Baranya megye||299 M Ft||466 m2|641 630 Ft / m2||||||||maganszemely|18|"Pécstől 10 km-re, Mánfa településen található ez a két szintes családi ház festői, nyugodt környezetben. A házban 6 hálószoba és 5 fürdőszoba található.
Az ingatlanhoz egy 100 m2-es melléképület is tartozik 3 kocsibeállóval. A közel 11 hektáros terület udvart, legelőt és erdőt tartalmaz.
A hőszigetelt ház mindkét szintje padlófűtéssel van ellátva.
A nyílászárók elektromos, távirányítású alumínium redőnyökkel, illetve szúnyoghálókkal vannak felszerelve.
Továbbá hűtő-fűtő klíma, illetve kamera- és riasztórendszer is kiépítésre került."|https://ingatlan.com/34354477|466 m2|||||||||||||||||||
9|Budapest XVIII. kerület, Almáskert||145 M Ft||146 m2|993 150 Ft / m2||2025||új építésű|hőszivattyú, mennyezeti hűtés-fűtés||önálló garázs - benne van az árban|ingatlaniroda|19|"Új építésű családi ház eladó az Almáskertben, Budapest XVIII. kerületében!
Kiváló elhelyezkedéssel, új építésű, energiatakarékos családi ház várja új tulajdonosát az Almáskert családias, zöldövezeti részén. Az ingatlan modern kialakításával és prémium kivitelezésével tökéletes választás családok számára, akik tágas, kényelmes otthont keresnek. Az 1202 négyzetméteres telek utcafrontjára egy önálló, körbejárható családi ház, míg az udvar felől egy ikerház épül.
Főbb jellemzők:
•Hasznos alapterület: Önálló családi ház: 146 m², Ikerházak: 142 m²
•Telekméret: Önálló családi ház 348 m², Ikerházak külön-külön: 425 m²
Elosztás:
Földszint:
•Előszoba
•Garázs
•Amerikai konyhás nappali
•Kamra
•Zuhanyzós WC
•Terasz
Emelet:
•4 nagyméretű szoba, ebből 1 erkélykapcsolatos
•Tágas fürdőszoba
•Háztartási hel..."|https://ingatlan.com/34777141|348 m2|||||||||||||||||||
10|Budapest XVIII. kerület, Almáskert||144,89 M Ft||146 m2|992 397 Ft / m2||2025||új építésű|hőszivattyú||önálló garázs - benne van az árban|ingatlaniroda|24|"ALMÁSKERTBEN, Almáskert újépítésű kertvárosi részén, ÚJ ÉPÍTÉSŰ, A+-OS, energia takarékos, hőszivattyús fűtéssel készülő, KÖRBEJÁRHATÓ, utcafronos, előkertes, OLDALKERTES, HÁTSÓKERTES, MODERN, belső 2 szintes HÁZ, 2025. IV. NEGYEDÉVI ÁTADÁSSAL, NAGY TELEKKEL, CSENDES MELLÉKUTCÁBAN, amerikai konyhás nappalival, az emeleten KÜLÖN BEJÁRATÚ 4 HÁLÓVAL, + háztartási helyiséggel. 2 fürdő szobával, MOST MÉG a készültségi szintnek megfelelően SZABADON VÁLASZTHATÓ FELSZERELTSÉGGEL ELADÓ ez a csodás gyöngyszem!!!
A házhoz saját lekerített kert tartozik, a kert hátsó részén egy ikerház építése folyamatban van még. Ügyvédi megosztási szerződéssel lesz bírtokba adva.
AMIT KÍNÁLUNK:
-az épület 177 nm es bruttó alapterületű
- 146 m²-es, világos, jól átgondolt lakótér
- Amerikai konyhás nappali, 4 hálószob..."|https://ingatlan.com/34775240|348 m2|||||||||||||||||||
