id,cim,reszletes_cim,teljes_ar,reszletes_ar,terulet,nm_ar,szobak,epitesi_ev,szint,ingatlan_allapota,futes,erkely,parkolas,hirdeto_tipus,kepek_szama,leiras,link,telekterulet,energetikai,ingatlanos,telefon,allapot,epulet_szintjei,kilatas,parkolohely_ara,komfort,legkondicionalas,akadalymentesites,furdo_wc,tetoter,pince,parkolo,tajolas,kert,napelem,szigeteles,rezsikoltség
1,"Érd, Ligetszépe utca",,170 M Ft,,133 m2,1 278 195 Ft / m2,4 + 1 fél,1981 és 2000 között,,,"gázkazán, kandalló, hűtő-fűtő klíma",,önálló garázs - benne van az árban,maganszemely,21,"Tisztelettel megkérem az ingatlanközvetítőket, hogy ne (tényleg ne!) keressenek!

Érd legjobb részén - Érdligeten -, Diósd határán családi ház eladó.
A legfontosabb jellemzői:

- 1022 m2 telekterület,

- 133 m2 alapterületű (+27 m2 terasz, +2 garázs (23 és 27 m2),

-kiváló(!!!) elhelyezkedés
Gyalogosan 5 percre Érdliget központjától (park, játszótér, bevásárlási lehetőség (Lidl), gyógyszertárak stb.), 8 percre az érdligeti vasútállomástól (Kelenföld 15perc, Érd központ 2 perc). Szintén sétatávra pékségek, éttermek, cukrászda, orvosi rendelők találhatóak.
Gépjárművel M0 és M6 5-5 perc alatt, M1-M7 10-10perc alatt elérhető.

-szuper elrendezés (kérem, tekintse meg a videóbemutatót!)
A főbejáratot fedett teraszon tudjuk megközelíteni. Az előszobából mellékhelyiség, valamint egy kisszoba (~7 m...",https://ingatlan.com/34877062,1022 m2,F,,,,,,,,,,,,,,,,,,
2,"Érd, Érdliget",,239 M Ft,,242 m2,987 603 Ft / m2,,2025,,új építésű,"hőszivattyú, padlófűtés",,teremgarázs hely - benne van az árban,ingatlaniroda,10,"Hivatkozzon erre, kód: 4933

HATALMAS ÁRZUHANÁS! MOST -20 MILLIÓVAL OLCSÓBBAN, 259mFt HELYETT 239mFt!

PANORÁMÁS, LUXUS MINIMÁL HÁZ!

- ÚJ ÉPÍTÉS

- MAGAS MŰSZAKI TARTALOM, IGÉNYES KIVITELEZÉS

- NAPPALI + 3 SZOBA, 2 FÜRDŐ, 3 DB. NAGY TERASZ, DUPLA GARÁZS

- HŐSZIVATTYÚ PADLÓFŰTÉSSEL

Megbízható beruházó, referencia ingatlanok megtekinthetők!

Érdliget dombos részén csendes, családi házas övezetben 1061m2-es panorámás telken belső kétszintes + garázs szint, nappali + 3 szobás, dupla komfortos, összesen 195.21m2-es (+ 3 db. nagy terasz), új építésű LUXUS önálló családi ház leköthető igény szerinti befejezéssel.

Az ingatlan szintenkénti felosztása a következő:

Garázs szint (65.33m2): közlekedő (2.75m2), gépészeti helyiség (7.5m2), tároló (9.1m2), lépcső (7.04m2), 2 gk-s garázs (38.94m2).

...",https://ingatlan.com/34728780,242 m2,,,,,,,,,,,,,,,,,,,
3,"Érd, Érdliget",,"139,90 M Ft",,148 m2,945 270 Ft / m2,,2025,,új építésű,"hőszivattyú, padlófűtés",,önálló garázs - benne van az árban,ingatlaniroda,11,"Hivatkozzon erre, kód: 4890TSZ

- ÚJ ÉPÍTÉSŰ ÖNÁLLÓ HÁZ

- IGÉNYES KIVITELEZÉS

- NAPPALI + 4 SZOBA + 2 FÜRDŐ + 1 GK-S GARÁZS + TERASZ

- HŐSZIVATTYÚS FŰTÉS

Érdliget kedvelt részén 560nm-es kiváló adottságokkal és privát szférával rendelkező összközműves telken nappali + 4 szobás + 1 gk-s garázs, dupla komfortos, összesen 137.2nm-es (+ terasz), új építésű önálló családi ház igény szerinti befejezéssel leköthető.

Várható átadás: 2025. év vége!!

Megbízható beruházó, több éves tapasztalat, számos referencia ingatlan! A fotók már eladott házakról készültek, amelyek akár személyesen is megtekinthetők!

Felosztás a következőképpen alakul (137.2nm + terasz 22nm): előszoba (4.8nm), konyha (8.4nm) – étkező – nappali (39.6nm), közlekedő (7.4nm), fürdőszoba + wc (8.9nm), privát fürdőszoba wc-vel (...",https://ingatlan.com/34636924,560 m2,,,,,,,,,,,,,,,,,,,
4,"Érd, Érdliget",,145 M Ft,,148 m2,979 729 Ft / m2,,2026,,új építésű,"hőszivattyú, padlófűtés, hűtő-fűtő klíma",,teremgarázs hely - benne van az árban,ingatlaniroda,16,"Hivatkozzon erre, kód: 4984

- ÚJ ÉPÍTÉSŰ ÖNÁLLÓ HÁZ

- CSENDES, ERDŐS, ZÖLD ÖVEZET

- IGÉNYES KIVITELEZÉS

- NAPPALI + 3 SZOBA + TERASZ + 2 GK-S GARÁZS

- MEGBÍZHATÓ BERUHÁZÓ, SZÁMOS REFERENCIA

Érdliget kedvelt részén madárcsicsergős, erdős zöldövezetben 538m2-es telken nappali + 3 szobás + pince szinten 2 gk-s garázs, összesen nettó 140.3m2-es (+ terasz), új építésű önálló családi ház leköthető igény szerinti befejezéssel!

Várható átadás: 2026. I. negyedév!

A képek között referencia ingatlan is látható!

Az ingatlan felosztása a következő:

Pince szint (50.3m2): 2 gk-s garázs (27.06m2), gépészeti helyiség (4.82m2), tároló - dolgozó (11.25m2), előtér-lépcső (7.17m2).

Földszint (90m2 + terasz): előszoba (6.28m2), közlekedő (4.64m2), amerikai konyha - nappali (41.1m2), háztartási helyis...",https://ingatlan.com/34827079,538 m2,,,,,,,,,,,,,,,,,,,
5,"Érd, Alsóvölgyi út",,126 M Ft,,126 m2,1 000 000 Ft / m2,,2001 és 2010 között,,jó állapotú,gázkazán,,önálló garázs,ingatlaniroda,18,"Csendes utca gyér forgalommal, körbejárható családi ház, nagy terasz elöl és hátul is, nagy kert rengeteg fával és cserjével, privát élettérrel, külön épület az autóknak, irodának, rendelőnek.
Eladásra kínáljuk ezt az Érdligeti, 1.636 m2-es telken elhelyezkedő 126 m2-es francia stílusú családi házat, amely egy enyhén emelkedő, hosszú telek végére épült, kellemes távolságra az utcafronttól, így a külső szemlélők elől rejtve marad, köszönhetően a nagyszerű tájolásnak, a körbeölelő, eltakaró természetnek.

Bejárat az első nagy teraszról. Nagy középső tér a nappali-étkezőnek, közlekedőnek. Konyha és kamra, mosdó, mosókonyha, dolgozószoba az egyik oldalon, fürdő, két háló és közöttük nagy gardrób a másik oldalon. Kétoldalt is, középen is kijárat a kívülről sehonnan sem látható hátsó teraszra.
B...",https://ingatlan.com/34739143,1636 m2,,,,,,,,,,,,,,,,,,,
6,"Érd, Érdliget",,"93,90 M Ft",,100 m2,939 000 Ft / m2,,1981 és 2000 között,,újszerű,"hűtő-fűtő klíma, elektromos fűtőpanel",,udvari beálló - benne van az árban,ingatlaniroda,17,"AZONNAL KÖLTÖZHETŐ!

MINŐSÉGI ANYAGOKKAL KIVITELEZETT, ALACSONY REZSIVEL FENNTARTHATÓ INGATLAN!

Érdliget csendes utcájában, frekventált környéken, a központhoz közel ELADÓ egy 100 m2-es (hasznos tér), belső két szintes, 3 szoba + nappalis, TELJESKÖRŰEN FELÚJÍTOTT IKERHÁZ fél, hozzátartozó 300m2-es telekkel!

Szép tágas, napfényes terek jellemzik, elosztása a következőképpen alakul:

földszinten: konyha, nappali, WC, terasz
emeleten: 3 szoba, fürdő, WC, erkély.

A ház teljeskörű felújításon esett át, mely magában foglalja a komplett tető (betoncserép)-, a víz-villany hálózat-, a nyílászárók (több rétegű műanyag)-, beltéri ajtók-, burkolatok-, szaniterek cseréjét, emellett a külső homlokzatra (30’ tégla) 15 cm dryvit-, a födémre 30 cm kőzetgyapot szigetelés került.

Ikerház lévén a kellő in...",https://ingatlan.com/34866524,300 m2,,,,,,,,,,,,,,,,,,,
7,"Érd, Kutyavári utca",,72 M Ft,,60 m2,1 200 000 Ft / m2,2 + 1 fél,,,,,,,maganszemely,6,"Eladó Érdligeti (korábban Diósdliget) ""gyöngyszem"".
856 m2 telek felújítandó vagy bontandó kőházzal. Központi (40m2) elhelyezkedés, de mégis intim élettérrel.
A felújítás elkezdődött, egy 20m2 es lakható melléképület el is készült.
Érvényes építési engedély van a bővítésre. (akár ikerház is építhető rá)

Érdeklődni a + és a számon",https://ingatlan.com/34623319,870 m2,,,,,,,,,,,,,,,,,,,
8,"Érd, Érdliget",,66 M Ft,,44 m2,1 500 000 Ft / m2,,1950 és 1980 között,,felújítandó,"gázkazán, vegyes tüzelésű kazán",,önálló garázs - benne van az árban,ingatlaniroda,21,"ELADÓ PANORÁMÁS FELÚJÍTANDÓ INGATLAN Érdliget legjobb részén!
Befektetőknek és családosoknak is ajánlott
A 3%-os Otthon Start Programra alkalmas!

Ingatlan jellemzői:
- Saroktelek Érdliget kedvelt, csendes, panorámás részén, közel a Papi Földek Záportározó és Rekreációs Parkhoz.
- Terület: teraszos jellegű kerttel.
- Telek Vt-2-es besorolású, amely:
60% beépíthetőség, 20% zöldterületi mutató, 1,8-as szintterületi mutató, 12 m legnagyobb homlokzatmagasság, szabadonálló beépítési mód
- 1/1 tulajdon, abszolút tehermentes ingatlan!

Épület és melléképületek:
- Családi ház tetőszerkezete 12 éve felújított, nyílászárók cserélve, fürdőszoba felújítva, mindamellett a ház belsőleg felújításra szorul!
- A ház sajnos nem rendelkezik szigeteléssel, csak a tető - így az megoldásra vár
- Fűtés: gáz cirk...",https://ingatlan.com/34811762,1051 m2,,,,,,,,,,,,,,,,,,,
9,"Érd, Szép Ilonka utca",,455 M Ft,,472 m2,963 983 Ft / m2,,2025,,,"hőszivattyú, padlófűtés, mennyezeti hűtés-fűtés",,önálló garázs,maganszemely,17,"Érdliget csendes aszfaltos utcájában, részben lejtős, a szemközti domboldalra panorámás területen építjük fel a legmagasabb igényeket kielégítő, korszerű, minőségi, kreatívan és gondosan megtervezett otthonát.

Építész-építőmérnök párosként 35 év tapasztalattal rendelkezünk.
Referenciánkban több mint 300 projekt, több mint 50 felépített családi ház.
A tervezett épület minőségének megfelelő kész referenciaházat mutatunk.

Két beállós garázs, valamint több férőhelyes, árnyékos parkoló telken belül.
Buszmegálló, óvoda, Lidl élelmiszerbolt 1300 m-en belül.
Az autópályák zaja nem hallható, ellenben könnyen, gyorsan elérhetők.

-ingatlan területe 1580 m2 (utcafront 26,5m széles, hosszú oldal 64m)
-épület hasznos alapterülete 298 m2 + garázs és tároló 67 m2
-teraszok + 145 m2
-kerti épület + 22 m...",https://ingatlan.com/34297956,472 m2,A++,,,,,,,,,,,,,,,,,,
10,"Érd, Kakukkfű utca",,179 M Ft,,250 m2,716 000 Ft / m2,,,,közepes állapotú,gázkazán,,,maganszemely,23,"Érdliget egyik legszebb elhelyezkedésű ingatlanát kínálom tulajdonosként, a Kakukkfű utcában. A 2145 nm-es, óriási fákkal és zöldnövényzettel dúsított telek az utca irányból emelkedik. Masszív, tégla falazatú garázsos, háromszintes, körbejárható ház áll a telek közepén. A 70-es évek végén épült családi ház jelenleg 3 önálló, külön bejáratú lakást foglal magában. Családi fogyasztói közösség szerinti gázfogyasztás alapján kedvező rezsiköltéssel tartható fenn a 7 szobás, 3 fürdőszobás épület. A lejtésnek köszönhetően két lakrész terasz- illetve kertkapcsolatos, a belső kétszintes (a tetőteret is magában foglaló) lakás kisebb erkélye a parkosított előkertre, tágas erkélye a hátsó, épített medencés gondozott kertre néz.
Az épület homlokzati szigetelése 2006-ban készült el. A radiátoros fűtés gá...",https://ingatlan.com/34629814,250 m2,,,,,,,,,,,,,,,,,,,
