id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|luxus_minoseg_pont|kert_kulso_pont|parkolas_garage_pont|terulet_meret_pont|komfort_extra_pont|allapot_felujitas_pont|lokacio_kornyezet_pont|futes_energia_pont|negativ_tenyezok_pont|van_luxus_kifejezés|van_kert_terulet|van_garage_parkolas|van_komfort_extra|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont
1|Budaörs, Törökbálinti utca||159 M Ft||133 m2|1 195 488 Ft / m2|5 + 1 fél|2016||felújított|hűtő-fűtő klíma, hőszivattyú||udvari beálló|ingatlaniroda|1|"Eladó családi ház saroktelken, 2016-ban épült

Ez a korszerű, 2016-ban épült, két szintes családi ház egy napfényes saroktelken várja új tulajdonosát. A praktikus elosztás, a modern felszereltség és a kényelmi extrák miatt ideális választás családok számára, akik minőségi otthonra vágynak.

Főbb jellemzők:"|https://ingatlan.com/34931423|140 m2||||||||||||||||||||3.0|0.0|0.0|0.0|0.0|2.0|3.0|0.0|0.0|1|0|0|0|0|8.0|0.0|8.0
2|Budaörs, Pipacs utca 12.||263,80 M Ft||119 m2|2 216 806 Ft / m2|4 + 1 fél|2024||új építésű|hőszivattyú, hűtő-fűtő klíma, padlófűtés||udvari beálló - benne van az árban|ingatlaniroda|28|"Budaörs, Pipacs utca 12. szám alatt eladó kivitelezőtől a mai kor legmodernebb műszaki megoldásaival, modern építészeti és belső designnal megépített LUXUS ikerház.
A ház különlegessége, hogy a másik “ikertől” szinte teljesen szeparált!!

Elegáns kertváros, rendezett környék, kedves szomszédok! Iskolák, bevásárlási, sportolási lehetőség a közelben!

Értékesítendő alapterület 119 m2.
Felszíni parkoló van 2 autó részére egymás melletti parkolással.
A kocsiknak automata tolókapu, a gyalogos bejutáshoz külön elektromos kertkapu van.
A terasz közvetlenül a nappaliból nyílik pergolával fedett 13 m2,
Saját telekterület 400 m2.


A HÁZRÓL
Az épület keleti, dél-keleti fekvésű, nagyméretű ablakainak köszönhetően nagyon világos.
Egyes részei kívülről egyedi VALÓDI fából készült faburkolattal és pergo..."|https://ingatlan.com/33983401|400 m2|A+|||||||||||||||||||15.0|17.5|8.0|14.0|0.0|0.0|4.5|0.0|0.0|1|1|1|0|0|59.0|0.0|59.0
3|Budaörs, Ősz utca||202 M Ft||238 m2|848 739 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán||udvari beálló - benne van az árban|maganszemely|23|"Tulajdonostól eladó Budaörs keresett részén, a Kertváros részen, a XI. kerület határán, csendes, aszfaltozott mellékutcában, kiváló tömegközlekedésnél egy 238 m2 -es, 3 szintes családi ház, 459 m2 -es telken. Az ingatlan elhelyezkedése miatt télen is kiválóan megközelíthető. A közelben iskola, óvoda, éjjel nappali közért, áruházak, patika, benzinkút, buszmegálló található. A kertben két autó parkolására betonozott platz van kialakítva. A ház világos, körbe napozott, kertre és utcára néző ablakokkal.

A földszinten található a teraszkapcsolatos előtér, amerikai konyha étkező és nappali, fürdő, wc, és két külön bejáratú hálószoba egy négyzet alakú és egy körcikk alakú terasz. Az emeleti rész, mely az épület bal oldalára épített külső lépcsőfeljárón közelíthető meg külön lakásként funkcionál,..."|https://ingatlan.com/34769756|238 m2||||||||||||||||||||0.0|15.0|4.0|14.0|0.0|0.0|12.0|0.0|0.0|0|1|1|0|0|45.0|0.0|45.0
4|Budaörs, Kőfejtő utca||239 M Ft||120 m2|1 991 666 Ft / m2||2025||új építésű|hőszivattyú||udvari beálló - benne van az árban|maganszemely|22|"Panorámás otthon a KŐ-HEGY ölelésében.
122 m2-es újépítésű OKOSOTTHON ELADÓ! Alacsony rezsiköltség!

Budaörs keresett, gyönyörű részén, a Kő- hegy lábánál eladó egy új építésű, panorámás, ENERGIATAKARÉKOS, azonnal költözhető családi ház. Céges építkezés, az ingatlan a legkorszerűbb építési anyagokból épült, a belső- és külső tereket lakberendező, valamint kerttervező tervezte.

A ház két szintes, nettó hasznos 91 m2 lakótér + 31 m2 pincével, amelyben egy vendég WC, egy zuhanyzós fürdőszoba, a gépészeti helyiség és borospince rész is kialakításra került. A telek 315 m2, amely a lenti, valamint a fenti utcáról is könnyen megközelíthető. Ilyen telket a Kő-hegy környékén ma már aligha talál.

A bejárati ajtón belépve az előszobába érkezünk. Jobbra haladva egy tágas és világos amerikai konyhás ..."|https://ingatlan.com/34818653|315 m2|A+|||||||||||||||||||0.0|5.0|0.0|20.0|0.0|8.0|3.0|2.4|-1.5|0|1|0|0|1|38.4|1.5|36.9
5|Budaörs, Diófa utca||150 M Ft||75 m2|2 000 000 Ft / m2||1950 előtt||felújított|hőszivattyú||udvari beálló - benne van az árban|maganszemely|15|"Tulajdonostól eladó egy 323 nm2 -es alapterületen elhelyezkedő 75 nm2 -es családi ház.
A ház teljeskörü felújításon esett át, beleèrtve a gépészet,fűtès,elektromoshálózat és nyílászárók cserèjèt, valamint a szigetelès kivitelezèsèt.

A családi házban egy hideg-meleg vizes levegős hőszivattyú rendszer biztosítja a melegvíz előállitását,valamint a fűtès biztosítását.

Az ingatlan 3 rètegű fa nyílászárókkal rendelkezik.

A ház 2 pincével rendelkezik,amelyek közül az egyik boltíves, a másik pince raktározásra alkalmas, valamint itt található a gèpèszeti helyisèg.

A padlástèr felè bővitèsi lehetősèg megvan, melyhez egy elkèszült tervezői alaprajz áll rendelkezèsre.

A környèk kifejezetten csendes,családi házas övezet, ahol rendkívül jó az utca lakóközössège.

Az ingatlan megtekinthető rugalmas..."|https://ingatlan.com/34910759|323 m2||||||||||||||||||||0.0|5.0|0.0|8.0|2.5|2.0|7.5|0.0|0.0|0|1|0|1|0|25.0|0.0|25.0
6|Budaörs, Pipacs utca||195 M Ft||115 m2|1 695 652 Ft / m2|4 + 1 fél|2001 és 2010 között||jó állapotú|gázkazán, hűtő-fűtő klíma||udvari beálló - benne van az árban|maganszemely|22|"Ingatlanközvetítők kérem ne keressenek!

Világos, tágas otthon Budaörs egyik legjobb részén – napelemes ikerházfél gyönyörű kerttel, hitelre is!

Eladó egy kivételes állapotú, 115 nm-es, kétszintes ikerházfél Budaörs csendes, mégis központi részén. A 350 nm-es, műfüvesített kert tökéletes helyszín családi programokhoz, pihenéshez, játékhoz – valódi kertvárosi életérzés, mindenhez közel.

Alapadatok:

Lakótér: 115 m²

Szobák száma: 4 + 1 fél

2 éve felújított, modern konyha

Fűtés: gáz cirkó + hűtő-fűtő klíma

2 erkélyes szoba, napfényes terek

Napelemek – alacsony rezsi, fenntartható működés


Külső adottságok:

350 m²-es, műfűvel borított kert, nagy fákkal, pihenésre kialakítva

3 autó számára kapun belüli beállás, +1 hely a kapu előtt

Csendes környezet, mégis közel a városi infrastruktú..."|https://ingatlan.com/34895488|350 m2||||||||||||||||||||3.0|20.0|4.0|10.0|7.5|4.0|9.0|2.4|0.0|1|1|1|1|0|59.9|0.0|59.9
7|Budaörs, Estike utca||199 M Ft||112 m2|1 776 785 Ft / m2||2026||új építésű|hőszivattyú, fan-coil, padlófűtés||udvari beálló - benne van az árban|maganszemely|19|"Budaörs kertvárosi részén, átmenő forgalomtól mentes zsákutcában épülő ikerház mindkét lakását kínáljuk megvételre.

A 110 és 112 m2 hasznos alapterületű lakások kialakítása során a mindennapi élet kényelmét tartottuk szem előtt:

• Funkcionális terek: nappali és további 4 szoba, 3 fürdőszoba, 18nm2 terasz, 15nm2 erkély
• Tágas közösségi tér: nappali, konyha és étkező a közös pillanatokhoz
• Személyes terek: emeleten 3 hálószoba a pihenéshez, és +1 külön szoba a földszinten az otthoni munkához vagy vendégek fogadására
• Szabadba nyíló terek: minden szoba közvetlen kijárattal rendelkezik teraszra vagy erkélyre
• Fürdőszobák: a fő hálószobához privát fürdőszoba, az emeleten külön kádas, és vendégek számára elérhető földszint..."|https://ingatlan.com/34583891|365 m2|A+|||||||||||||||||||0.0|10.0|0.0|28.0|0.0|0.0|0.0|0.0|0.0|0|1|0|0|0|38.0|0.0|38.0
8|Budaörs, Széles utca 13.||179,90 M Ft||183 m2|983 060 Ft / m2||1981 és 2000 között||jó állapotú|gázkazán, hűtő-fűtő klíma||udvari beálló - benne van az árban|ingatlaniroda|30|"ELADÓ PANORÁMÁS, TÖBBSZINTES CSALÁDI HÁZ BUDAÖRS LEGKEDVELTEBB RÉSZÉN – akár több generáció részére!

Budaörs városközpontjában, mégis csendes mellék utcában, távol az autópálya zajától, Kő-hegyre panorámás ingatlant kínálunk megvételre. A családi ház háromszintes, részben felújított, amely ideális választás lehet nagyobb családoknak, több generáció együtt élésére, vagy akár befektetési célokra egyaránt.

Övezeti besorolás: Lk-1/O

A bruttó 230 négyzetméteres, nettó 183 négyzetméter hasznos alapterületű ingatlan összesen nyolc szobával, nappalival, amerikai konyhával és három fürdőszobával rendelkezik. A ház kiváló műszaki állapotban van, az épület téglából épült, külső homlokzata szigetelt, a nyílászárók pedig korszerű, hőszigetelt műanyag ablakok.

Az ingatlan alsó és földszinti szintje ..."|https://ingatlan.com/34837597|400 m2||||||||||||||||||||0.0|0.0|2.0|12.0|0.0|4.0|4.5|3.5999999999999996|0.0|0|0|1|0|0|26.1|0.0|26.1
9|Budaörs, Kismartoni utca 67.||169,90 M Ft||114 m2|1 490 350 Ft / m2||2026||új építésű|hőszivattyú||udvari beálló - kötelező megvenni|ingatlaniroda|10|"K67 Residence

Kamaraerdő panorámás, domboldalán újonnan épülő energiatakarékos 2 ikerházból álló ingatlanfejlesztésen dolgozunk, amely összesen négy eladó lakást foglal magában.
I/1-es lakás: netto 114 nm-es 2 szintes N+ 3 szobás ikerházfél megvásárolható 169.9 M Ft-ért.

A lakás elrendezése ideális családok számára. Földszinten az előszobából egy vendégmosdó nyílik. Továbbhaladva egy rendkívül tágas 55 nm-es amerikai konyhás nappali biztosítja a teret akár nagyobb családi, baráti összejövetelekre. Különlegessége, hogy 2 irányból is terasz kapcsolatos ,így úszik a napfényben. Ráadásul a konyhából és a nappaliból is ki lehet ülni a szabadba. Saját privát kb. 160 nm parkosított kert tartozik a lakáshoz.
A lépcső alatt praktikusan egy tároló/háztartási helyiség kialakítható.

Az emeleten 3 d..."|https://ingatlan.com/34695262|163 m2|A+|||||||||||||||||||3.0|12.5|0.0|12.0|0.0|2.0|4.5|1.2|0.0|1|1|0|0|0|35.2|0.0|35.2
10|Budaörs, Kolozsvári utca||259,90 M Ft||260 m2|999 615 Ft / m2|5 + 2 fél|1981 és 2000 között||felújított|gázkazán, kandalló||teremgarázs hely|ingatlaniroda|11|"Exclusive Francia stílusú polgári otthon Budaörs egyik legfelkapottabb utcájában, kitűnő közlekedésnél eladó egy nagyon szépen felújított, kényelmes családi ház.

A ház az 1990-es évek elején épült, 2016-ban teljeskörű felújításon esett át, melynek során nyílászáró csere, szigetelés és teljes külső-belső design megújítás történt, ekkor kapta a jelenlegi finom, elegáns klasszikus, franciás stílust.

A netto alapterület 260 m2 + nagy teraszok. Nappali kandallóval és étkezővel + 4 kényelmes méretű háló, 2 nagy fürdő, 3 külön wc, gardróbok, a szuterén szinten rengeteg tároló, gépház, és egy nagyméretű kétállásos garázs kaptak helyet.
A kertben további 4 autó kényelmes beállására van lehetőség.
Különleges növényzetű kert, fűthető kutyaház, öntözőrendszer. A telek hátsó része egy gyönyörű nagy p..."|https://ingatlan.com/34039634|260 m2||||||||||||||||||||9.0|12.5|8.0|18.0|0.0|8.0|3.0|1.2|0.0|1|1|1|0|0|59.7|0.0|59.7
