id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|varosresz_kategoria|varosresz_premium_szorzo
1|Budapest XII. kerület, Orbánhegy||399,50 M Ft||350 m2|1 141 428 Ft / m2||1950 előtt||felújítandó|gázkazán||önálló garázs - kötelező megvenni|ingatlaniroda|16|"XII. kerületben a Fodor utca és a Storfeld Aurél utca között elhelyezkedő, 1942-ben épült, különleges polgári, klasszikus villaépület ősfás, sík parkosított kerttel eladó. Az épület korabeli eredetiségét megtartotta, de felújításra, korszerűsítésre vár. Nappali előtt hatalmas terasz és kertkapcsolat látható. A ház nyeregtetős, vasbeton födémmel rendelkezik, padlástér nagy belmagasságú, beépíthető, 130 nm beépítésére előkészített.
Külön bejárattal rendelkező kis garzolakás is tartozik az épülethez. Az utca forgalommentes, nagyon csendes és csupa zöld, a kert intim, az épület az utcáról nem látható. Garázs vételára 20 M.
Buszmegálló a közelben."|https://ingatlan.com/34794892|350 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|0.0|0|0|0|0|0|0|1|0|2.5|0.0|2.5|Budaörs Kamaraerdő|1.25
2|Budapest XII. kerület, Tamási Áron utca 27.||419 M Ft||216 m2|1 939 814 Ft / m2||1950 előtt||jó állapotú|gázkazán, cserépkályha||önálló garázs - benne van az árban|ingatlaniroda|19|"Eladó Orbánhegyen, a XII. kerület legjobb részén egy villaépület.

Tamási Áron utca 27. telek mérete 1065 nm, a lakótér 216 nm, ebből egy kis lakás 35 nm, a tetőtér beépíthető, nettó 125 nm nyerhető, onnan csodálatos a panoráma a városra. A belmagasság a földszinten 3,1 méter.

A ház 1942-ben téglából épült, az akkori követelmények szerinti legjobb minőségben. Fa nyílászárók, ajtók, a tetőcserélve lett azóta.

A környéken nagyon barátságos, összetartó emberek laknak. A délnyugati tájolású házban a vastag falaknak köszönhetően kellemes érzet van klíma használata nélkül is. A meleget gázkazán biztosítja, valamint a nappaliban egy csodás cserépkályha is helyet kapott. Az épület részben alápincézett.

Ajánlom a házat családoknak, és befektetőknek egyaránt, valamint cégközpontnak. Az alaprajz t..."|https://ingatlan.com/34912565|216 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Budaörs Központ - Villa Negyed|1.3
3|Budapest XII. kerület, Pillangó ösvény||209,90 M Ft||168 m2|1 249 404 Ft / m2||2015||újszerű|egyéb kazán||udvari beálló - benne van az árban|ingatlaniroda|30|"XII. kerületben, CSILLEBÉRCEN, a CSILLEBÉRCI-ERDŐ közvetlen közelében, nyugodt, erdős, üdülőövezeti részen, a Pillangó ösvényen eladó egy ÚJSZERŰ, 2015-ös, téglaépítésű, 168 + 44 nm-es (168 nm lakótér + 44 nm terasz), 3 SZOBÁS, HÁROMSZINTES, hőszigetelt, PANORÁMÁS, DUPLA TERASZOS, DUPLAKOMFORTOS, részben bútorozott és gépesített, csendes, világos, körbejárható, KERTES, ÖNÁLLÓ, CSALÁDI HÁZ.
A földszinten (60 nm) egy kertkapcsolatos HÁLÓSZOBA (43 nm), egy gardróbhelyiség (87 nm), egy zuhanyzós fürdőszoba (3 nm), egy lépcső alatti tároló (1 nm), egy lépcsőház és egy tárolóhelyiség (6 nm) került kialakításra.
Az emeleten (54 nm lakótér + 28 nm terasz) egy teraszkapcsolatos, amerikai konyhás, étkezős NAPPALI (47,5 nm), egy zuhanyzós fürdőszoba (4 nm), egy előszoba (2,5 nm), egy lépcsőház, egy s..."|https://ingatlan.com/34815632|146 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|0.0|0|0|0|0|0|1|0|0|3.2|0.0|3.2|Budaörs Kamaraerdő|1.25
4|Budapest XII. kerület, Rácz Aladár út||350 M Ft||160 m2|2 187 500 Ft / m2||||||||maganszemely|14|"Ötvenes évekbe épült, teljesen felújítandó családi ház , telek tulajdonostól eladó.
2. kerületi vagy Gellérthegyi lakást beszámítok.
Ingatlanosok értékesítési céllal ne keressenek!

Beépíhetőségi infomáció:
Az építhető épület mérete a telek területe és a beépítési paraméterek függvénye:

Az ingatlanon legfeljebb: 1081*0,15 = 162,15 m2 beépíthető alapterületen, 1081*0,35= 378,35 m2 bruttó általános építményszint építhető.
A KÉSZ 84.§ szerint számítva az ingatlanon legfeljebb 3 önálló rendeltetési egység létesíthető, egy épületben."|https://ingatlan.com/34765838|1080 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0|0|0|0|0|0|0|1|0.0|2.0|-2.0|Budaörs Törökbálint határ|1.2
5|Budapest XII. kerület, Nőszirom utca 1.||490 M Ft||189 m2|2 592 592 Ft / m2||2026||új építésű|hőszivattyú||önálló garázs|maganszemely|11|"Nőszirom utca 1. I új építésű luxus ház projekt I 189m2 I 3 hálószoba I 2 fürdőszoba I 3 terasz I 2 beállós garázs I közvetlenül az erdő mellett I panorámás

A természetvédelmi terület (Ördög -orom és Széchenyi -hegyi természetvédelmi terület) közvetlen szomszédságában található, déli tájolású, panorámás építési telken kerül magvalósításra a Nőszirom utca 1. luxus ház projekt. Az engedélyezett koncepció szerint a természetbe illeszkedő két darab ház kerül megépítésre az 1700m2-es telken, melyet körbe ölel a természet (Cédrus, fenyő liget és erdő övezi a telket) A telekről, illetve majd a házból is kilátás nyílik a Széchenyi -hegyre és a környező hegyekre, erdőkre.

Az eladó ház két szintes, a földszinten a nappali- konyha, előtér egyben 62.32m2, melyben egy fa tüzelésű kandalló épül. A föl..."|https://ingatlan.com/34800200|800 m2|A+++|||||||||||||||||||0.0|0.0|0.0|7.6|0.0|6.4|0.0|0.0|0|0|0|1|0|1|0|0|14.0|0.0|14.0|Budaörs Kamaraerdő|1.25
6|Budapest XII. kerület, Városkúti út 25/B||275 M Ft||265 m2|1 037 735 Ft / m2|3 + 1 fél|1950 és 1980 között||jó állapotú|gázkazán||önálló garázs - benne van az árban|maganszemely|16|"INGATLANOS ÉRTÉKESÍTÉST NEM KÍVÁNUNK IGÉNYBE VENNI!
Kútvölgyben, Kis-Sváb- hegy Természetvédelmi terület közvetlen szomszédságában, Svábhegy és Normafa közelében a Fogaskerekű vasút Városkút megállójától 10 percre, a 21-es busz megállójától 5 perc sétára, eladó egy nappali plusz háromszobás tehermentes, rendezett tulajdonlappal rendelkező ikerház fél.
A házrészhez tartozik egy az utcára közvetlenül nyíló, 25nm-es zárt, téglából épített garázs is. A nagyméretű telek összesen 600 nm-es a ház lakóterülete 225 nm+ 40 nm-es terasz.

A ház 3 szintes, nappali és kétszobás és egy félszobás. Mindegyik szobához tartozik erkély, a szobák külön nyílnak a négy égtáj felé tájolva, ezért a természetes fény minden napszakban bejárja az ingatlant. Minden szinten található mellékhelység a földszinten és a f..."|https://ingatlan.com/34235660|265 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-4.0|0|0|0|0|0|0|0|1|0.0|4.0|-4.0|Budaörs Általános|1.0
7|Budapest XII. kerület, Rácz Aladár út 102/A||268 M Ft||220 m2|1 218 181 Ft / m2|7 + 1 fél|1950 és 1980 között||jó állapotú|gázkazán||önálló garázs|maganszemely|16|"Eladó a XII. kerületben, csendes utcában, bruttó 220 m2-es panorámás ikerházfél, 2 db, összesen 68 m2 garázzsal.

Ideális annak, aki a városhoz közel, de mégis természetben szeretne lakni.

Az ingatlan ikerház jellegű, teljesen szeparálva a másik egységtől, jogilag rendezett állapotok vannak.
Frissen lett festve, burkolva, felújított konyha, fürdőszobák.
Szintenként egy légkondicionáló van.

Felső szint 60 nm tetőtér beépítés, itt két szoba van, az egyikben szauna, plusz egy fél szoba, fürdőszoba zuhanyzóval WC-vel
Középső szint (ez az utca szintjén van) 60 m2, nappalival, konyhával, fürdőkádas fürdőszobával és WC-vel, 15 nm-es panorámás terasz tartozik hozzá
Az alsó szint 60 nm + 24 m2 terasz, dolgozó és hálószoba, plusz egy szoba, fürdőszoba zuhanyzóval, külön WC

A ház alatt egy 20 m2-e..."|https://ingatlan.com/34106741|220 m2||||||||||||||||||||0.0|4.0|0.0|0.0|0.0|6.4|0.0|0.0|0|1|0|0|0|1|0|0|10.4|0.0|10.4|Budaörs Kamaraerdő|1.25
8|Budapest XII. kerület, György Aladár utca||299 M Ft||148 m2|2 020 270 Ft / m2||1950 és 1980 között||jó állapotú|gázkazán||önálló garázs - benne van az árban|maganszemely|16|"Az eladó ingatlan a XII. kerület egyik legfrekventáltabb részén, Virányos-Kútvölgy határán található.

Egy kétépületes, egymástól életvitel szemponjából teljesen szeparált ikerház egyik tagja. Az épületrészhez direktben elérhető, különálló, ősfás, déli fekvésű kert tartozik.

Az elmúlt tíz évben teljeskörű esztétikai és energetikai felújításon (szigetelés, napelemek, új kazán, fa nyílászárók, villany, tömör tölgyfa parketta) és tetőcserén esett át, a rezsiszámlák kimondottan alacsonyak. Esztétikai szempontból modern, napfényes, pozitív hangulatú, kimondottan ízléses jelen állapotában is (az 1976-os építése óta minőségi karbantartás alatt volt). Nagy ablakok, több terasz és üvegtetős kiegészítés teszi hangulatossá.

Aktuális kialakítása két hálószobás egy fürdővel, nagy nappalival és különá..."|https://ingatlan.com/34656767|580 m2||||||||||||||||||||4.5|0.0|0.0|3.8|0.0|0.0|0.0|0.0|1|0|0|1|0|0|0|0|8.3|0.0|8.3|Budaörs Törökbálint határ|1.2
9|Budapest XII. kerület, Diós árok||300 M Ft||250 m2|1 200 000 Ft / m2|5 + 3 fél|||közepes állapotú|gázkazán||udvari beálló|maganszemely|17|"Diósárok úton tulajdonostól eladó 1920-as években épített, művész házaspár által lakóháznak és műteremnek kialakított épület. Az ingatlan 988nm-es nyeles telken fekszik,az utcafronttól beljebb,csendes ,napsütötte DNY fekvésű romantikus kerttel kapcsolódva. A 10*15-ös alapterületen jelenleg két lakás osztozik,felettük hatalmas műteremként használt tetőtérrel. A kertben önálló 20nm-es kertészlak bújik meg,teljesen alápincézve. A ház alatt szintén található egy kisebb,15nm-es pince. A ház mellett egy fedett és egy nyitott gépkocsi beálló került kialakításra. A fűtést 2 gázkazán biztosítja. A ház korszerűsítést igényel, de a csendes,intim környezet ,mégis kiváló lokalizáció meghitt otthont és nem utolsó sorban kíváló befektetést ígér.

INGATLANKÖZVETÍTŐK NE KERESSENEK !"|https://ingatlan.com/34365541|250 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Budaörs Kamaraerdő|1.25
10|Budapest XII. kerület, Rácz Aladár út 4/B||252 M Ft||144 m2|1 750 000 Ft / m2|4 + 1 fél|1950 előtt||felújított|elektromos fűtőpanel||utca, közterület - ingyenes|maganszemely|22|"Két külön lakásból álló, ikerház (jogilag önálló családi ház), kiváló közlekedéssel eladó a XII. kerület kedvelt részén. A két lakás egyben is és külön-külön is eladó:
1) 72 m2-es kertkapcsolatos, teraszos lakás, 1 hálóval, óriási nappalival
2) 72 m2-es frissen felújított, tágas, erkélyes lakás, előkerttel, tetőtér beépítési lehetőséggel

A két lakás külön bejárattal rendelkezik, jelenleg teljesen szeparált, de egy belső lépcsővel könnyedén összeköthető (a beépítetlen tetőtérrel is).

1.) 72 m2-es kertkapcsolatos lakás leírása:
A lakás 2016-ban teljes körű felújításon esett át, állapota kiváló. A lakás gépesített konyhával, beépített szekrényekkel és fürdőszoba bútorral rendelkezik. Egy tisztasági festés után költözhető.
A lakás legszebb része a tágas, kertkapcsolatos nappali és a terasz. ..."|https://ingatlan.com/34649519|238 m2||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|0.0|2.5|0.0|0|0|0|1|0|0|1|0|6.3|0.0|6.3|Budaörs Törökbálint határ|1.2
