id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|varosresz_kategoria|varosresz_premium_szorzo|geo_latitude|geo_longitude|geo_address_from_api
1|Budapest X. kerület, Lenfonó utca||58,50 M Ft||50 m2|1 125 000 Ft / m2||1981 és 2000 között|8|felújított|távfűtés|4 m2|utca, közterület - ingyenes|ingatlaniroda|15|"Újhegyi lakótelepen, panelprogramon átesett (szigetelt), rendezett, kulturált házban, 2 szobás, felújított, erkélyes, déli fekvésű, panorámás, 2 klímával rendelkező lakás eladó. A lakásban kb. 10 éve teljeskörű felújítás történt: konyha, fürdőszoba, nyílászárók,hideg és meleg burkolatok. A vételár tartalmazza a jó minőségű beépített szekrényeket, a konyhában lévő gépeket (okos hűtőszekrény, mosogatógép , elszívó, tűzhely) és a nappaliban található bútorokat. A közösköltség 16 600 Ft, rezsi télen 33000 Ft- nyáron 20 000Ft! Tehermentes, 1/1 -es tulajdonos, nem lakott, gyorsan költözhető!
A lakás az újhegyi lakótelep szélén a Sibrik Miklós út közelében fekszik, a tömegközlekedés és vásárlási lehetőség pár perc sétával elérhető. A ház előtti parkolás ingyenes.
Befektetésnek is kiváló döntés le..."|https://ingatlan.com/34726286|||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|3.2|2.5|-2.0|0|0|0|1|0|1|1|1|9.5|2.0|7.5|Központi terület|1.0|||
2|Budapest X. kerület, Kővágó utca||66,90 M Ft||68 m2|962 589 Ft / m2||1981 és 2000 között|10|jó állapotú|távfűtés|3 m2|utca, közterület - ingyenes|ingatlaniroda|13|"Árcsökkenés!!!
Kiváló állapotú nagy lakás eladó az Újhegyi lakótelepen
Eladó a X. kerületben a kedvelt Újhegyi lakótelepen egy jó állapotú, 68 nm-es 3 szobás, erkélyes nagy lakás.
A lakóház és a környezete is rendezett, az épületek között zöld parkok találhatók. A lakás jó elosztású, ablakai két irányba néznek, így minden napszakban éri fény.
Konyhája nagy ablakos, a szobák kényelmes méretűek, jól berendezhetők. Az egyik szoba erkélyes. A nyílászárók cserélve lettek korszerű műanyag ablakokra, a fürdőszoba és a konyha is felújításra került. A szobákban laminált padló lett lerakva. Az ingatlan üres, tehermentes, rövid időn belül birtokba vehető.
Közelben minden gyalogosan is elérhető, Bajcsy Kórház, rendelő, piac, Interspar, Auchan és egyéb bevásárlási lehetőségek.
Buszjáratok közvetlenül K..."|https://ingatlan.com/34684331|||||||||||||||||||||0.0|4.0|0.0|0.0|0.0|0.0|0.0|0.0|0|1|0|0|0|0|0|0|4.0|0.0|4.0|Általános terület|1.0|||
3|Budapest X. kerület, Harmat utca||59,99 M Ft||68 m2|850 921 Ft / m2|||8|jó állapotú|távfűtés egyedi méréssel|5 m2||ingatlaniroda|6|"Tágas, felújított, 3 szobás lakás eladó az Újhegyi lakótelepen

Eladó a X. kerület közkedvelt Újhegyi lakótelepén egy 68 m²-es, 3 szobás, erkélyes, kiváló állapotú panellakás. A szobák különnyilóak is !

A lakás elosztása praktikus és világos, ablakai két irányba néznek, így egész nap természetes fényt kap. A nagy ablakos konyha, a kényelmes méretű szobák, valamint az erkélyes nappali ideálissá teszik családosoknak, pároknak vagy befektetőknek is.

A lakásban:

Műanyag nyílászárók

Laminált padló a szobákban

Felújított fürdőszoba és konyha

A társasház rendezett, parkosított környezetben helyezkedik el, barátságos lakóközösséggel. Az ingatlan üres és tehermentes, azonnal költözhető.

A közelben minden megtalálható:

Interspar, Auchan, piac, patika

Bajcsy-Zsilinszky Kórház, rendelő

Óvoda..."|https://ingatlan.com/34878358|||||||||||||||||||||0.0|4.0|0.0|0.0|0.0|0.0|2.5|0.0|0|1|0|0|0|0|1|0|6.5|0.0|6.5|Prémium villa negyed|1.3|||
4|Budapest X. kerület, Oltó utca 8.||69,50 M Ft||68 m2|1 007 246 Ft / m2|||földszint|felújított|távfűtés|2 m2|utca, közterület - ingyenes|maganszemely|18|"Budapest X. kerületének csendes, jól ellátott részén kínálok eladásra egy 68 m²-es, magasföldszinti lakást. Az ingatlan 3 szobával rendelkezik.

A lakás világos, modern kialakítású, erkéllyel, műanyag ablakokkal és 2 darab klímaberendezéssel felszerelt. Az ingatlan rendezett társasházban található. Parkolás ingyenes a környéken."|https://ingatlan.com/34843743|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Prémium villa negyed|1.3|||
5|Budapest X. kerület, Kővágó utca||58 M Ft||49 m2|1 137 254 Ft / m2|1 + 1 fél||4|felújított||4 m2|utca, közterület - ingyenes|maganszemely|14|"Tisztelt Érdeklődő!

Családunk bővülése miatt eladásra kínáljuk Budapest X. kerületében az Újhegyi Lakótelep legjobb részén található 49m2-es, 4. emeleti erkélyes lakásunkat.

Zárt lépcsőházból jutunk a csupán a szomszéddal közös erkélyre, majd a lakásba lépést követően egy előszoba fogad, ahonnan jobbra az ablakos, világos konyha található. A közlekedőn át jutunk el a külön helyiségben kialakított fürdőszobához és WC-hez, valamint innen nyílik a nappali és a hálószoba is. A lakás praktikus és jól átgondolt elrendezésének köszönhetően kifejezetten élhető.

A lakás teljeskörű felújítása 2017-ben történt meg ablak, kül- és beltéri ajtók, illetve radiátor cserékkel együtt. A vizes blokkok csövei, berendezései, burkolatai szintén ekkor lettek újakra cserélve. A kisebb szoba ekkor lett leválasz..."|https://ingatlan.com/34913161|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Általános terület|1.0|||
6|Budapest X. kerület, Szövőszék utca||53,90 M Ft||50 m2|1 078 000 Ft / m2|||6|jó állapotú|távfűtés|||maganszemely|11|"Eladó Budapest X. kerületének csendes, zöldövezeti részén, az Újhegyi sétány közvetlen közelében egy 50 nm-es, 2 szobás, 6. emeleti liftes lakás, gyönyörű kilátással 10 percre a KöKi Terminaltól.

Főbb jellemzők:
Erkélyes lakás, sok természetes fénnyel
Felújított elektromos hálózat
Műanyag nyílászárók, redőnnyel
2 db hűtő-fűtő klímaberendezés az extra kényelemért
Panelprogramban beszigetelt társasház
Alacsony rezsi és közösköltség
Bútorozottan
Parkolás a ház előtt ingyenes
Tehermentesen azonnal költözhető

!Akár bérlőkkel együtt is átvehető, így befektetésnek is tökéletes!

Lokáció: Nyugodt környék, kiváló közlekedés, pár perc sétára boltok, óvoda, iskola, orvosi rendelő, buszmegálló

Tökéletes választás első otthonnak vagy kiadásra is!

Képeket szívesen küldök róla üzenetben vagy e-mailbe..."|https://ingatlan.com/34831191|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|2.5|-4.0|0|0|0|0|0|1|1|1|5.7|4.0|1.7|Prémium villa negyed|1.3|||
7|Budapest X. kerület, Szövőszék utca 20.||54,90 M Ft||49 m2|1 087 128 Ft / m2||1981 és 2000 között|6|jó állapotú|távfűtés|3 m2|utca, közterület|ingatlaniroda|16|"Other languages below!

Eladó világos, erkélyes 2 szobás panel lakás a X. kerületben!

Budapest X. kerületében, rendezett panelház 6. emeletén kínálunk eladásra egy 49 m²-es, 2 szobás, erkélyes lakást.

2020 márciusában teljes vízvezeték rendszer cserélve lett (képeket tudok küldeni róla)
Villanyvezetékek 2017-ben lettek korszerűsítve.

Az ingatlan praktikus elosztású:

Különnyíló WC és fürdőszoba,

Külön bejáratú szobák,

Erkély, amely kellemes pihenőhelyet biztosít a mindennapokban.

A lakás világos, jól szellőző, ideális lehet első lakásnak, fiatal pároknak, vagy befektetés céljából is. A házban lift működik, a környék csendes, mégis kiváló közlekedési és infrastrukturális adottságokkal rendelkezik: boltok, iskola, óvoda, orvosi rendelő, tömegközlekedés a közelben.

Nyílászárók újak (20..."|https://ingatlan.com/34905280|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Központi terület|1.0|||
8|Budapest X. kerület, Dombtető utca||75,90 M Ft||68 m2|1 092 086 Ft / m2||1950 és 1980 között|1|felújított|távfűtés, hűtő-fűtő klíma|3 m2|utca, közterület - ingyenes|maganszemely|21|"Eladó egy felújított, lakberendező által berendezett 3 szobás, erkélyes panellakás az újhegyi lakótelepen!

Az újhegyi lakótelep a X. kerület egyik legzöldebb, legjobban kiépült része, újszerű játszóterek, boltok (Spar, Lidl, Penny, Auchan, DM, Rossmann, Jysk) posta, gyógyszertár, gyerek és felnőtt háziorvosi rendelők, óvoda, iskola sétával elérhetőek. A közelben egy kellemes sétára elérhető az Újhegyi bánya-tó, sportolási lehetőség pedig a frissen felújított sportligetben adott. Itt eladó egy 1. emeleti, 68 m²-es, 3 szobás, erkélyes panellakás!

A lakás mindig a család tulajdonában állt, így folyamatosan gondozva volt, minden szükséges és aktuális felújítást elvégeztünk:
✅ Prémium biztonsági alumínium bejárati ajtó
✅ Hűtő-fűtő klíma
✅ Fürdő, WC, konyha teljes körű felújítása a vízvezetéke..."|https://ingatlan.com/34925507||D|||||||||||||||||||0.0|4.0|3.5|3.8|0.0|0.0|0.0|0.0|0|1|1|1|0|0|0|0|11.3|0.0|11.3|Jó lakónegyed|1.15|||
9|Budapest X. kerület, Szövőszék utca||48,90 M Ft||36 m2|1 358 333 Ft / m2|||1|újszerű|távfűtés||utca, közterület|maganszemely|3|"Teljeskörűen felújított, gépesített lakás – első lakásnak tökéletes, szeptemberi átadással!

Elhelyezkedés: [X. Kerület / Újhegy park]
Ár: Kedvezményes előértékesítési ár

Leírás:
Szeptemberi átadással eladó egy modern, teljeskörűen felújított lakás, amely minden szempontból ideális első otthonnak vagy befektetésnek. A felújítás során az ingatlan gyakorlatilag új állapotba kerül.

Felújítás tartalma:

- Minden nyílászáró cseréje

- Teljes villanyhálózat megújítása

- Teljes gépészeti felújítás (új fürdőszoba, WC, radiátorok)

- Vadonatúj, gépesített Divian konyha (Whirlpool mosogatógép, sütő, mikró, főzőlap)

- Energiahatékony, nagy teljesítményű hűtő-fűtő klímaberendezés (szintén újonnan beépítve)

Miért különleges?

Amennyiben most csap le a lehetőségre úgy lehetősége van eltérni a meglé..."|https://ingatlan.com/34920064|||||||||||||||||||||4.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0|0|0|0|0|0|4.5|0.0|4.5|Prémium villa negyed|1.3|||
10|Budapest X. kerület, Szövőszék utca 20.||64,90 M Ft||68 m2|933 812 Ft / m2||1950 és 1980 között|1|közepes állapotú|távfűtés|3 m2|utca, közterület - ingyenes|maganszemely|12|"A meghírdetett ár alkukèpes.

X. kerületben a megújult és közkedvelt Újhegyi lakótelepen eladó 68nm-es, 3 szobás, l. emeleti összkomfortos, tehermentes panellakás.

Az ingatlan vonzó környezetben, a megszépült Újhegyi sétány mellett, a Szövőszék utca 20. szám alatt helyezkedik el.

A lakás az I. emeleten található, világos, körbenapozott. Megközelítése tiszta, zárható lépcsőházi folyosóról lehetséges, ahol felújított lift áll rendelkezésre. A lakóközösség nyugodt, csendes.

A lakás nagyon napfényes, mindkét oldalon parkra néz
A nagyméretű konyha jól berendezhető.
A fürdőszoba és a wc külön helyiségben található.
Állapotát tekintve azonnal költözhető, de egy kis korszerűsítéssel, felújítással a leendő tulajdonos saját ízlésére formálhatja.
A lakáshoz tartozik egy ingyenes , kb 3 négyzetméte..."|https://ingatlan.com/34863367|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|-2.0|0|0|0|0|0|0|1|1|2.5|2.0|0.5|Prémium villa negyed|1.3|||
