id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|enhanced_keruleti_resz|lokacio_konfidencia|lokacio_elemzesi_modszer|lokacio_forras|lokacio_elemzesek_szama|geo_latitude|geo_longitude|geo_address_from_api|varosresz_kategoria|varosresz_premium_szorzo
1|Budapest II. kerület, Fillér utca 9-11.||254,90 M Ft||138 m2|1 847 101 Ft / m2|3||4|felújított|házközponti, hűtő-fűtő klíma||udvari beálló - bérelhető|ingatlaniroda|14|"Azonnal költözhető!
Eladó világos, tágas, frissen felújított, belsőépítész terv alapján ízlésesen berendezett lakás budán a II. kerületben a Fillér utcában. Logikus és praktikus elrendezés, remek lokáció!
Az igényesen kialakított, 3 szobás lakás ideális pároknak, kisgyermekes családnak vagy két különálló fő részére is, de akár vállalkozás céljára is ideális lehet (szépségszalon, ügyvédi iroda, stb.) így egyszerűen ki is adható, tehát befektetésnek is kiváló.

A lakás jellemzői:
•körablakos, világos nappali
•két különnyíló, világos hálószoba
•hatalmas, gépesített konyha, ahol kényelmesen elfér egy étkezőasztal is (sütő, főzőlap, hűtő, mosogatógép, vízforraló, mikró, stb.)
•kamra a praktikus tárolásért
•tágas előszoba (mely akár váró is lehet)
•világos loggia
•zuhanyzós fürdőszoba WC-vel
•kü..."|https://ingatlan.com/34731004|||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|0.0|2.5|0.0|0|0|0|1|0|0|1|0|6.3|0.0|6.3|II. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.5093324|19.0227727|Budapest II. kerület, Fillér utca 9-11.|Budapest prémium kerület|1.3
2|Budapest II. kerület, Keleti Károly utca||163 M Ft||86 m2|1 873 563 Ft / m2|3|1950 előtt|3|jó állapotú|gázkazán|2 m2|utca, közterület - fizetős övezet|maganszemely|16|"Eladó lakás Budapest II. kerületben, Keleti Károly utcán!
Ez a gyönyörű lakás egy elegáns, négyemeletes társasház harmadik emeletén található, kiváló elhelyezkedéssel és kényelmes életkörülményekkel. A Millenniumi Parkba gyalog 3 perc alatt, a Mammut Bevásárlóközpontba 5 percen belül elérhető, a közlekedés remek, a környék pedig csendes és élhető.
Elrendezés: Két különálló hálószoba, tágas nappali és étkező, praktikus és jól kihasznált tér.
Konyha: Önálló, teljesen felszerelt, tágas konyha, modern eszközökkel, minden főzési igény kielégítésére alkalmas.
Fürdőszoba és WC: Különálló fürdőszoba és toalett, kényelmes és praktikus kialakítással.
Fényviszonyok: A lakás napfényben úszik, otthonos és világos légkört teremtve.
Kert: Az épület alatt privát kert található, ideális pihenéshez vagy csa..."|https://ingatlan.com/34914173|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-4.0|0|0|0|0|0|0|0|1|0.0|4.0|-4.0|II. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.5121292|19.0284107|Budapest II. kerület, Keleti Károly utca|Budapest prémium kerület|1.3
3|Budapest XII. kerület, Greguss utca||113 M Ft||67 m2|1 686 567 Ft / m2|3|1950 előtt|2|felújított|gázkazán||utca, közterület - fizetős övezet|maganszemely|13|"Budapest, Krisztinaváros / 67 nm / felújitott / 3 szobás / 113 millió Ft.

LAKÁS:
-Ezévben minden felújtás megtörtént: víz, gáz, cirkó-fűtés, villany-vezetékek mind újak.
-A szobák elrendezése: 3 szobás, mindegyik szoba külön nyíló.
-Külön fürdőszoba (káddal) + különálló wc-helyiség.
-Nézet: belső udvarra.
-Tájolás: nyugati.
-Teljesen gépesített konyha: mosogatógép, indukciós főzőlap, sütő, szagelszívó, mosógép.
-Hűtő-fűtő klíma (wifi eléréssel)
-Új kombi-gázkazán (Ariston, garanciális), frissen bélelt kémény.
-Nyilászárók: újonnan beszerelt két-rétegű, műanyag ablakok, mindegyiken elektromos redőnyök távirányítóval.
-Egyedi vízóra.
-Biztonsági bejárati ajtó.
-Prémium burkolatok, vízálló laminált padló.
-Perem nélküli WC-k (2 db) bidé-zuhannyal.
-Internet- és TV-hálózat bevezetve (Telekom)..."|https://ingatlan.com/34877374|||||||||||||||||||||0.0|0.0|7.0|3.8|0.0|0.0|0.0|-2.0|0|0|1|1|0|0|0|1|10.8|2.0|8.8|XII. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.4990549|19.0223278|Budapest XII. kerület, Greguss utca|XII. ker. Budai hegyek - Villa negyed|1.4
4|Budapest XII. kerület, Márvány utca||199,90 M Ft||91 m2|2 196 703 Ft / m2|4 + 1 fél|1950 előtt|2|újszerű|gázkazán, hűtő-fűtő klíma||utca, közterület - fizetős övezet|maganszemely|13|"---- Teljes körűen felújított, prémium minőségű, exklúzív ingatlan kiválló elosztással , egyedi tervezéssel kulcsrakészen várja új tulajdonosát. -----


91 négyzetméteres tulajdoni lapon (valóságban 94 nm), kifinomult eleganciával kialakított, minden igényt kielégítő, modern és kényelmes otthont kínálok eladásra. Az ingatlan három hálószobával, egy tágas nappalival, külön gardróbszobával, két luxus fürdőszobával, különálló mellékhelyiséggel és praktikusan kialakított mosókonyhával rendelkezik – mindez átgondolt, funkcionális térkialakítással, lakberendező és belső építész által megtervezve. A három hálószoba a tervezésnek köszönhetően egymástól szeparált és mindegyikben bőséges tárolási lehetőség került kialakításra, egyedi beépített szekrények formájában.

A lakás teljeskörű és igényes fe..."|https://ingatlan.com/34907059|||||||||||||||||||||0.0|0.0|0.0|15.2|0.0|0.0|2.5|0.0|0|0|0|1|0|0|1|0|17.7|0.0|17.7|XII. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.4949727|19.0229015|Budapest XII. kerület, Márvány utca|XII. ker. Orbánhegy|1.25
5|Budapest II. kerület, Kút utca||94 M Ft||67 m2|1 372 262 Ft / m2|3|2001 és 2010 között|földszint|felújított|gázkazán|3 m2|utca, közterület|ingatlaniroda|10|"Eladó egy különleges adottságokkal rendelkező, amerikai konyhás nappali + 2 hálószobás lakás Budapest egyik legnívósabb környékén, Rózsadombon, a csendes és forgalomtól elzárt Kút utcában. A lakás egyik legnagyobb előnye a kiváló belső elrendezés: mindkét hálószobához saját fürdőszoba tartozik.

A lakás északkeleti és délnyugati tájolásának köszönhetően egész nap természetes fényben fürdik, a nyugalmat és kikapcsolódást keresők számára pedig igazi gyöngyszem lehet az egyik szobához kapcsolódó, napfényes, zöldövezeti hangulatot árasztó terasz, ahonnan természet közeli kilátás nyílik egy csendes belső kertre.

A környék közlekedési szempontból is kimagasló: pár perc sétára található több villamos- és buszmegálló is, így a Széll Kálmán tér vagy a város más részei könnyedén megközelíthetők. A ..."|https://ingatlan.com/34814453|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|-2.0|0|0|0|0|0|1|0|1|3.2|2.0|1.2|II. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.5141014|19.031739|Budapest II. kerület, Kút utca|Budapest prémium kerület|1.3
6|Budapest II. kerület, Országút||129,90 M Ft||69 m2|1 882 608 Ft / m2|2 + 1 fél|1950 előtt|6|felújított|házközponti||teremgarázs hely - bérelhető|ingatlaniroda|23|"Eladó egy kimagasló értékekkel bíró, budai, egyedi stílusú N+2 szobás lakás
A II. kerület egyik legkedveltebb részén, a Mechwart liget szomszédságában eladó egy panorámás, 6. emeleti, 3 szobás, erkélyes lakás!

A KÖRNYÉK:
- II. kerület, Országút
- Frekventált, kiváló közlekedés, de mégis csöndes
- A 4-6-os villamos megállója sétatávolságra található, a Metró megálló 2 villamosmegállónyira van
- Élelmiszerbolt, gyógyszertár, éttermek 100-200 méteren belül
- Mammut bevásárlóközpont és a Fény utcai piac is csak 7 perc séta vagy 1 villamos megállónyira van
- Orvosi rendelő, iskola, óvoda, fodrászat, kozmetika pár percre, pékségek
- A közelben kikapcsolódási lehetőségnek találhatóak, zöld parkok, illetve játszótér is

A HÁZ:
- rendezett társasház, nagyon szép karbantartott lépcsőházzal
- A lift..."|https://ingatlan.com/34905453|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|-4.0|0|0|0|0|0|1|0|1|3.2|4.0|-0.8|II. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.510162|19.0238539|Budapest II. kerület, Országút|Budapest prémium kerület|1.3
7|Budapest II. kerület, Lövőház utca 26.||160 M Ft||109 m2|1 441 441 Ft / m2|3 + 1 fél|1950 előtt|1|jó állapotú|gázkazán|4 m2|utca, közterület - fizetős övezet|ingatlaniroda|12|"Eladó egy 109 nm-es, három és fél szobás, erkélyes nagypolgári lakás a Marczibányi tér mellett a Millenárisnál.
A lakásfelújítás során: a kémény ki lett bélelve, új kazán biztosítja a meleg vizet és a fűtést; az elektromos hálózat és a nyílászárók ki lettek cserélve, egy új WC, két fürdőszoba és konyha került kialakításra.
A lépcsőház szép, rendezett.
Az elhelyezkedés kiváló, világos, csendes a lakás, mégis két perc a Széll Kálmán tér, a közelben piac, bevásárló központ, park és sportpályák, valamint a Lövőház utca sétáló utcai részén éttermek, bárok."|https://ingatlan.com/34747105|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0|0|0|0|0|0|0|1|0.0|2.0|-2.0|II. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.5106229|19.0234101|Budapest II. kerület, Lövőház utca 26.|Budapest prémium kerület|1.3
8|Budapest XII. kerület, Krisztina körút 2-4.||237,27 M Ft||123 m2|1 846 444 Ft / m2|3||3|jó állapotú|gázkazán|11 m2|utca, közterület - fizetős övezet|ingatlaniroda|23|"PLEASE SCROLL DOWN FOR ENGLISH DESCRIPTION!

Széll Kálmán térre panorámás, tágas lakás eladó kivételes lokációban a Várnegyednél.

A lakás egy rendezett, liftes, felújított homlokzatú, századfordulós épület 3. emeletén helyezkedik el, és ablakaiból illetve erkélyeiről lenyűgöző panorámát kínál a Széll Kálmán térre, a Postapalotára és a környékére.

A lakás tulajdoni lapon 123 nm-es, hozzá jön még a két erkély, amelyek összesen 11 nm-et adnak ki.

Az ingatlan több lépésben, legutóbb 2017-ben lett felújítva, új, hő és hangszigetelt nyílászárók,

A lakás egy tágas előszobából, egy hatalmas, amerikai konyhás nappaliból, étkezőből, 2 hálószobából, tágas fürdőszobából, és vendég wc-ből áll. A konyhában Gaggenau prémium/professzionális gépek és felszerelések (pizzasütő, gőzőlő, grillrács, gáztűzh..."|https://ingatlan.com/34684475|||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|3.2|0.0|0.0|0|0|0|1|0|1|0|0|7.0|0.0|7.0|XII. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.5068962|19.0229609|Budapest XII. kerület, Krisztina körút 2-4.|XII. ker. Krisztinaváros|1.25
9|Budapest II. kerület, Keleti Károly utca 11.||130 M Ft||92 m2|1 413 043 Ft / m2|2 + 1 fél|1950 előtt|2|jó állapotú|házközponti||utca, közterület - fizetős övezet|ingatlaniroda|29|"!!! LEGJOBB ÁR/ÉRTÉK ARÁNYÚ INGATLAN A RÓZSADOMB ALJÁN !!!

Budapest egyik legszebb, legkeresettebb részén a Rózsadomb alján csendes mellékutcában 92 nm-es 2,5 szoba+hallos, világos lakás eladó!
Az 2,5 szoba + hall elrendezésű lakásban külön konyha, kamra, ideális nagyságú fürdőszoba és egy vendég WC is található.


Amiért érdemes ezt az ingatlant választania:
• remek elrendezésű lakás, ami igény szerint jól alakítható,
• a konyhán hatalmas ablak található, ami a belső kertre nyílik,
• A lakás belmagassága és természetes fényviszonyai kiemelkedő alapot nyújtanak egy elegáns, stílusos otthon megteremtéséhez,
• a parketta kimondottan jó állapotban van,
• a lakást folyamatosan karbantartották,
• lift van a házban.


Ha egy világos, csendes, jól élhető, minőségi ingatlant szeretne központi hel..."|https://ingatlan.com/34906604|||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|0.0|0.0|0.0|0|0|0|1|0|0|0|0|3.8|0.0|3.8|II. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.5123106|19.0291729|Budapest II. kerület, Keleti Károly utca 11.|Budapest prémium kerület|1.3
10|Budapest II. kerület, Bem József utca 16.||179,90 M Ft||76 m2|2 306 410 Ft / m2|3|1950 és 1980 között|6|felújított|házközponti, hűtő-fűtő klíma|4 m2|udvari beálló - bérelhető|ingatlaniroda|15|"A II. kerületben, Viziváros szélén, a Dunától alig 3 percnyire eladó egy belsőépítész által áttervezett, nappali + 2 hálós, rendkívül világos, 76 m2-es, duplaerkélyes, egy komplett felújításon átesett, legfelső, 6. emeleti lakás rendezett, zárt lépcsőházas, liftes társasházban.
A felújítás mindenre kiterjedő volt: az összes vezeték, cső és nyílászáró, burkolatok, szekrények és konyha is cserélve lett, a hálószobák redőnyösek, a déli fekvésű nappaliban sötétítőfüggöny található.
A konyha mosogatógéppel szerelt, a hűtőnek saját vízkiállás lett kialakítva a jégkockakészítéshez és a hidegvízhez.
A két hálószoba mellett egy minden igényt kielégítő gardrób is kialakításra került, ide lett kivezetve a mosógép kiállása is.
A fürdőszoba zuhanyzós, duplacsappal szerelt, valamint a külön WC mellett i..."|https://ingatlan.com/34843979|||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|0.0|0.0|-2.0|0|0|0|1|0|0|0|1|3.8|2.0|1.8|II. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.5116589|19.0361486|Budapest II. kerület, Bem József utca 16.|Budapest prémium kerület|1.3
