id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|varosresz_kategoria|varosresz_premium_szorzo
1|Törökbálint, Kastély utca||249 M Ft||230 m2|1 082 608 Ft / m2|5 + 2 fél|||||||maganszemely|22|"Tulajdonostól eladó!
Törökbálinton, Tükörhegy legszebb részén, Budapesttől 2 perc autóútra, zöldövezetben, csendes, barátságos utcában kínálunk eladásra egy exklúzív, önálló, 2 szintes családi házat, modern, energiatakarékos technológiával.
Dupla garázs, plusz több autó számára is alkalmas kocsibeálló található a kertben.
A kertbe nem lehet belátni, magas fákkal, bokrokkal van körbevéve.
Automata öntözőrendszer, riasztó, kamerák, távirányítású kapuk, minden helyiségben klímák, melyek mind a kényelmet szolgálják.
A kertben 6 személyes prémium jacuzzi, nyári konyha kiépítés grillezéshez, 3 fázisú áram, prémium kutyakennel és gyermek játszóvár csúszdával, hintával, homokozóval. Trambulin, kerti tűzrakó bográcsozsához, és hatalmas hely van még a kerti medencének-igény szerint. Tároló a kerti s..."|https://ingatlan.com/34756208|230 m2||||||||||||||||||||0.0|0.0|0.0|7.6|5.6|3.2|0.0|-2.0|0|0|0|1|1|1|0|1|16.4|2.0|14.4|Prémium villa negyed|1.3
2|Törökbálint, Tükörhegy||259,90 M Ft||175 m2|1 485 142 Ft / m2|4 + 1 fél|2026|||mennyezeti hűtés-fűtés, padlófűtés, hőszivattyú||udvari beálló - benne van az árban|ingatlaniroda|27|"MAGAS MINŐSÉG *** CSENDES KÖRNYEZET *** KORSZERŰ ÚJ HÁZAK


ELADÓ közvetlenül a beruházótól Törökbálint legjobb részén, a Tükörhegy csendes felén, ősfás saroktelken egy új építésű projektben 4 lakás – most még lehet választani, melyik a legszimpatikusabb?!

A két ikerház modern mediterrán stílusú, nem hivalkodóak, és rendkívül praktikusak. Csak a belső elrendezésben és kert formáját illetően térnek el egymástól a lakások; egyébként mindegyik 157 m2 hasznos beltér, nappali+4 hálószobás, két fürdőszobás, nagy teraszos (~24 m2), kertkapcsolatos, erkélyes.


A kivitelező sok referenciával rendelkezik a környéken, több akár megtekinthető.


A HÁZAK TERVEZÉSÉnél a legnagyobb gondot arra fordították, hogy az egyes lakások a lehető legmodernebb felszereltséggel és priviát szférával rendelkezzenek:..."|https://ingatlan.com/34896668|420 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Jó lakónegyed|1.15
3|Törökbálint, Balassi Bálint utca||189,90 M Ft||120 m2|1 582 500 Ft / m2||||újszerű|gázkazán, hűtő-fűtő klíma||udvari beálló|maganszemely|18|"Eladásra kínáljuk Törökbálinton, Tükörhegyen, a Balassi Bálint utcában egy 11 sorházból álló lakóparkban, 2020. évben épült, (2021. év májusában birtokba vett) SZÉLSŐ 2 szintes, 120 nm nagyságú (alsó szinten hozzá tartozó 15 nm-es terasz, emeleten 6 nm-es erkély) sorházunkat.

A házhoz tartozik 130nm területű, kertépítő által tervezett, gyönyörű örökzöld növényekkel beépített intim kert automata öntözőrendszerrel ellátva.
A ház előtt 2 gépkocsi számára fedett autóbeálló van.
Az ablakok szúnyoghálóval, elektromos redőnnyel felszereltek.
A biztonságról riasztórendszer gondoskodik.
A földszinten, közlekedőkben és a fürdőkben padlófűtés, a szobákban radiátor biztosítja a meleget.
Alsó és felső szinten hűtő-fűtő klíma lett elhelyezve.
A házra 6 és 1/2 kw-os napelem került.

A ház 2 szintes. Az ..."|https://ingatlan.com/34778506|130 m2||||||||||||||||||||4.5|0.0|3.5|3.8|0.0|0.0|0.0|0.0|1|0|1|1|0|0|0|0|11.8|0.0|11.8|Jó lakónegyed|1.15
4|Törökbálint, Tükörhegy||389 M Ft||230 m2|1 691 304 Ft / m2||2020||újszerű|||önálló garázs|ingatlaniroda|30|"Eladó Törökbálint Tükörhegyen önálló családi ház!
Okos otthon!
Ne hagyja ki ezt a különleges ajánlatot, ha Ön is egy olyan otthont szeretne, ahol a mindennapok ünnepélyessé válnak a természet és a modern életérzés harmóniájában.
Az ingatlan korszerűsége és a minőségi építőanyagok használata hosszú távon is biztosítja a komfortos és gondtalan lakhatást. A modern, minimál stílusban megalkotott ház azoknak kínál ideális otthont, akik értékelik a letisztultságot, a nyugalmat és a természet közelségét az előkelő Törökbálint Tükörhegyi utcában.
A környezet nyugalma és a ház elhelyezkedése egyedülálló élményt nyújt lakóinak. A túloldalon húzódó zöldövezeti területek és a lenyűgöző panoráma mindennapjait varázslatos hangulattal töltik meg, miközben a város zajától távol élvezheti az élet minden pi..."|https://ingatlan.com/34868367|230 m2||||||||||||||||||||0.0|0.0|3.5|0.0|0.0|3.2|0.0|0.0|0|0|1|0|0|1|0|0|6.7|0.0|6.7|Prémium villa negyed|1.3
5|Törökbálint, Balassi Bálint utca||389 M Ft||230 m2|1 691 304 Ft / m2||2020||újszerű|||önálló garázs|maganszemely|22|"-TULAJDONOSTÓL-
Nem lakópark, nem ikerház, nincsenek szomszédok!

Tükörhegy legexkluzívabb utcájában,
rika adottságú, 3 irányból szabad, óriási saroktelken lévő, elvehetetlen panorámás,
minimál stílusú, 5 éve épült, újépítésű, családi ház eladó.
Óriási gondozott, gépesített kerttel, többszáz négyzetméteres kialakított sík résszel, ami egyedülálló az utcában.
Az ingatlannak csak egy oldalról van szomszédja, minden más irányban már elvehetetlen a panorámája.
A ház két szintes. Az alsó szint, a teljes kert és bejáró akadálymentesített. Az alsó szinten egy 36nm-es nagy garázs, tároló helység, mosó/szárító helység, 3 kertkapcsolatos szoba, egy teljes értékű, modern, műgyantaburkolatú fürdőszoba, plusz egy vendég wc található.
Felső szinten nagyméretű nappali, olasz konyha exkluzív gránit pultta..."|https://ingatlan.com/34156867|230 m2||||||||||||||||||||0.0|0.0|0.0|11.399999999999999|0.0|3.2|2.5|0.0|0|0|0|1|0|1|1|0|17.1|0.0|17.1|Prémium villa negyed|1.3
6|Törökbálint, Oportó köz||278,98 M Ft||160 m2|1 743 625 Ft / m2||1981 és 2000 között||újszerű|padlófűtés||utca, közterület - ingyenes|maganszemely|13|"Tulajdonostól eladó!
Álom Otthon - Tükörhegyen

Madárcsicsergésre ébredni, távol a város zajától – mégis mindenhez közel. Ez az oázis a nyugalom szigete, ahol a tágas, napfényes terek és az intim környezet harmóniája igazi otthont varázsol.

Gyönyörűen karbantartott ház, pompás adottságokkal. Egy igazi, intim oázis. A házat körbesüti a nap, csend, nyugalom és béke honol. Minden egy karnyújtásnyira, a legszéleskörűbb infrastruktúra (bevásárlóközpontok, sportcentrumok, iskolák és óvodák, egészségügyi intézmények, éttermek, színház, M1 - M7 - M0) a környéken, kivételes lokáció és rendkívül biztonságos környék.

A ház könnyűszerkezetes építésű, kiváló szigetelésű, kondezációs kazán és padlófűtés gondoskodik a melegről, inverteres klíma és Dyson professzionális légtisztítók a hűvösről.

A ház e..."|https://ingatlan.com/34854273|305 m2||||||||||||||||||||4.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0|0|0|0|0|0|4.5|0.0|4.5|Jó lakónegyed|1.15
7|Törökbálint, Balassi Bálint utca||210 M Ft||120 m2|1 750 000 Ft / m2||2021||újszerű|gázkazán, padlófűtés, hűtő-fűtő klíma||udvari beálló - benne van az árban|maganszemely|22|"Magánszemélytől , Tükörhegyen, lakóparkban levő 11 lakasból álló sorházban kínálok, 2020-ban épült, de 2021. év májusban birtokba vett szélső, 2 szintes, 120 nm nagyságú sorhazunkat. alsó szinten hozzá tartozó 45 nm-es fedett terasz, emeleten 6 nm-es erkély.

A házhoz tartozik 260nm területű, teljesen elszeparált kert.
A kertben 6x3 m hőszivattyúval ellátott fűtött/hűtött medence kapott helyet.
A ház előtt 4 gépkocsi számára autóbeálló található.+ 3 szerszámos házikó.
Az ablakok szúnyoghálóval, elektromos redőnnyel felszereltek.
A házban padlófűtés biztositja a meleget A fürdőkben plusz patronos törölköző szárító talalható.
Alsó és felső szinten hűtő-fűtő klíma lett elhelyezve.
A házra 4,5 kw-os napelem került, mely éves szaldo elszámolású.

A ház 2 szintes. Az alsó szinten helyezkedik el ..."|https://ingatlan.com/34795620|260 m2||||||||||||||||||||9.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0|0|0|0|0|0|9.0|0.0|9.0|Jó lakónegyed|1.15
8|Törökbálint, Tükörhegy||199 M Ft||270 m2|737 037 Ft / m2||2001 és 2010 között|||gázkazán|||ingatlaniroda|17|"ELADÓ TÖRÖKBÁLINT ELEGÁNS KÖRNYÉKÉN egy igazán intim, átgondoltan megépített ,kitünő állapotú családi ház.

A Ház 3 *90 nm . a legalsó szinten akár vállalkozásra is alkalmas edző-terem található, külön bejárattal ,fogadó pulttal, egy hatalmas tornaterem tükrökkel -jóga, pilátesz stb tornákra igazán alkalmas, szauna ,öltöző, zuhanyző vizes helyiségekkel .

Még egy egyedi kis lakás is kialakításra került , akár kamaszgyereknek , szülőknek , illetve bérbe adható !!

Középső szinten nappali-étkező -konyha -dolgozószoba, zuhanyzó- található, minden helyiség ablakos -világos kertre néző ,a nappaliban működő kandaló , padlófűtés és radiátoros rendszer.
Fedett terasz -jacuzzival , mellette nyitott terasz , épített kemencével .

A harmadik szint a hálószobák és beépített gardrobok emelete.
Itt 4 db..."|https://ingatlan.com/31859459|270 m2||||||||||||||||||||0.0|4.0|0.0|3.8|0.0|0.0|0.0|0.0|0|1|0|1|0|0|0|0|7.8|0.0|7.8|Általános terület|1.0
9|Törökbálint, Szent Flórián utca||179,90 M Ft||140 m2|1 285 000 Ft / m2||2001 és 2010 között||felújított|gázkazán, hűtő-fűtő klíma||önálló garázs - benne van az árban|ingatlaniroda|29|"Törökbálint (Tükörhegy), Szent Flórián utcában eladó egy 140 m²-es, felújított, 4 szobás, kétszintes, kertes sorház saját garázzsal

ENGLISH DESCRIPTION BELOW

Kiváló elhelyezkedés, maximális kényelem, átgondolt műszaki megoldások, ez jellemzi ezt a 140 m²-es, kétszintes sorházi ingatlant Törökbálinton, saját 272 m²-es telekkel. A gondozott kertre néző, világos otthon tökéletes választás azoknak, akik családbarát, csendes környezetben keresnek kompromisszummentes életteret Budapest közvetlen vonzáskörzetében.

Az ingatlan teljes körű felújításon esett át nemrég, teljes mértékben prémium anyagokat használva.
A fűtésről és melegvízről egy 2021-ben beépített Immergas gázkazán gondoskodik (1 év általános és 3 év kiterjesztett garancia a hőcserélőre), emellett minden helyiségben hűtő-fűtő klíma..."|https://ingatlan.com/34816722|272 m2||||||||||||||||||||0.0|0.0|0.0|7.6|0.0|0.0|2.5|0.0|0|0|0|1|0|0|1|0|10.1|0.0|10.1|Prémium villa negyed|1.3
10|Törökbálint, Tükörhegy||259,90 M Ft||169 m2|1 537 869 Ft / m2||2025||új építésű|hőszivattyú||önálló garázs - benne van az árban|ingatlaniroda|15|"KASTÉLY LIGET LAKÓPARK / B ÉPÜLET

TÖRÖKBÁLINTON A KASTÉLY UTCÁBAN, 2 SZINTES, N+4 SZOBÁS, 157 NM-ES, ÚJ ÉPÍTÉSŰ IKERHÁZ ELADÓ 259,9 M FT-ÉRT.

A lakópark Tükörhegy legelőkelőbb részén, távol a forgalom zajától, már teljesen kiépült környezetben kerül kialakításra ez a luxus lakópark, magas műszaki tartalommal. 4 ház épül az 1640 m2-es kuriózumnak számító ősfás saroktelken, 2 különálló épületben.

Tervezésnél a legmagasabb minőségi követelményeknek való megfelelés és a privát szféra megtartása volt a vezető szempont.

A beruházó sok referenciával rendelkezik, mindegyik projektje tükrözi a minőséget és a gondos odafigyelést.

A ház előterétől balra található a rendkívül világos, kényelmes terekkel rendelkező, amerikai konyhás/étkezős nappali, melyhez kapcsolódik egy 23 nm-es terasz, azon tú..."|https://ingatlan.com/34746650|500 m2||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|0.0|0.0|0.0|0|0|0|1|0|0|0|0|3.8|0.0|3.8|Jó lakónegyed|1.15
