id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|enhanced_keruleti_resz|lokacio_konfidencia|lokacio_elemzesi_modszer|lokacio_forras|lokacio_elemzesek_szama|geo_latitude|geo_longitude|geo_address_from_api|varosresz_kategoria|varosresz_premium_szorzo
1|Érd, Érdliget||119 M Ft||133 m2|894 736 Ft / m2|5|2024||új építésű|gázkazán||udvari beálló|ingatlaniroda|17|"Érdliget szívében, a csendes és felkapott utcájában kínáljuk eladásra ezt az új építésű, modern lakóingatlant, amely ideális választás családosok számára.
Az ingatlan nettó lakóterülete 133 nm + 29 nm terasz + 18 nm erkély, + 1 fedett kocsibeálló, míg a telek mérete 500 nm, az árban benne van konyhabútor is.
Az öt tágas szobával és két fürdőszobával rendelkező otthon minden igényt kielégít.
Érdliget rendkívül kedvelt környék, ahol a természet közelsége és a városi élet előnyei egyaránt megtalálhatók. A környék csendes, biztonságos, ideális a gyermekek neveléséhez. A közeli játszóterek és zöld területek lehetőséget adnak a szabadban való aktív időtöltésre, míg a közeli iskolák és óvodák könnyen elérhetőek, így a családok számára minden fontos intézmény a közelben található. A közlekedési le..."|https://ingatlan.com/34850299|500 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Budapest általános|0.85|enhanced_4step|aggregated_from_1_sources|1|47.3884329|18.935069|Érd, Érdliget|Érd Erdliget - Prémium|1.2
2|Érd, Alsóvölgyi út||126 M Ft||126 m2|1 000 000 Ft / m2|4|2001 és 2010 között||jó állapotú|gázkazán||önálló garázs|ingatlaniroda|18|"Csendes utca gyér forgalommal, körbejárható családi ház, nagy terasz elöl és hátul is, nagy kert rengeteg fával és cserjével, privát élettérrel, külön épület az autóknak, irodának, rendelőnek.
Eladásra kínáljuk ezt az Érdligeti, 1.636 m2-es telken elhelyezkedő 126 m2-es francia stílusú családi házat, amely egy enyhén emelkedő, hosszú telek végére épült, kellemes távolságra az utcafronttól, így a külső szemlélők elől rejtve marad, köszönhetően a nagyszerű tájolásnak, a körbeölelő, eltakaró természetnek.

Bejárat az első nagy teraszról. Nagy középső tér a nappali-étkezőnek, közlekedőnek. Konyha és kamra, mosdó, mosókonyha, dolgozószoba az egyik oldalon, fürdő, két háló és közöttük nagy gardrób a másik oldalon. Kétoldalt is, középen is kijárat a kívülről sehonnan sem látható hátsó teraszra.
B..."|https://ingatlan.com/34739143|1636 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|0.0|0|0|0|0|0|1|0|0|3.2|0.0|3.2|Budapest általános|0.85|enhanced_4step|aggregated_from_2_sources|2|47.4041624|18.9236881|Érd, Alsóvölgyi út|Érd Erdliget - Prémium|1.2
3|Diósd, Ligetszépe út 23.||210 M Ft||180 m2|1 166 666 Ft / m2|5|2025||új építésű|hőszivattyú||önálló garázs|ingatlaniroda|11|"KÜLÖNLEGESSÉG: Egyedi tervezés, magas építészeti és kivitelezési minőség, nulla CO2-lábnyom. Az Év Háza 2024 díj esélyese.

Átadás igény szerint 2025 Q3-Q4.

Azonnal költözhető új építésű ház zöld környezetben, közel a szabadidős lehetőségekhez, szolgáltatásokhoz és közlekedési kapcsolatokhoz (M0, M1, M7, M6, busz, elővárosi vonat).

Az EQUINOX díjnyertes magyar tulajdonú nemzetközileg aktív mérnök-beruházó cég:
- BUILD Magazine: Best Multi-Disciplinary Sustainable Architecture & Design Practice 2025
- Panasonic Pro Awards fődíj: családi ház kategória 2025
- HUGBC: Zéró Karbon Díj 2024
- Fenntartható Épületburok díj 2024
- Év Háza Díj 2023
- Év Tetője Nívódíj 2023"|https://ingatlan.com/34924151|600 m2|A+++|||||||||||||||||||0.0|0.0|0.0|7.6|0.0|0.0|2.5|0.0|0|0|0|1|0|0|1|0|10.1|0.0|10.1|Budapest általános|0.85|enhanced_4step|aggregated_from_1_sources|1|47.3976862|18.9353|Diósd, Ligetszépe út 23.|Jó lakónegyed|1.15
4|Érd, Érdliget||93,90 M Ft||100 m2|939 000 Ft / m2|4|1981 és 2000 között||újszerű|hűtő-fűtő klíma, elektromos fűtőpanel||udvari beálló - benne van az árban|ingatlaniroda|17|"AZONNAL KÖLTÖZHETŐ!

MINŐSÉGI ANYAGOKKAL KIVITELEZETT, ALACSONY REZSIVEL FENNTARTHATÓ INGATLAN!

Érdliget csendes utcájában, frekventált környéken, a központhoz közel ELADÓ egy 100 m2-es (hasznos tér), belső két szintes, 3 szoba + nappalis, TELJESKÖRŰEN FELÚJÍTOTT IKERHÁZ fél, hozzátartozó 300m2-es telekkel!

Szép tágas, napfényes terek jellemzik, elosztása a következőképpen alakul:

földszinten: konyha, nappali, WC, terasz
emeleten: 3 szoba, fürdő, WC, erkély.

A ház teljeskörű felújításon esett át, mely magában foglalja a komplett tető (betoncserép)-, a víz-villany hálózat-, a nyílászárók (több rétegű műanyag)-, beltéri ajtók-, burkolatok-, szaniterek cseréjét, emellett a külső homlokzatra (30’ tégla) 15 cm dryvit-, a födémre 30 cm kőzetgyapot szigetelés került.

Ikerház lévén a kellő in..."|https://ingatlan.com/34866524|300 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|0.0|0|0|0|0|0|0|1|0|2.5|0.0|2.5|Budapest általános|0.85|enhanced_4step|aggregated_from_1_sources|1|47.3884329|18.935069|Érd, Érdliget|Érd Erdliget - Prémium|1.2
5|Diósd, Pest megye||165,90 M Ft||150 m2|1 106 000 Ft / m2|5|2025||új építésű|hőszivattyú, padlófűtés||önálló garázs - benne van az árban|ingatlaniroda|5|"DIÓSD KERTVÁROSI RÉSZÉN ELADÓ GARÁZZSAL ÉRINTKEZŐ IKERHÁZ !

NAPPALI + 4 SZOBA, 2 FÜRDŐSZOBA, ÖNÁLLÓ GARÁZS, TÁGAS TERASZOK, SAJÁT KERT, GARANCIÁLIS!

Az ikerház 1.285nm-es telken épül szép zöld környezetben.

Átadás 2025. október.

A házak belső kétszintesek, kényelmes elosztásúak, optimális tájolásúak, melynek köszönhetően a terek napfényesek, világosak.
A házakban tágas nappali-étkező-konyha, 4 szoba, 2 fürdőszoba, gardróbhelyiség és külön mosókonyha található. A parkolást lakásonként 1 gépkocsitároló + 1 felszíni beálló biztosítja.

A házak kizárólag a garázsoknál csatlakoznak, az emeleti szinten nincs közös fal, mivel a lakások nem érnek össze.
A földszinti teraszon felül az emeleten is található egy tágas, félig fedett tetőterasz.
Mindkét lakás alapító okiratban jegyzett kizárólagos ..."|https://ingatlan.com/34833195|1285 m2||||||||||||||||||||0.0|4.0|0.0|0.0|0.0|0.0|0.0|0.0|0|1|0|0|0|0|0|0|4.0|0.0|4.0|Budapest általános|0.85|enhanced_4step|aggregated_from_1_sources|1|47.4082916|18.9434797|Diósd, Pest megye|Budapest általános|1.0
6|Diósd, Bajuszfű utca||199 M Ft||200 m2|995 000 Ft / m2|5 + 1 fél|2025||új építésű|hőszivattyú, padlófűtés, fan-coil||udvari beálló - benne van az árban|maganszemely|17|"Érd és Diósd határán, Diósdliget ősfás részén eladó egy új építésű, örökpanorámás, nagyon alacsony energiaigényű családi ház, közvetlenül a beruházótól. Két külön albetéten rögzített ingatlan.

A két családiházas beruházásból az egyik értékesítésre került.

A ház szabadon álló családi házas övezetben található, nem új sorházas beépítés.

A családi házak kivitelezésénél elsőszámú szempont volt a modern energia igényeknek való megfelelés és az egyedi panorámás telek legjobb kihasználása.

A fejlesztés keretein belül 2 darab jogilag és műszakilag is önálló, közös fallal nem rendelkező, nappali + 4, illetve 5 hálószobás ingatlant építünk minden igényt kielégítő minőségben és műszaki felszereltséggel.

A házak tervezésénél és kivitelezésekor a panorámás telek adta lehetőségek maximális kihaszná..."|https://ingatlan.com/34420678|500 m2|A+|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|9.600000000000001|0.0|0.0|0|0|0|0|0|1|0|0|9.6|0.0|9.6|Budapest általános|0.85|enhanced_4step|aggregated_from_2_sources|2|47.4092085|18.923704|Diósd, Bajuszfű utca|Érd Erdliget - Prémium|1.2
7|Diósd, Mandula utca||219 M Ft||206 m2|1 063 106 Ft / m2|4|2001 és 2010 között||újszerű|hőszivattyú, cserépkályha, mennyezeti hűtés-fűtés||önálló garázs - benne van az árban|maganszemely|22|"A gyerekek iskolája miatt eladóvá vált szeretett házunk, mely oly sok éven át, oly sok boldogsággal és gyönyörű élményekkel ajándékozta meg családunkat.
A ház Diósdon az Amerikai Iskolától 5 perc sétára, egy zsákutca végén, nyeles telken, nyugodt, békés környezetben áll. Itt madárcsicsergésre tudunk ébredni, süni mászkál az utcán, cicák vadásznak a kertekben. Gyereknevelésre ideális környezet, a szomszédoknál több különböző korú gyerek is van.
Az M0-ás még a Diósdon szokásosnál is könnyebben, a lámpás kereszteződés elkerülésével megközelíthető.
Budapestre a bejutás több, mint 5 alternatív útvonalon lehetséges! Ebből a szempontból páratlan elhelyezkedéssel rendelkezik.

A házat 2003-ban építettük, az épület külső falai 40 centi vastag Ytongból épültek, erre jött még rá 16 centi hungarocell ..."|https://ingatlan.com/33307512|206 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|-2.0|0|0|0|0|0|1|0|1|3.2|2.0|1.2|Budapest általános|0.85|enhanced_4step|aggregated_from_1_sources|1|47.4082916|18.9434797|Diósd, Mandula utca|Budapest külső kerület|0.95
8|Diósd, Diósdliget||194,50 M Ft||260 m2|748 076 Ft / m2|8|||jó állapotú|gázkazán, hűtő-fűtő klíma, padlófűtés||teremgarázs hely - benne van az árban|ingatlaniroda|30|"Egy igazi zöld oázis Diósdliget csendes részén!
Eladó egy saját részre épített, háromszintes, önálló családi ház 722 nm-es telken, intim kerttel!

Diósdliget - nyugodt, mégis kiválóan megközelíthető városrész
15 perc alatt elérhető Budapest XI., XXII. kerülete, Budaörs
Az M0, M1, M6, M7 autópályák, valamint a 7-es főút közelében

Az ingatlanról röviden:
- 3 szint, számított alapterület: 260 nm
- Telekterület: 722 nm
- Nem ikerház, nem sorház - teljesen önálló családi ház
- Építés éve: 2001 vége, részleges felújítás: 2016, 2021

A ház:
- Közvetlen bejáratú dupla garázs
- Tágas terasz, kertkapcsolattal
- Nagyméretű nappali - emeleten és a földszinten is
- 4 külön nyíló hálószoba
- Gardróbszoba
- Fürdőszoba káddal és zuhanyzóval
- Külön WC
- Több erkély, kilátással a kertre
- Pince/ szuterén ..."|https://ingatlan.com/34893864|260 m2||||||||||||||||||||0.0|0.0|0.0|0.0|2.8|0.0|0.0|-2.0|0|0|0|0|1|0|0|1|2.8|2.0|0.8|Budapest általános|0.85|enhanced_4step|aggregated_from_2_sources|2|47.41388269999999|18.9352531|Diósd, Diósdliget|Budaörs Törökbálint határ|1.2
9|Diósd, Diósdliget||165 M Ft||165 m2|1 000 000 Ft / m2|4|2001 és 2010 között||jó állapotú|gázkazán, hűtő-fűtő klíma, kandalló||önálló garázs - benne van az árban|ingatlaniroda|20|"Hivatkozzon erre, kód: 4936TSZ

ÁRZUHANÁS! 169.9mFt helyett 165mFt!

- NAGY CSALÁDOSOKNAK VAGY 2 GENERÁCIÓNAK

- ÖNÁLLÓ HÁZ

- 2 NAPPALI, 2 SZOBA, 2 FÜRDŐSZOBA, DUPLA GARÁZS, NAGY FEDETT TERASZOK

- HŰTŐ-FŰTŐ KLÍMA, KANDALLÓ

Diósdliget alsó részén csendes, családi házas övezetben 915nm-es telken 2 lakásos, összesen 165nm-es, 2 nappalis, 2 szobás, dupla komfortos önálló családi ház 2 gk-s garázzsal, nagy fedett terasszal eladó.

A két lakás akár egybenyitva is használható!

Az ingatlan felosztása a következő:

Első lakásrész - utcafronti: dupla garázs (34nm), előtér (2.2nm), háztartási helyiség (3.4nm), kamra (1.7nm), konyha (8nm) – étkező – nappali (35.9nm), közlekedő (4nm), fürdőszoba + wc (8.8nm), szoba (11.2nm), fedett terasz.

Hátsó lakásrész: előtér – nappali - konyha(28nm), fürdőszo..."|https://ingatlan.com/34717689|915 m2||||||||||||||||||||0.0|0.0|0.0|0.0|5.6|0.0|0.0|0.0|0|0|0|0|1|0|0|0|5.6|0.0|5.6|Budapest általános|0.85|enhanced_4step|aggregated_from_2_sources|2|47.41388269999999|18.9352531|Diósd, Diósdliget|Prémium villa negyed|1.3
10|Diósd, Szent László utca||315 M Ft||272 m2|1 158 088 Ft / m2|5|2025||újszerű|hőszivattyú, padlófűtés, fan-coil||udvari beálló - benne van az árban|maganszemely|9|"A modern vonalvezetésű, letisztult családi ház kétszintes kialakítással valósul meg, harmonikusan illeszkedve a természetes környezetbe. Az utcafront felől burkolt gépkocsibeálló és VIASTEIN térköves sétány vezet az elegáns, előtetővel védett főbejárathoz. A látványos homlokzati üvegfelületek nemcsak karaktert adnak az épületnek, de a belső tereket is természetes fénnyel árasztják el.
A földszinten átgondolt térkapcsolatok dominálnak: az előtérből közvetlenül elérhető a vendégmosdó, valamint egy különálló vendégszoba, saját fürdőhelyiséggel. A központi részben helyezkedik el a tágas, egy légtérben kialakított nappali–étkező–konyha, amely a hatalmas üvegfelületeknek és a kertre nyíló kilátásnak köszönhetően igazán élhető, világos életteret kínál. A nappaliból közvetlen kijárat nyílik a fede..."|https://ingatlan.com/34821664|272 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XXI. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.4107539|19.0763075|Diósd, Szent László utca|Prémium villa negyed|1.3
