id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|enhanced_keruleti_resz|lokacio_konfidencia|lokacio_elemzesi_modszer|lokacio_forras|lokacio_elemzesek_szama|geo_latitude|geo_longitude|geo_address_from_api|varosresz_kategoria|varosresz_premium_szorzo
1|Budapest XI. kerület, Madárhegy||299 M Ft||155 m2|1 929 032 Ft / m2|4|2024||újszerű|hőszivattyú, hűtő-fűtő klíma, padlófűtés||önálló garázs - kötelező megvenni|ingatlaniroda|27|"KÜLÖNLEGES LEHETŐSÉG! - XI. Madárhegyen, ÚJSZERŰ állapotú, gyakorlatilag NULLA rezsivel használható, nappali + 3 hálószobás, ikerház jellegű ingatlan, garázzsal, gk. beállóval, akár teljes bútorzattal együtt eladó!

A XI. Madárhegy egyik magaslatán, csendes mellékutcában, lenyűgöző panorámával a Széchenyi-hegyre és a Hosszúréti domboldalra, valamint a Gazdagréti Szent Angyalok templomára kínálunk eladásra egy VADONATÚJ ÁLLAPOTÚ, kivételes adottságú ikerház jellegű ingatlant.

A 386 négyzetméteres, kizárólagos használatú telekhez tartozó, 155 négyzetméter számított alapterületű ingatlan, nappali plusz három hálószobás elrendezésű, két teljes értékű lakószinttel, valamint egy kiszolgáló szinttel.

Az átgondolt belső elrendezésnek köszönhetően a mindennapi élet kényelmes és praktikus, a nappa..."|https://ingatlan.com/34921205|386 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XI. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.46811719999999|18.9873738|Budapest XI. kerület, Madárhegy|Budapest prémium kerület|1.3
2|Budapest XI. kerület, Sasad||569 M Ft||345 m2|1 649 275 Ft / m2|7|2001 és 2010 között||felújított|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|28|"Eladó elegáns családi ház Sasad csendes részén, alacsony rezsivel és nagy medencével



Budapest egyik legkeresettebb zöldövezeti részén, Sasadon kínálunk eladásra egy bruttó 345 m²-es, luxus kivitelezésű családi házat. A 1031 m²-es, gondozott kertben egy nagyméretű úszómedence és egy 60 m²-es terasz is helyet kapott, így a nyári hónapokban tökéletes kikapcsolódási lehetőséget nyújt.

Elhelyezkedés és megközelítés A ház lokációja kiváló: autóval gyorsan elérhető az M1/M7 autópálya és a belváros is, ugyanakkor tömegközlekedéssel is könnyen megközelíthető, hiszen busz- és villamosmegálló rövid sétatávolságra található. A környék kimondottan csendes, családi házas övezet, amely garantálja a nyugalmat, ugyanakkor az infrastruktúra kiváló: közelben bevásárlási lehetőségek, iskolák és egyéb szol..."|https://ingatlan.com/34587989|345 m2||||||||||||||||||||0.0|4.0|0.0|3.8|0.0|3.2|0.0|0.0|0|1|0|1|0|1|0|0|11.0|0.0|11.0|XI. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.4735156|19.0077598|Budapest XI. kerület, Sasad|Budapest prémium kerület|1.3
3|Budapest XI. kerület, Kenese utca||390 M Ft||275 m2|1 418 181 Ft / m2|3 + 1 fél|1950 előtt||felújított|gázkazán||udvari beálló|ingatlaniroda|22|"XI. kerület Szentimre városrészben a Kenese utcában, 322m2 telken felújított családi ház eladó amely a VI-2-11-08 övezetbe tartozik.
A telken található egy jó állapotú családi ház,mely bővíthető vagy bontható.
Társasház is építhető.A lakásszám nincs korlátozva
A családi ház mérete 275m2 mely a következő szintekből áll:alagsor 74m2 +földszint 112m2+ tetőtér 89m2 ami jelenleg raktárként funkcionál
Beépítési százalék 60%, terepszint alatt 75%,általános szintterületi mutató 2,75 , parkoló rendeltetés szintterületi mutató 1,35 ,minimális építménymagasság 6m, maximális építménymagasság 15m,zöldfelület megengedett legkisebb mértéke 25%

Lakó, oktatási ,egészségügyi ,szociális,iroda,szálláshely ,kereskedelmi, kultúrális, hitéleti funkció egyaránt kialakítható.
ingatlan beszámítása elképzelhető
Ing..."|https://ingatlan.com/34735495|275 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XI. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.4780384|19.0326806|Budapest XI. kerület, Kenese utca|Budapest prémium kerület|1.3
4|Budapest XI. kerület, Beléndek utca 11.||399 M Ft||197 m2|2 025 380 Ft / m2|4 + 1 fél|2024||új építésű|hőszivattyú, mennyezeti hűtés-fűtés, padlófűtés||önálló garázs - kötelező megvenni|maganszemely|22|"EXKLUZÍV, PRÉMIUM MINŐSÉGŰ IKERHÁZ ELADÓ BUDAPEST XI. KERÜLET, MADÁRHEGYEN TULAJDONOSTÓL!

ÁTADÁS: 2025. IV. né.

Budapest egyik legkedveltebb részén, MADÁRHEGYEN, a BELÉNDEK UTCÁBAN kínálunk eladásra egy ÚJ ÉPÍTÉSŰ, MODERN IKERHÁZAT.

A PRÉMIUM ANYAGHASZNÁLATNAK, ÁTGONDOLT TERVEZÉSNEK és a LEGKORSZERŰBB MŰSZAKI MEGOLDÁSOKNAK köszönhetően ez az otthon a KÉNYELMET, A FENNTARTHATÓSÁGOT és AZ ELEGANCIÁT ötvözi.

TÁGAS, ÁTGONDOLT BELSŐ TÉR

A FÖLDSZINTEN található:
✔ KÉTÁLLÁSOS GARÁZS közvetlen kapcsolattal a lakótérhez, ára 20M Ft.
✔ TÁGAS ELŐSZOBA praktikus tárolási lehetőségekkel,
✔ 47 M²-ES NAPPALI-ÉTKEZŐ-KONYHA, hatalmas üvegfelületekkel és kertkapcsolattal.

AZ EMELETRE érkezve egy világos KÖZLEKEDŐ fogad, ahonnan a szülői lakrész és a többi hálószoba nyílik:

✔ SZÜLŐI LAKOSZTÁLY:
KÜLÖNÁ..."|https://ingatlan.com/34566743|550 m2||||||||||||||||||||0.0|0.0|0.0|11.399999999999999|0.0|0.0|0.0|0.0|0|0|0|1|0|0|0|0|11.4|0.0|11.4|XI. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.4638359|18.9893688|Budapest XI. kerület, Beléndek utca 11.|Budapest prémium kerület|1.3
5|Budapest XI. kerület, Kiskőrös utca||290 M Ft||220 m2|1 318 181 Ft / m2|6 + 1 fél|1950 és 1980 között||jó állapotú|gázkazán||teremgarázs hely - benne van az árban|maganszemely|5|"Budapest, XI kerület, Albertfalva, Kiskőrös utca

Eladó családi ház Budapest XI. kerületében, a nyugodt Kiskőrös utcában!

Csendes, családi házas övezetben kínáljuk eladásra ezt a különleges, saroktelken fekvő ingatlant, mely többgenerációs együttélésre vagy befektetésnek is ideális.

Telek mérete: 560 m²
Összes lakóterület: kb. 223 m²
Épület jellemzői:
• 4 tágas szoba (22,5 m² | 27,5 m² | 22,5 m² | 16 m²)
• Világos, egy légterű nappali + konyha (50 m²)
• Tégla szerkezet, 3 méteres belmagasság
• Terasz a konyhából megközelítve
• Száraz pince (14 m²)
• Alsó szint önálló lakrészként működik: saját bejárat, konyha, fürdő, hálószoba – jelenleg bérbe adva
• Hátsó pince (8 m²) gázkazánnal + vadonatúj villanybojler
• Garázs + 2 kocsibeálló – saroktelek miatt két elektromos kapu biztosít kényelmes..."|https://ingatlan.com/34929311|220 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XI. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.4496824|19.0341749|Budapest XI. kerület, Kiskőrös utca|Budapest prémium kerület|1.3
6|Budapest XI. kerület, Söjtör utca||254 M Ft||105 m2|2 419 047 Ft / m2|4|2023||újszerű|padlófűtés, mennyezeti hűtés-fűtés||teremgarázs hely|maganszemely|23|"2023-ban épült 6 házas, kétemeletes, jó beosztású, egyik szobából a törökbálinti hegyekre panorámás ikerházfél eladó, zsákutcában, nyugodt, zöldövezetben. Legkorszerűbb mennyezeti hűtés-fűtés, padlófűtés. Prémium bútorokkal, világítótestekkel, szaniterekkel, lakberendező segítségével berendezett ház. Pár perc gyaloglásra a tömegközlekesédtől (40, 140, 240-es buszok).

A házhoz tartozik saját tároló, valamint saját két teremgarázshely, elektromos autó töltővel.

Teremgarázshely ára: 6 millió Ft / db.
Tároló ára 3 millió Ft, a lakás árán felül, amelyek kötelezően az adásvétel tárgyát képezik.

INGATLANKÖZVETÍTŐK NE KERESSENEK!!!"|https://ingatlan.com/34917566|254 m2||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|6.4|0.0|-2.0|0|0|0|1|0|1|0|1|10.2|2.0|8.2|XI. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.4644085|18.9950147|Budapest XI. kerület, Söjtör utca|Törökbálint-Tükörhegy|1.2
7|Budapest XI. kerület, Madárhegy||435 M Ft||180 m2|2 416 666 Ft / m2|5|2019||újszerű|gázkazán, hűtő-fűtő klíma||önálló garázs - benne van az árban|ingatlaniroda|28|"Minimál luxus Madárhegyen saját medencével, jakuzzival, dupla garázzsal

Ez a háromszintes minimál ikerházfél a XI. kerület egyik legszebb részén, Madárhegyen kínálja azt az életminőséget, amit a tudatos vásárlók keresnek de ritkán találnak meg.

180 m² lakótér, 4 hálószoba, 3 fürdőszoba, fűthető medence, jacuzzi, dupla garázs de ennél sokkal többről van szó.
Az otthon minden eleme tudatosan van megkomponálva: lebegő acél lépcső, gránit konyhasziget, design világítás, smart home rendszer, elektromos zsalúziák, hangszórók beépítve.

A terasz és a nappali szinte egybeolvad, a fűthető medence, a gondozott kert és a jakuzzi azonnal átváltják a hétköznapot pihenéssé.
A konyha a márkás gépekkel és 240×140-es gránitszigetével nemcsak látványos, hanem praktikus is reggelik, borozós esték, gyerekzs..."|https://ingatlan.com/34886322|466 m2||||||||||||||||||||0.0|8.0|3.5|11.399999999999999|2.8|0.0|0.0|0.0|0|1|1|1|1|0|0|0|25.7|0.0|25.7|XI. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.46811719999999|18.9873738|Budapest XI. kerület, Madárhegy|Budapest prémium kerület|1.3
8|Budapest XI. kerület, Botfalu utca||289,90 M Ft||240 m2|1 207 916 Ft / m2|8|1950 és 1980 között||jó állapotú|gázkazán, hűtő-fűtő klíma||udvari beálló - benne van az árban|ingatlaniroda|30|"Kétlakásos családi ház Sasad csendes részén, 760 m²-es telken eladó!

Sasad egyik legnyugodtabb, átmenő forgalomtól mentes utcájában, a Botfalu utcában kínálunk megvételre egy kivételes lehetőséget: egy 760 m²-es telken fekvő, kétlakásos családi házat, összesen 240 m² hasznos lakótérrel, plusz 60 m²-es, jelenleg kialakítatlan félszuterén (inkább földszintnek érződik) résszel. Az ingatlanhoz udvari beálló és egy felújítandó vagy bontandó önálló garázs is tartozik.

Az épület jelenleg két különálló, egyenként 120 m²-es lakásból áll. Emellett a kert felől külön bejárattal rendelkező, még ki nem alakított - hivatalosan félszuterén, de érzetre inkább földszinti - rész is rendelkezésre áll, amely akár egy harmadik lakássá is átalakítható. Jelenleg tárolóként funkcionál.

* Rugalmasság a kialakít..."|https://ingatlan.com/34868853|240 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|0|0|0|0|0|0|0|1|0.0|2.0|-2.0|XI. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.4755944|19.0060666|Budapest XI. kerület, Botfalu utca|Budapest prémium kerület|1.3
9|Budapest XI. kerület, Kelenföld||389 M Ft||307 m2|1 267 100 Ft / m2|7|1981 és 2000 között||jó állapotú|gázkazán||önálló garázs - benne van az árban|ingatlaniroda|30|"Új tulajdonosát keresi egy 456m2-es telken elhelyezkedő, 4 szintes, két generációs, jó állapotú családi ház a XI. kerület kedvelt részén, csendes mellékutcában.
Nagyon kedvelt környéken, különleges, ízléses dizájnnal rendelkező, jó minőségű épület. Ha ilyet keres ezt feltétlenül nézze meg!

KÖRNYÉK és KÖZLEKEDÉS:

- Buda, XI. kerület, Kelenföld központja, csendes kertvárosi lakókörnyezet.
- Kiváló infrastruktúrával és közlekedéssel rendelkező környék.
- A lakástól 10 perces körön belül elérhető Újbuda központ, Móricz Zsigmond körtér, a Kopaszi-gát.
- Bevásárlási lehetőségként Tesco, Spár 150 méterre, az Újbudai Vásárcsarnok és az Allee bevásárlóközpont 10 perces séta.
- 3 perces sétatávolság a 17, 19, 41, 47, 48, 56-os villamos járatok megállója és 650 méter az M4-es metró.
- Pár perc alat..."|https://ingatlan.com/34448492|307 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|-8.0|0|0|0|0|0|0|0|1|0.0|8.0|-8.0|XI. kerület|0.85|enhanced_4step|aggregated_from_2_sources|2|47.463643|19.0335531|Budapest XI. kerület, Kelenföld|Budapest prémium kerület|1.3
10|Budapest XI. kerület, Villányi út 93.||399 M Ft||247 m2|1 615 384 Ft / m2|4|1950 előtt||jó állapotú|gázkazán||önálló garázs|maganszemely|19|"Kertes villaépület, mely a múlt század elején épült. 10 évvel ezelőtt komplett belső felújításon esett át, teljes közmű-, és elektromos hálózati vezetékcserékkel. A tetőtér beépítésére nettó 100 nm - már nem érvényes- építési tervdokumentációval rendelkezik. Jelenleg közösségi szálláshelyként, Hostelként lett kialakítva és működtetve.

FIGYELEM, felmérést követően az összes nm adat 247 nm-re módosult + 31 nm különálló garázs !

Elhelyezkedése alapján nem csak családi otthonnak, de vállalkozásoknak is alkalmas lehet pl. szálláshely, orvosi- vagy cégközpont, magán ovóda, családi napközi kialakítására

Ingatlanközvetítők kérem ne hívjanak! Köszönöm"|https://ingatlan.com/32118105|247 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|XI. kerület|0.85|enhanced_4step|aggregated_from_1_sources|1|47.4836932|19.0287876|Budapest XI. kerület, Villányi út 93.|Budapest prémium kerület|1.3
