id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|varosresz_kategoria|varosresz_premium_szorzo
1|Budapest XIV. kerület, Angol utca 32.||129,99 M Ft||77 m2|1 361 151 Ft / m2||2026|6|új építésű|mennyezeti hűtés-fűtés|37 m2|teremgarázs hely - megvásárolható|ingatlaniroda|12|"Az Albion32, Zugló legújabb 160 lakásos lakóparkja az Angol utcában épül. A 14. kerület centrumhoz közel eső részén kevés a modern, újépítésű és kiváló energetikával rendelkező új lakás, így joggal nevezhetjük a beruházást hiánypótlónak. Az elegáns utcai homlokzat parkosított, csendes belső kertet rejt, ahol nem csak a pihenésre, de a közösségi BBQ-nak köszönhetően a szabadidő tartalmas eltöltésére is lehetőség kínálkozik.
Az épület kiváló energetikai adottságait a megújulóenergia felhasználás mellett a modern mennyezeti hűtő- fűtő rendszernek, a hőhídmentes szigetelésnek és az 5 kamrás nyílászáróknak köszönheti. A lakások várhatóan A+ kategóriájú energetikai besorolást kapnak, így a kényelem mellett a rendkívül kedvező rezsiköltségek is biztosítottak."|https://ingatlan.com/33580613|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|-2.0|0|0|0|0|0|0|1|1|2.5|2.0|0.5|Jó lakónegyed|1.15
2|Budapest XIV. kerület, Angol utca 32.||127,98 M Ft||80 m2|1 282 236 Ft / m2||2026|földszint|új építésű|mennyezeti hűtés-fűtés|39.62 m2|teremgarázs hely - megvásárolható|ingatlaniroda|12|"Az Albion32, Zugló legújabb 160 lakásos lakóparkja az Angol utcában épül. A 14. kerület centrumhoz közel eső részén kevés a modern, újépítésű és kiváló energetikával rendelkező új lakás, így joggal nevezhetjük a beruházást hiánypótlónak. Az elegáns utcai homlokzat parkosított, csendes belső kertet rejt, ahol nem csak a pihenésre, de a közösségi BBQ-nak köszönhetően a szabadidő tartalmas eltöltésére is lehetőség kínálkozik.
Az épület kiváló energetikai adottságait a megújulóenergia felhasználás mellett a modern mennyezeti hűtő- fűtő rendszernek, a hőhídmentes szigetelésnek és az 5 kamrás nyílászáróknak köszönheti. A lakások várhatóan A+ kategóriájú energetikai besorolást kapnak, így a kényelem mellett a rendkívül kedvező rezsiköltségek is biztosítottak."|https://ingatlan.com/33574460|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|-2.0|0|0|0|0|0|0|1|1|2.5|2.0|0.5|Jó lakónegyed|1.15
3|Budapest XIV. kerület, Angol utca 32.||83,99 M Ft||51 m2|1 646 862 Ft / m2||2026|3|új építésű|mennyezeti hűtés-fűtés||teremgarázs hely - megvásárolható|ingatlaniroda|12|"Az Albion32, Zugló legújabb 160 lakásos lakóparkja az Angol utcában épül. A 14. kerület centrumhoz közel eső részén kevés a modern, újépítésű és kiváló energetikával rendelkező új lakás, így joggal nevezhetjük a beruházást hiánypótlónak. Az elegáns utcai homlokzat parkosított, csendes belső kertet rejt, ahol nem csak a pihenésre, de a közösségi BBQ-nak köszönhetően a szabadidő tartalmas eltöltésére is lehetőség kínálkozik.
Az épület kiváló energetikai adottságait a megújulóenergia felhasználás mellett a modern mennyezeti hűtő- fűtő rendszernek, a hőhídmentes szigetelésnek és az 5 kamrás nyílászáróknak köszönheti. A lakások várhatóan A+ kategóriájú energetikai besorolást kapnak, így a kényelem mellett a rendkívül kedvező rezsiköltségek is biztosítottak."|https://ingatlan.com/33578800|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|-2.0|0|0|0|0|0|0|1|1|2.5|2.0|0.5|Jó lakónegyed|1.15
4|Budapest XIV. kerület, Angol utca 32.||112 M Ft||64 m2|1 283 373 Ft / m2||2026|1|új építésű|mennyezeti hűtés-fűtés|46.54 m2|teremgarázs hely - megvásárolható|ingatlaniroda|12|"Az Albion32, Zugló legújabb 160 lakásos lakóparkja az Angol utcában épül. A 14. kerület centrumhoz közel eső részén kevés a modern, újépítésű és kiváló energetikával rendelkező új lakás, így joggal nevezhetjük a beruházást hiánypótlónak. Az elegáns utcai homlokzat parkosított, csendes belső kertet rejt, ahol nem csak a pihenésre, de a közösségi BBQ-nak köszönhetően a szabadidő tartalmas eltöltésére is lehetőség kínálkozik.
Az épület kiváló energetikai adottságait a megújulóenergia felhasználás mellett a modern mennyezeti hűtő- fűtő rendszernek, a hőhídmentes szigetelésnek és az 5 kamrás nyílászáróknak köszönheti. A lakások várhatóan A+ kategóriájú energetikai besorolást kapnak, így a kényelem mellett a rendkívül kedvező rezsiköltségek is biztosítottak."|https://ingatlan.com/33574493||A+|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|-2.0|0|0|0|0|0|0|1|1|2.5|2.0|0.5|Jó lakónegyed|1.15
5|Budapest XIV. kerület, Ilosvai Selymes utca||320 M Ft||200 m2|1 422 222 Ft / m2||2001 és 2010 között|földszint|újszerű|házközponti egyedi méréssel, gázkazán|50 m2|teremgarázs hely - megvásárolható|maganszemely|12|"Zuglói, mediterrán lakóparkban zöldövezeti, földszinti 200 m2-es lakás 50 m2 terasszal és 200 m2 ápolt kerttel eladó vagy bérbeadó.
5 szoba, amerikai konyha, étkező, előszoba, 2 fürdőszoba, mosókonyha, saját kertrész, terasz.
Teremgarázsban 3 parkolóhely vásárolható
Extrák: Honeywell fűtésvezérlés, LED világítás, Toshiba inverteres légkondiciónálás helyiségenként, motorosan vezérelt alumínium redőnyök, dupla fürdőszoba, egyedi mérésű fűtés és víz, padló és radiátoros fűtés, riasztóberendezés távfelügyelettel, kamerák, egyedi konyha siemens gépekkel, beépített szekrények, kerti locsolórendszer, elektromos napellenzők, elektromos autótöltő, közösségi konditerem szaunával, lift. Az ingatlan akadálymentesített kialakítású.
Kiváló tömegközlekedés.

Ingatlan közvetítők kérem, hogy ne keressenek!..."|https://ingatlan.com/34587724|||||||||||||||||||||4.5|4.0|0.0|3.8|0.0|3.2|0.0|0.0|1|1|0|1|0|1|0|0|15.5|0.0|15.5|Jó lakónegyed|1.15
6|Budapest XIV. kerület, Bosnyák utca 48-50.||199 M Ft||123 m2|1 439 421 Ft / m2||2024|8|új építésű|hőszivattyú, mennyezeti hűtés-fűtés|30.5 m2|teremgarázs hely - megvásárolható|ingatlaniroda|21|"XIV. Bosnyák 48-50. szám alatti 2024-ben átadott Zenit Residence by Bayer projekt utolsó új építésű lakása eladó. A lakás a legfelső (8. emelet) szinten található, nettó 123 nm alapterületű, amerikai konyhás nappali + 3 hálószoba kialakítású. A lakáshoz egy 25,69 nm és egy 4,84 nm területű loggia tartozik.
Az ingatlan három irányba tájolt, aminek köszönhetően világos, napos, a nagyobb alapterületű loggia DK-i tájolású.
Az épületben a fűtést-hűtést és a meleg víz ellátását jelenleg Daikin hőszivattyúk biztosítják, a következő fűtési szezonban a társasház áttér a geotermikus energiaellátásra, ami még kedvezőbbé teszi a rezsiköltséget.
A lakások mennyezeti hűtés-fűtéssel rendelkeznek, amit szobánként külön-külön lehet szabályozni digitális termosztáttal, a nyílászárók elektromos alumínium red..."|https://ingatlan.com/34760725||A++|||||||||||||||||||9.0|0.0|0.0|0.0|0.0|0.0|0.0|-2.0|1|0|0|0|0|0|0|1|9.0|2.0|7.0|Jó lakónegyed|1.15
7|Budapest XIV. kerület, Telepes utca 82-84-86||115,50 M Ft||61 m2|1 893 442 Ft / m2|1 + 2 fél|2027|4|új építésű|fan-coil, hőszivattyú||teremgarázs hely - megvásárolható|ingatlaniroda|5|"Kedvezményes 10-90% fizetési ütemezés


Krisztina Kert – Kertvárosi nyugalom, városi kényelemmel ötvözve
A Krisztina Kert egy 104 lakásos, négy épülettömbből álló modern társasház, amely -1 szint + földszint + 4 emelet kialakítással, harmonikusan illeszkedik Zugló kertvárosi környezetébe. A projekt célja, hogy a természetközeli életérzést ötvözze a városi infrastruktúra előnyeivel, ideális otthont kínálva családoknak, pároknak és befektetőknek egyaránt.
Az -1 szinten kapnak helyet a kényelmes gépkocsi beállók, valamint az itt található, külön megvásárolható tárolóhelyiségek. A mélygarázs közvetlenül a Telepes utca felől, egy rámpán keresztül megközelíthető, automata garázskapun át.
Az 1–3. emeleteken jól átgondolt, funkcionális elrendezésű lakások találhatók, minimális variációkkal, míg a ..."|https://ingatlan.com/34864223||A+|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Jó lakónegyed|1.15
8|Budapest XIV. kerület, Telepes utca 82-84-86||83 M Ft||52 m2|1 596 153 Ft / m2|1 + 2 fél|2027|földszint|új építésű|fan-coil, hőszivattyú||teremgarázs hely - megvásárolható|ingatlaniroda|7|"Krisztina Kert – Kertvárosi nyugalom, városi kényelemmel ötvözve
A Krisztina Kert egy 104 lakásos, négy épülettömbből álló modern társasház, amely -1 szint + földszint + 4 emelet kialakítással, harmonikusan illeszkedik Zugló kertvárosi környezetébe. A projekt célja, hogy a természetközeli életérzést ötvözze a városi infrastruktúra előnyeivel, ideális otthont kínálva családoknak, pároknak és befektetőknek egyaránt.
Az -1 szinten kapnak helyet a kényelmes gépkocsi beállók, valamint az itt található, külön megvásárolható tárolóhelyiségek. A mélygarázs közvetlenül a Telepes utca felől, egy rámpán keresztül megközelíthető, automata garázskapun át.
Az 1–3. emeleteken jól átgondolt, funkcionális elrendezésű lakások találhatók, minimális variációkkal, míg a 4. emeleten egyedi alaprajzú és változat..."|https://ingatlan.com/34784099||A+|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Jó lakónegyed|1.15
9|Budapest XIV. kerület, Gyarmat utca||149,90 M Ft||83 m2|1 611 827 Ft / m2|2 + 2 fél|2017|földszint|újszerű|gázkazán, padlófűtés|20 m2|teremgarázs hely - megvásárolható|ingatlaniroda|30|"XIV. kerületben, ALSÓRÁKOSON, a BOSNYÁK TÉR közelében, a RÁKOS-PATAK mellett, nyugodt, kertvárosi részen, a Gyarmat utcában, egy 2017-es, ÚJ ÉPÍTÉSŰ, 10 lakásos, kertes lakópark egyik kétemeletes, zárt lépcsőházas, rendezett téglaépületének földszintjén eladó egy 83+20 nm-es (83 nm lakótér + 20 nm terasz), 2 + 2 FÉL SZOBÁS, KERTKAPCSOLATOS, TERASZOS, FRANCIAERKÉLYES, részben bútorozott, de teljes körűen gépesített, LÉGKONDICIONÁLT, világos, fiatalos, modern lakás.
A lakótérben egy kertkapcsolatos, teraszos, amerikai konyhás, étkezős NAPPALI, egy teraszkapcsolatos, franciaerkélyes MESTERHÁLÓ (12 nm), egy teraszos gyerekszoba (8 nm), egy franciaerkélyes vendégszoba (8,5 nm), egy zuhanyzós, kádas fürdőszoba dupla mosdóval, egy külön WC, egy közlekedő, egy előszoba és 3 terasz került kialakítá..."|https://ingatlan.com/34777764|||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Jó lakónegyed|1.15
10|Budapest XIV. kerület, Telepes utca 82-84-86||92,90 M Ft||54 m2|1 720 370 Ft / m2|1 + 2 fél|2027|2|új építésű|fan-coil, hőszivattyú||teremgarázs hely - megvásárolható|ingatlaniroda|5|"Kedvezményes 10-90% fizetési ütemezés


Krisztina Kert – Kertvárosi nyugalom, városi kényelemmel ötvözve
A Krisztina Kert egy 104 lakásos, négy épülettömbből álló modern társasház, amely -1 szint + földszint + 4 emelet kialakítással, harmonikusan illeszkedik Zugló kertvárosi környezetébe. A projekt célja, hogy a természetközeli életérzést ötvözze a városi infrastruktúra előnyeivel, ideális otthont kínálva családoknak, pároknak és befektetőknek egyaránt.
Az -1 szinten kapnak helyet a kényelmes gépkocsi beállók, valamint az itt található, külön megvásárolható tárolóhelyiségek. A mélygarázs közvetlenül a Telepes utca felől, egy rámpán keresztül megközelíthető, automata garázskapun át.
Az 1–3. emeleteken jól átgondolt, funkcionális elrendezésű lakások találhatók, minimális variációkkal, míg a ..."|https://ingatlan.com/34863433||A+|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0|0|0|0|0|0|0|0|0.0|0.0|0.0|Jó lakónegyed|1.15
