id|cim|reszletes_cim|teljes_ar|reszletes_ar|terulet|nm_ar|szobak|epitesi_ev|szint|ingatlan_allapota|futes|erkely|parkolas|hirdeto_tipus|kepek_szama|leiras|link|telekterulet|energetikai|ingatlanos|telefon|allapot|epulet_szintjei|kilatas|parkolohely_ara|komfort|legkondicionalas|akadalymentesites|furdo_wc|tetoter|pince|parkolo|tajolas|kert|napelem|szigeteles|rezsikoltség|zold_energia_premium_pont|wellness_luxury_pont|smart_technology_pont|premium_design_pont|premium_parking_pont|premium_location_pont|build_quality_pont|negativ_tenyezok_pont|van_zold_energia|van_wellness_luxury|van_smart_tech|van_premium_design|van_premium_parking|van_premium_location|van_build_quality|van_negativ_elem|ossz_pozitiv_pont|ossz_negativ_pont|netto_szoveg_pont|enhanced_keruleti_resz|lokacio_konfidencia|lokacio_elemzesi_modszer|lokacio_forras|lokacio_elemzesek_szama|geo_latitude|geo_longitude|geo_address_from_api|varosresz_kategoria|varosresz_premium_szorzo
1|Budapest XXII. kerület, XIV. utca||169,90 M Ft||161 m2|1 055 279 Ft / m2||2025||új építésű|hőszivattyú||önálló garázs - benne van az árban|maganszemely|20|22 kerület csendes, zöldövezeti részén, forgalomtól mentes utcában kínálunk eladásra egy modern, igény szerint alakítható otthont. Az építkezés várhatóan augusztus elején kezdődik, a beköltözés pedig építkezés kezdésétől 4 hónap. A 161 négyzetméteres, kétszintes ingatlan alapesetben 4 szoba plusz nappalival rendelkezik, de igény esetén 5 szoba plusz nappalis verzió is kialakítható. A tágas, kertkapcsolatos nappali, a kényelmes szobák és a garázs mind a komfortot szolgálják. Az ingatlan modern hőszivattyús fűtésrendszerrel, háromrétegű, kívül színezett nyílászárókkal, valamint 15 centiméteres grafitos hőszigeteléssel készül. A belső kialakítás során a burkolatok négyzetméterenként 7 ezer forintig, a beltéri ajtók pedig 80 ezer forintig benne vannak az árban. Ezen felül külső és belső gránit...|https://ingatlan.com/34822952|524 m2|A+|||||||||||||||||||9.0|0.0|0.0|3.8|0.0|3.2|2.5|0.0|1|0|0|1|0|1|1|0|18.5|0.0|18.5|Ismeretlen|0.0|fallback|none|0|47.4151971|18.9961012|Budapest, XIV. u., 1222 Hungary|XII. ker. Orbánhegy|1.25
2|Budapest XXII. kerület, Deák Ferenc utca||149 M Ft||110 m2|1 354 545 Ft / m2||1981 és 2000 között||felújított|gázkazán||udvari beálló - benne van az árban|maganszemely|21|"Budapest XXII. kerületének egyik legcsendesebb részén, Nagytétényben, 900 m²-es saját telken kínálunk eladásra egy közel 100 m²-es + 25 nm terasz, kívül-belül teljesen felújított, azonnal költözhető önálló családi házat.

A ház ideális családosoknak, otthont kereső pároknak vagy többgenerációs megoldást keresőknek, hiszen bővíthető, és a tetőtér is beépíthető. A kert tágas, parkosított, és egy térköves autóbeálló is rendelkezésre áll.

• Azonnal költözhető
•Per és tehermentes
• 1/1 tulajdon

Elosztás, helyiségek:

•2 db tágas hálószoba (25 m² és 20 m²)
•Világos nappali
•Étkezős, gépesített konyha, egyedi konyhabútorral
•Előszoba, kamra, modern fürdőszoba
•Kamra: külön hűtőhely (ajtaja a konyhába nyílik), mosógépnek és szárítógépnek kialakított hellyel, valamint innen nyitható a padlásfeljá..."|https://ingatlan.com/34805853|900 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|5.0|-2.0|0|0|0|0|0|0|1|1|5.0|2.0|3.0|Orbánhegy|0.76|enhanced_4step|aggregated_from_1_sources|1|47.4027229|18.9834485|Budapest, Deák Ferenc u., 1224 Hungary|XII. ker. Budai hegyek - Villa negyed|1.4
3|Budapest XXII. kerület, Baross Gábor-telep||149,90 M Ft||126 m2|1 189 682 Ft / m2||2026||új építésű|hőszivattyú, padlófűtés||önálló garázs - benne van az árban|ingatlaniroda|12|"Eladásra kínálunk Budapest XXII. Kerület egyik legjobb részén egy újépítésű, garázzsal rendelkező ikerházat.
A kivitelező nagy hangsúlyt fektet a hangszigetelésre, minden közmű különálló, a kert teljesen elszeparált.
3 GYEREKES CSOK PLUSZRA ALKALMAS!
A ház 2026. Február hónapra átadásra kerül.
Falazata 30 cm.-es Porortherm tégla, amire 15 cm. vastagságú hőszigetelés kerül.
A födémre kőzetgyapot szigetelést helyeznek el.
Fűtése, hőszivattyús, padlófűtéssel üzemel.
A padlóburkolatokat, és a szoba ajtókat, szanitereket jelenleg még ki lehet választani.
A kivitelezőnek több referencia házát megtudom mutatni.

Amennyiben felkeltette érdeklődését , kérem, keressen bizalommal!

Hívjon amikor önnek jó, akár hétvégén is! Ha nem tudom felvenni, visszahívom!

Kizárólag megbízható és precíz szakembere..."|https://ingatlan.com/34915224|550 m2||||||||||||||||||||9.0|0.0|0.0|0.0|0.0|0.0|5.0|0.0|1|0|0|0|0|0|1|0|14.0|0.0|14.0|Orbánhegy|0.64|enhanced_4step|aggregated_from_1_sources|1|47.4201521|18.9930691|Budapest, Baross Gábor-telep, Hungary|XII. ker. Általános|1.0
4|Budapest XXII. kerület, Péter-Pál utca||379 M Ft||376 m2|1 007 978 Ft / m2||1981 és 2000 között||felújított|padlófűtés||önálló garázs - benne van az árban|ingatlaniroda|29|"Eladó egy igazi különlegesség: tágas, 3 szintes önálló családi ház óriási telekkel!

Ha egy olyan otthonra vágysz, ahol mindenki megtalálja a saját kis világát, miközben együtt is élhet a család – vagy akár több generáció is –, akkor ez a 376 négyzetméteres ház pont neked való.
A 1162 négyzetméteres telek hatalmas lehetőségeket kínál: kert, medence, grillterasz vagy akár saját játszótér – csak a képzeleted szab határt. És ami igazán különleges: a környéken ekkora telek már igazi ritkaságnak számít, szóval ez az ajánlat nem jön szembe minden nap!
A ház pár évvel ezelőtt teljes felújításon esett át, így műszakilag és esztétikailag is naprakész. Modern padlófűtés gondoskodik a komfortérzetről, a háromrétegű műanyag nyílászárók pedig csendet és energiamegtakarítást hoznak a mindennapokba.

A p..."|https://ingatlan.com/34875910|376 m2||||||||||||||||||||0.0|0.0|0.0|0.0|0.0|0.0|2.5|0.0|0|0|0|0|0|0|1|0|2.5|0.0|2.5|Ismeretlen|0.0|fallback|none|0|47.430067|19.0236045|Budapest, Péter Pál u., 1221 Hungary|XII. ker. Hegyvidék prémium|1.35
5|Budapest XXII. kerület, Tordai út||279 M Ft||350 m2|797 142 Ft / m2||2001 és 2010 között||jó állapotú|gázkazán, padlófűtés||önálló garázs - benne van az árban|ingatlaniroda|30|"A budai domboldal nyugalma és panorámája három szinten!
Varázslatos kertes ház és egy rendkívüli lehetőség a a 22. kerületben Budafokon.

LOKÁCIÓ – BUDAFOK ELEGANCIÁJA ÉS KERTVÁROSI HANGULATA A BELVÁROSHOZ KÖZEL
A kertes hát a XXII. kerület egyik legkedveltebb részén a Tordai úton helyezkedik el mely évtizedek óta a buda egyik népszerűbb lakóövezete ár-érték és belváros közelsége miatt. A környéket kifinomult, modern villák, gondozott kertek, és zöld területek jellemzik – mindez egy domboldali csendes környezetben, kivételes panorámával a városra.

A lokáció különlegessége, hogy egyszerre kínál privát, nyugodt életteret és közvetlen elérhetőséget a városi infrastruktúrához. A környék zöldövezetként ismert, családi házas beépítéssel, kertvárosi hangulattal. A bevásárlási és szabadidős lehet..."|https://ingatlan.com/34905058|350 m2|A+++|||||||||||||||||||0.0|0.0|0.0|0.0|0.0|3.2|0.0|0.0|0|0|0|0|0|1|0|0|3.2|0.0|3.2|Ismeretlen|0.0|fallback|none|0|47.4408601|19.0123842|Budapest, Tordai út, 1221 Hungary|XII. ker. Belváros|1.0
6|Budapest XXII. kerület, Baross Gábor-telep||175 M Ft||156 m2|1 121 794 Ft / m2||2026||új építésű|hőszivattyú, padlófűtés||udvari beálló - benne van az árban|ingatlaniroda|5|"Hivatkozzon erre, kód: 4989

- ÚJ ÉPÍTÉSŰ IKERHÁZI LAKÁS

- KIVÁLÓ INFRASTRUKTÚRA

- SAJÁT UTCAFRONTI BEJÁRAT, SAJÁT KERTRÉSZ

- NAPPALI + 4 SZOBA + 3 FÜRDŐ + TERASZOK + ERKÉLYEK

- HŐSZIVATTYÚS FŰTÉS

Budapest XXII. kerületében kiváló infrastruktúránál 500m2-es saját kerttel és saját utcafronti bejárattal rendelkező belső kétszintes, 3 fürdőszobás, nappali + 4 szobás, összesen nettó 139.27m2-es (+ teraszok, + erkélyek), új építésű ikerházi lakás (1-es épület) leköthető igény szerinti befejezéssel.

A 2-es épület már eladásra került!

Várható átadás: 2026. január!

Megbízható beruházó, számos referencia ingatlan!

Az ingatlan szintenkénti felosztása a következő:

Földszint (68.02m2 + teraszok): nappali (18.36m2), konyha - étkező (10.8m2), 2 szoba (9.24m2, 8.32m2), fürdőszoba + wc (4m2), 2 ..."|https://ingatlan.com/34841159|500 m2||||||||||||||||||||9.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0|0|0|0|0|0|9.0|0.0|9.0|Ismeretlen|0.0|fallback|none|0|47.4201521|18.9930691|Budapest, Baross Gábor-telep, Hungary|XII. ker. Orbánhegy|1.25
7|Budapest XXII. kerület, Budafok||420 M Ft||479 m2|876 826 Ft / m2||2001 és 2010 között||újszerű|gázkazán, hűtő-fűtő klíma||teremgarázs hely - benne van az árban|ingatlaniroda|30|"Budafok és Rózsavölgy határán csendes kertvárosi 1453 nm telken 2002-ben épült kb. 519 nm összes nettó, kb. 479 nm egyenértékű alapterületű, 3 szintes 5 szobás ÚJSZERŰ CSALÁDIHÁZ alagsori ÚSZÓMEDENCÉVEL 4 autó beállós TEREMGARÁZZSAL, szintenként gyönyörű kertre néző nagy TERASZOKKAL (kb. 126 nm),
EXTRA MŰSZAKI MINŐSÉGBEN – téglafalas, hőszigetelt tető, Viessmann gázkazán, tetőn napelemek, hűtő-fűtő klíma fan-coil – ELADÓ.
Az épület 2002-ben épült téglafalas (44cm Porotherm), hőszigetelt tető (15cm ásványgyapot), kiemelt műszaki felszereltséggel:
•fűtés Viessmann gázkazánnal, padlófűtés plusz radiátoros fűtéssel,
•hűtő-fűtő klíma fan-coil,
•a tetőn napelemekkel (10 kW),
•távirányítós felső tetőtéri ablakokkal stb.


Szintek kialakítása:
napfényes elegáns földszinti lakószint (kb.186nm):
•tá..."|https://ingatlan.com/34654674|479 m2||||||||||||||||||||9.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1|0|0|0|0|0|0|0|9.0|0.0|9.0|Orbánhegy|0.68|enhanced_4step|aggregated_from_1_sources|1|47.425|19.031667|Budapest, Budafok-Tétény, 1222 Hungary|XII. ker. Budai hegyek - Villa negyed|1.4
8|Budapest XXII. kerület, Budafok||330 M Ft||350 m2|942 857 Ft / m2|7 + 1 fél|1981 és 2000 között||újszerű|gázkazán, elektromos kazán, hűtő-fűtő klíma||teremgarázs hely - benne van az árban|ingatlaniroda|30|"Budafok és Rózsavölgy határán csendes kertvárosi kb. 350 nm összes nettó alapterületű 4 szintes 7,5 szobás ÚJSZERŰ IKERHÁZFÉL TERASZOKKAL,
akár a TETŐTÉRI SZINT ÖNÁLLÓ LAKÁS vagy IRODA,
EXTRA MŰSZAKI MINŐSÉGBEN – hőszigetelt téglafalas, új kondenzációs gázkazán és tartalék elektromos kazánok (2022), tetőn napelemek, felső szinteken hűtő-fűtő klímák, lift a tetőtéri szinthez, alagsori teremgarázs beállókhoz okostöltők – ELADÓ.

Napfényes elegáns földszinti és emeleti lakószintek nagy nappaliterekkel és szobákkal, elegáns természetes fénnyel megvilágított fürdőszobákkal, plusz szintenként önálló wc-mosdó helyiséggel. Az akár önállóan használható - jelenleg elegáns iroda - tetőtéri szinthez üvegezett LIFT kiépített. Az alagsori szinten autóbeállók, szauna és kiszolgáló terek.

Az épület 1993-..."|https://ingatlan.com/34637568|350 m2||||||||||||||||||||4.5|4.0|0.0|0.0|0.0|0.0|0.0|0.0|1|1|0|0|0|0|0|0|8.5|0.0|8.5|Orbánhegy|0.72|enhanced_4step|aggregated_from_1_sources|1|47.425|19.031667|Budapest, Budafok-Tétény, 1222 Hungary|XII. ker. Budai hegyek - Villa negyed|1.4
9|Budapest XXII. kerület, Jogar utca||385 M Ft||239 m2|1 610 878 Ft / m2||2021||újszerű|gázkazán, hűtő-fűtő klíma||udvari beálló - benne van az árban|ingatlaniroda|24|"*** For English please scroll down!
Modern luxusvilla, ahol a design találkozik a funkcionalitással!
Eladásra kínáluok Buda egyik legelitebb részén, a XXII. kerületi Jogar utcában egy minden szempontból kifogástalan állapotú, letisztult és modern stílusban épült luxus családi házat.

Ez az ingatlan nem csupán egy otthon – hanem egy életérzés, ahol a legapróbb részletek is a minőséget, kényelmet és időtálló eleganciát szolgálják.

A ház sarok telken helyezkedik el, háromszintes, tágas, napfényes terei tökéletesen kiszolgálnak akár egy nagyobb családot is.

A nappali, étkező és konyha egy légtérben helyezkednek el, mégis jól tagoltak – a hatalmas üvegfelületek természetes fénnyel árasztják el a belső tereket. A nappaliban látványos mennyezeti elemek, hangulati világítás, valamint egy impozán..."|https://ingatlan.com/34859541|239 m2||||||||||||||||||||0.0|0.0|0.0|7.6|0.0|0.0|0.0|0.0|0|0|0|1|0|0|0|0|7.6|0.0|7.6|Orbánhegy|0.72|enhanced_4step|aggregated_from_1_sources|1|47.4354788|19.0147236|Budapest, Jogar u., 1221 Hungary|XII. ker. Budai hegyek - Villa negyed|1.4
11|Budapest XXII. kerület, Pék utca 18.||269 M Ft||164 m2|1 640 243 Ft / m2|3 + 1 fél|2024||új építésű|mennyezeti hűtés-fűtés, hűtő-fűtő klíma||teremgarázs hely - benne van az árban|maganszemely|23|"Az építkezès folyamatban van, szerkezetkész állapot kész. Tetővel, beépített nyílászárókkal.
A beruházás rendelkezik hatályos építési engedéllyel. A telek a beruházó kizárólagos tulajdonában van.A beruházás tehermentes! Az ingatlan nettó: 164 m2, bruttó: 179 m2 + 11 m2 terasz!

Budapest, Budafok Rózsavölgyben eladó egy építés alatt álló ikerházrész.
Egy épületben két különálló, teljes értékű, három szintes otthon kerül kialakításra.
A földszinten egy 2 gépjármű beállását biztosító garázs, háztarsági helyiség, tárolók, zuhanyzó, WC, gépészeti helyiség található, egyben vendèghàlo is kialakítható.
Az első emeleten egy előszoba, WC, tágas nappali , konyha és az étkező helyezkedik el, amit a nagy ablakok és a gondosan elrendezett belsőtér tesz egyedivé, egyben rendkívűl élhetővé.
A legfelső sz..."|https://ingatlan.com/34128510|967 m2||||||||||||||||||||0.0|0.0|0.0|3.8|0.0|0.0|0.0|0.0|0|0|0|1|0|0|0|0|3.8|0.0|3.8|Orbánhegy|0.68|enhanced_4step|aggregated_from_1_sources|1|47.439105|19.016441|Budapest, Pék u. 18, 1221 Hungary|XII. ker. Általános|1.0
